,model,score
0,Rajaram1996/FacialEmoRecog,0.745707848818285
1,matteopilotto/vit-base-patch16-224-in21k-snacks,0.7282608991480702
2,Matthijs/snacks-classifier,0.7359970865295664
3,nateraw/vit-age-classifier,0.7443348865581002
4,ibombonato/vit-age-classifier,0.7454155014973916
5,ibombonato/swin-age-classifier,0.7426567312114711
6,mrm8488/convnext-tiny-finetuned-beans,0.7557982040398372
7,nateraw/vit-base-beans,0.7329252738868521
8,johnnydevriese/vit_beans,0.730889050285348
9,nateraw/vit-base-beans-demo,0.7395461690950004
10,nickmuchi/vit-base-beans,0.7444955133239897
11,karthiksv/vit-base-beans,0.7471668527473386
12,nateraw/vit-base-beans-demo-v2,0.7329252738868521
13,nateraw/vit-base-beans-demo-v3,0.7352961921966079
14,nickmuchi/vit-finetuned-cats-dogs,0.7340503580361741
15,nateraw/vit-base-cats-vs-dogs,0.7394501311622557
16,ismgar01/vit-base-cats-vs-dogs,0.7467170200401199
17,nateraw/test_model_a,0.13546851507805768
18,akahana/vit-base-cats-vs-dogs,0.7178586616907318
19,eren23/pneumonia_test_attempt,0.7348114566416715
20,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.7280321198228656
21,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.7465059255880704
22,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.7341133115514026
23,Ahmed9275/Vit-Cifar100,0.6586569018652522
24,nielsr/vit-finetuned-eurosat-kornia,0.7366658761342912
25,Calin/convnext-tiny-finteuned-eurosat,0.7573218922970025
26,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7405474917009627
27,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7473671511732786
28,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.7407041822167979
29,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7407041822167979
30,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7472063548925314
31,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7395043362009862
32,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.741987355559003
33,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7407041822167979
