,model,score
0,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9045311501537525
1,Matthijs/snacks-classifier,0.8948721734850696
2,ibombonato/swin-age-classifier,0.8959053124770286
3,mrm8488/convnext-tiny-finetuned-beans,0.8983438335198961
4,mmekias/vit-base-beans,0.8995917964766634
5,nateraw/vit-base-beans-demo,0.9061678239718848
6,karthiksv/vit-base-beans,0.9024698328543588
7,nateraw/vit-base-beans-demo-v2,0.9027944576770695
8,nateraw/test_model_a,0.056411496294286455
9,akahana/vit-base-cats-vs-dogs,0.8913592504828916
10,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9026197772829013
11,nateraw/vit-base-patch16-224-cifar10,0.9046070474383481
12,karthiksv/vit-base-patch16-224-cifar10,0.906899629436496
13,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9013193460861549
14,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.9004074431355333
15,jadohu/BEiT-finetuned,0.8571976307764119
16,nielsr/vit-finetuned-eurosat-kornia,0.9017761764656229
17,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8934211859427514
18,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8978720004377152
19,nielsr/convnext-tiny-finetuned-eurosat,0.8947400862898988
20,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8971557280799748
21,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8999800837361478
22,nielsr/convnext-tiny-finetuned-eurostat,0.8999671866235858
23,nielsr/van-base-finetuned-eurosat-imgaug,0.8974558958655469
24,nateraw/huggingpics-package-demo-2,0.9062127218973443
25,nateraw/rare-puppers,0.9020266012562307
26,gatecitypreservation/architectural_styles,0.9006569228126373
27,firas-spanioli/beer-whisky-wine-detection,0.90510025772025
28,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.9019629979413736
29,nateraw/doggos-lol,0.8915344145191166
30,Amrrs/south-indian-foods,0.9009269170415988
31,jasmeen/dogs,0.9042841813601551
32,HHousen/household-rooms,0.9013130123883673
33,driboune/skin_type,0.9067639748070611
34,AhmedSayeem/VIT_Basic,0.9056070003493782
35,Symbermine/rare-puppers,0.8994348022871619
36,hafidber/fruits,0.9004283063788425
37,hafidber/rare-puppers,0.9021305443400336
38,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.902261573393221
39,nateraw/baseball-stadium-foods,0.8970145107413903
40,black/simple_kitchen,0.90680709026188
41,jeffboudier/vision-transformers-spain-or-italy-fan,0.907198732632413
42,ajanco/greens,0.9032617289320228
43,filipafcastro/beer_vs_wine,0.9069907802317333
44,edixo/road_good_damaged_condition,0.9097787477205154
45,Sena/dog,0.902803974631773
46,firebolt/llama_or_what,0.9070316640892385
47,nateraw/donut-or-bagel,0.905737463971037
48,jmarshall/rare-puppers,0.9075145377307127
49,nateraw/rare-puppers-demo,0.8995611641933032
50,nateraw/trainer-rare-puppers,0.8922679707763465
51,nateraw/ex-for-evan,0.9001775373778519
52,johnnydevriese/vit-airplanes,0.899105092029431
53,Neto71/sea_mammals,0.9060150943968763
54,iyzg/computer-stuff,0.9069093848644983
55,nateraw/rare-puppers-09-04-2021,0.9045380353231947
56,facebook/convnext-base-224,0.9059652476075637
57,Visual-Attention-Network/van-base,0.8980334279410642
58,facebook/deit-base-patch16-224,0.9090450781965544
59,mrm8488/data2vec-base-finetuned-imagenet1k,0.896423918615387
60,microsoft/swin-tiny-patch4-window7-224,0.8967381271042466
61,facebook/convnext-large-224,0.9051921966699106
62,facebook/deit-tiny-distilled-patch16-224,0.8879423236634559
63,WinKawaks/vit-tiny-patch16-224,0.8647217678214372
64,WinKawaks/vit-small-patch16-224,0.9010272131474178
65,facebook/convnext-tiny-224,0.9028626553433611
66,facebook/deit-small-patch16-224,0.9032324028644847
67,facebook/convnext-small-224,0.905234902201943
68,microsoft/swin-small-patch4-window7-224,0.8899196637770208
69,microsoft/beit-base-patch16-224,0.861847178208169
70,facebook/deit-tiny-patch16-224,0.8762822067806445
71,Ahmed9275/ALL-3,0.8877785744907442
72,microsoft/resnet-50,0.8958470476946538
73,Visual-Attention-Network/van-large,0.901902054007078
74,facebook/convnext-large-224-22k-1k,0.9039695684586442
75,google/vit-large-patch32-384,0.8942882000318135
76,google/vit-large-patch16-224,0.8981606773675221
77,facebook/convnext-base-384,0.919946048401044
78,facebook/deit-base-distilled-patch16-384,0.9134265486953016
79,facebook/convnext-large-384,0.9112018510084806
80,facebook/deit-base-patch16-384,0.9177756032296861
81,google/vit-base-patch16-384,0.9126511178656816
82,facebook/convnext-large-224-22k,0.9095957864715903
83,facebook/convnext-xlarge-224-22k,0.9100359378230459
84,microsoft/swin-base-patch4-window12-384-in22k,0.9221537437589801
85,imjeffhi/pokemon_classifier,0.9031713711394476
86,AkshatSurolia/ViT-FaceMask-Finetuned,0.8895439243867047
87,SriramSridhar78/sriram-car-classifier,0.902546876709859
