,model,score
0,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.48038661944218036
1,nateraw/vit-base-patch16-224-cifar10,0.47005465875602626
2,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.471391373042501
3,nateraw/vit-base-beans-demo,0.45309453473940087
4,nickmuchi/vit-base-beans,0.4552931689513213
5,nateraw/vit-base-beans-demo-v3,0.44258991823440896
6,nateraw/vit-base-beans-demo-v2,0.4698753688283583
7,mmekias/vit-base-beans,0.46536550167805885
8,nateraw/vit-base-beans,0.47078176041012576
9,mrm8488/convnext-tiny-finetuned-beans,0.5056379551008736
10,nielsr/vit-finetuned-eurosat-kornia,0.4723622618329673
11,mrm8488/convnext-tiny-finetuned-eurosat,0.5340336544793003
12,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.5079233573806965
13,Calin/convnext-tiny-finteuned-eurosat,0.5079765851331038
14,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.49695346111111827
15,nielsr/convnext-tiny-finetuned-eurostat,0.5001580108775463
16,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5164361179149707
17,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5025947853183432
18,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.4968842576897338
19,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5184936961422654
20,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.4984825632226372
21,nielsr/convnext-tiny-finetuned-eurosat,0.499101709338502
22,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.5111845805152627
23,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5167052356808471
24,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.49239284802799277
25,nielsr/van-base-finetuned-eurosat-imgaug,0.4958646592493774
26,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5028461555697923
27,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.4824265348905044
28,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.515340975315948
29,eren23/pneumonia_test_attempt,0.4507609224364853
30,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.4728664985860466
31,nickmuchi/vit-base-xray-pneumonia,0.46535059558771247
32,IDEA-CCNL/Taiyi-vit-87M-D,0.4466856176504171
33,mrm8488/data2vec-base-finetuned-imagenet1k,0.4663884181955613
34,facebook/convnext-base-224,0.5099973236827285
35,facebook/convnext-small-224,0.49419624984410226
36,microsoft/swin-base-patch4-window7-224,0.47612973183271406
37,microsoft/beit-base-patch16-224,0.44298267397744495
38,facebook/convnext-tiny-224,0.5165891795458694
39,Visual-Attention-Network/van-small,0.5002443050048407
40,WinKawaks/vit-small-patch16-224,0.47782612156475623
41,facebook/deit-small-distilled-patch16-224,0.46203865794350274
42,Visual-Attention-Network/van-base,0.5101384528577597
43,facebook/deit-small-patch16-224,0.46862714928482285
44,microsoft/swin-small-patch4-window7-224,0.4883013057202508
45,Ahmed9275/ALL-3,0.47621646810968193
46,facebook/convnext-large-224,0.5059809350654227
47,WinKawaks/vit-tiny-patch16-224,0.4207844245059931
48,Visual-Attention-Network/van-tiny,0.4638110906245161
49,facebook/deit-tiny-distilled-patch16-224,0.461565843570682
50,Ahmed9275/ALL-test,0.49208078331078753
51,facebook/deit-tiny-patch16-224,0.4562427648268237
52,microsoft/swin-tiny-patch4-window7-224,0.5018062579086062
53,Visual-Attention-Network/van-large,0.5108602257914203
54,facebook/convnext-base-224-22k-1k,0.5298752521365501
55,lysandre/tiny-vit-random,0.3598332738030086
56,facebook/convnext-large-224-22k-1k,0.5554627257063639
57,facebook/convnext-base-384,0.5300209915678192
58,facebook/convnext-base-224-22k,0.5325693775602235
59,microsoft/swin-base-patch4-window7-224-in22k,0.5103157703898653
60,microsoft/beit-base-patch16-224-pt22k-ft22k,0.44899582022145174
61,facebook/convnext-large-224-22k,0.5085632850398674
62,nickmuchi/vit-finetuned-cats-dogs,0.4552606486348546
63,akahana/vit-base-cats-vs-dogs,0.43296715556420695
64,nateraw/vit-base-cats-vs-dogs,0.4533879489736602
65,nateraw/test_model_a,0.41216644774125977
66,nateraw/vit-base-food101,0.4493609013343444
67,eslamxm/vit-base-food101,0.4549001697850566
68,SriramSridhar78/sriram-car-classifier,0.467485081978899
69,AkshatSurolia/ViT-FaceMask-Finetuned,0.4334981837664084
70,AkshatSurolia/BEiT-FaceMask-Finetuned,0.4720142327826872
71,AkshatSurolia/DeiT-FaceMask-Finetuned,0.4751543554220378
72,Ahmed9275/Vit-Cifar100,0.4519626743201664
73,Matthijs/snacks-classifier,0.48043215636026587
