,model,score
0,google/vit-base-patch16-224,0.8255736554302817
1,IDEA-CCNL/Taiyi-vit-87M-D,0.820777050175143
2,facebook/deit-base-patch16-224,0.8172297952067277
3,facebook/deit-base-distilled-patch16-224,0.8313648746381805
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.7911048721011603
5,facebook/convnext-base-224,0.8409531360291079
6,facebook/convnext-small-224,0.8157240195534503
7,microsoft/swin-base-patch4-window7-224,0.8080246631520288
8,microsoft/beit-base-patch16-224,0.7198643544537281
9,facebook/convnext-tiny-224,0.8182311684455884
10,Visual-Attention-Network/van-small,0.8163451455706691
11,WinKawaks/vit-small-patch16-224,0.8015327510582009
12,facebook/deit-small-distilled-patch16-224,0.7926111039507678
13,Visual-Attention-Network/van-base,0.8167130476572989
14,facebook/deit-small-patch16-224,0.7985623440916454
15,microsoft/swin-small-patch4-window7-224,0.8085110699573461
16,Ahmed9275/ALL-3,0.8240211853135103
17,facebook/convnext-large-224,0.8384218106922475
18,WinKawaks/vit-tiny-patch16-224,0.7633021876445961
19,Visual-Attention-Network/van-tiny,0.8039626324356649
20,facebook/deit-tiny-distilled-patch16-224,0.761666197367775
21,Ahmed9275/ALL-test,0.8154419103946944
22,facebook/deit-tiny-patch16-224,0.784797243508079
23,microsoft/swin-tiny-patch4-window7-224,0.8078976055961976
24,Visual-Attention-Network/van-large,0.8248664116499382
25,google/vit-base-patch32-384,0.834878060636537
26,facebook/convnext-base-224-22k-1k,0.8329581841687171
27,google/vit-large-patch32-384,0.8226416495143526
28,microsoft/swin-large-patch4-window7-224,0.8394393218110032
29,lysandre/tiny-vit-random,0.16285533159141533
30,facebook/convnext-large-224-22k-1k,0.8445177845706929
31,facebook/convnext-base-384,0.8481771330168907
32,microsoft/resnet-50,0.7940627532939005
33,microsoft/beit-base-patch16-224-pt22k,0.7056554728871989
34,microsoft/beit-large-patch16-224,0.6947360050265775
35,google/vit-large-patch16-224,0.8091909692321728
36,facebook/convnext-large-384,0.8220050176534263
37,facebook/convnext-large-384-22k-1k,0.854763132635463
38,nielsr/convnext-xlarge-224-22k-1k,0.8331258971362867
39,facebook/deit-base-patch16-384,0.8427755479874606
40,google/vit-base-patch16-384,0.8368911227842892
41,facebook/deit-base-distilled-patch16-384,0.8481293582256468
42,facebook/convnext-xlarge-224-22k-1k,0.8415399822489071
43,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8125654619888205
44,karthiksv/vit-base-patch16-224-cifar10,0.8177788471244172
45,nateraw/vit-base-patch16-224-cifar10,0.808494342118361
46,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8183288587336406
47,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8157174542681526
48,jadohu/BEiT-finetuned,0.7240486022336478
49,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8100218445894732
50,nateraw/vit-base-beans-demo,0.8160914866826079
51,nickmuchi/vit-base-beans,0.8078354070419898
52,karthiksv/vit-base-beans,0.816687881915344
53,nateraw/vit-base-beans-demo-v3,0.7916360981354263
54,johnnydevriese/vit_beans,0.8178926377908935
55,nateraw/vit-base-beans-demo-v2,0.8096994170145684
56,mmekias/vit-base-beans,0.8172007308560335
57,nateraw/vit-base-beans,0.8123298297295493
58,mrm8488/convnext-tiny-finetuned-beans,0.8211066322473576
59,nielsr/vit-finetuned-eurosat-kornia,0.8073115932299776
60,mrm8488/convnext-tiny-finetuned-eurosat,0.8153909476696665
61,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8202694648318806
62,Calin/convnext-tiny-finteuned-eurosat,0.8232231445829349
63,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.7997511645522021
64,nielsr/convnext-tiny-finetuned-eurostat,0.828996350990158
65,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7881720689583132
66,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8083370098040876
67,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8121150184128229
68,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8054860946661403
69,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8033830365687988
70,nielsr/convnext-tiny-finetuned-eurosat,0.8069042073443078
71,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8058252358192496
72,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8058366076077508
73,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8160407145011581
74,nielsr/van-base-finetuned-eurosat-imgaug,0.8103015375272884
75,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8059524491479353
76,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8094061969520009
77,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8006236009482683
78,eren23/pneumonia_test_attempt,0.7914219535137054
79,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8069733674756133
80,nickmuchi/vit-base-xray-pneumonia,0.8060519167008156
81,facebook/convnext-base-224-22k,0.8404108440606747
82,microsoft/swin-large-patch4-window7-224-in22k,0.8366777763681129
83,microsoft/swin-base-patch4-window7-224-in22k,0.8319028790776009
84,microsoft/beit-base-patch16-224-pt22k-ft22k,0.7335180053986029
85,facebook/convnext-large-224-22k,0.8439861362094335
86,facebook/convnext-xlarge-224-22k,0.8442108422642413
87,microsoft/swin-base-patch4-window12-384-in22k,0.8492553317008779
88,microsoft/beit-large-patch16-224-pt22k-ft22k,0.7231646408255759
89,nielsr/convnext-xlarge-224-22k,0.8335815603690796
90,nickmuchi/vit-finetuned-cats-dogs,0.8159995503287949
91,ismgar01/vit-base-cats-vs-dogs,0.812099396062722
92,akahana/vit-base-cats-vs-dogs,0.8037575745285409
93,nateraw/vit-base-cats-vs-dogs,0.8132711378425959
94,nateraw/test_model_a,0.15496476507338985
95,matteopilotto/vit-base-patch16-224-in21k-snacks,0.7984268956829788
96,Matthijs/snacks-classifier,0.7934305461420194
97,nateraw/vit-base-food101,0.8022649802686853
98,eslamxm/vit-base-food101,0.8122368044329542
99,SriramSridhar78/sriram-car-classifier,0.8085670266395752
100,imjeffhi/pokemon_classifier,0.8056704815455727
101,AkshatSurolia/ViT-FaceMask-Finetuned,0.8047443106829931
102,AkshatSurolia/BEiT-FaceMask-Finetuned,0.5629080105740321
103,AkshatSurolia/DeiT-FaceMask-Finetuned,0.8091586090563809
104,Ahmed9275/Vit-Cifar100,0.8089497238004639
