,model,score
0,Rajaram1996/FacialEmoRecog,0.8794982133459979
1,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8657279770245231
2,Matthijs/snacks-classifier,0.8774722892953315
3,nateraw/vit-age-classifier,0.8803082754227266
4,ibombonato/vit-age-classifier,0.8768260246734806
5,ibombonato/swin-age-classifier,0.8649661771169381
6,mrm8488/convnext-tiny-finetuned-beans,0.8738667905981435
7,nateraw/vit-base-beans,0.8800132299880474
8,johnnydevriese/vit_beans,0.8850525311812452
9,mmekias/vit-base-beans,0.879475390851046
10,nateraw/vit-base-beans-demo,0.8757146225229177
11,nickmuchi/vit-base-beans,0.8828845932524567
12,karthiksv/vit-base-beans,0.8779929763005313
13,nateraw/vit-base-beans-demo-v2,0.8853064562465497
14,nateraw/vit-base-beans-demo-v3,0.88137950081423
15,nickmuchi/vit-finetuned-cats-dogs,0.8814975423625074
16,nateraw/vit-base-cats-vs-dogs,0.8755181216070566
17,ismgar01/vit-base-cats-vs-dogs,0.883200780055787
18,nateraw/test_model_a,0.31091572095321657
19,akahana/vit-base-cats-vs-dogs,0.8791013714308895
20,eren23/pneumonia_test_attempt,0.884850589628811
21,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8806199607819474
22,nickmuchi/vit-base-xray-pneumonia,0.881979649125871
23,nateraw/vit-base-patch16-224-cifar10,0.8832930679967478
24,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8846973287417113
25,karthiksv/vit-base-patch16-224-cifar10,0.878018703648324
26,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.881200748614131
27,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8783927216035555
28,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8768270391028535
29,jadohu/BEiT-finetuned,0.8186010630877086
30,Ahmed9275/Vit-Cifar100,0.876616178259954
31,nielsr/vit-finetuned-eurosat-kornia,0.8859298039517437
