,model,score
0,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8929383107506975
1,Matthijs/snacks-classifier,0.8893814780482476
2,nateraw/test_model_a,0.019273827250959986
3,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8868261641879767
4,Ahmed9275/Vit-Cifar100,0.8595926729400359
5,Calin/convnext-tiny-finteuned-eurosat,0.9111411247207871
6,nateraw/huggingpics-package-demo-2,0.8960872198193652
7,ipvikas/rare-puppers,0.894174351835604
8,AhmedSayeem/VIT_Basic,0.8994951442761144
9,micole66/dwarf-goats,0.9010419069174325
10,nateraw/donut-or-bagel,0.8897215410413831
11,jmarshall/rare-puppers,0.889012206460355
12,godiec/diam,0.8943122157552427
13,facebook/convnext-tiny-224,0.9143701199131152
14,facebook/convnext-base-224-22k,0.9344762755466306
15,facebook/convnext-xlarge-224-22k,0.9562559203673547
16,AkshatSurolia/BEiT-FaceMask-Finetuned,0.5588106717292368
