,model,score
0,google/vit-base-patch16-224,0.873237207383174
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8732369453746265
2,facebook/deit-base-patch16-224,0.8732372432401275
3,facebook/deit-base-distilled-patch16-224,0.8717541189261541
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8733074008900358
5,facebook/convnext-base-224,0.8693114487874218
6,facebook/convnext-small-224,0.8924265858129767
7,microsoft/swin-base-patch4-window7-224,0.8709201731794497
8,microsoft/beit-base-patch16-224,0.8733071389264988
9,facebook/convnext-tiny-224,0.816308773705233
10,Visual-Attention-Network/van-small,0.7182985072139411
11,WinKawaks/vit-small-patch16-224,0.777181165189746
12,facebook/deit-small-distilled-patch16-224,0.77969108369391
13,Visual-Attention-Network/van-base,0.8050645441757404
14,facebook/deit-small-patch16-224,0.7771811981112567
15,microsoft/swin-small-patch4-window7-224,0.8913615995407864
16,Ahmed9275/ALL-3,0.8146707613165578
17,facebook/convnext-large-224,0.8921062766308332
18,WinKawaks/vit-tiny-patch16-224,0.6501491436441584
19,Visual-Attention-Network/van-tiny,0.635703151719693
20,facebook/deit-tiny-distilled-patch16-224,0.6518635361524503
21,Ahmed9275/ALL-test,0.814670757755009
22,facebook/deit-tiny-patch16-224,0.6501491430503838
23,microsoft/swin-tiny-patch4-window7-224,0.8146707095607681
24,Visual-Attention-Network/van-large,0.8808548452064946
25,google/vit-base-patch32-384,0.8698880315931934
26,facebook/convnext-base-224-22k-1k,0.8693116584317816
27,google/vit-large-patch32-384,0.8155780664520037
28,microsoft/swin-large-patch4-window7-224,0.8903437718150609
29,lysandre/tiny-vit-random,0.598393501232976
30,facebook/convnext-large-224-22k-1k,0.8921063191512082
31,facebook/convnext-base-384,0.8693117123680281
32,microsoft/resnet-50,0.7990747618448077
33,microsoft/beit-base-patch16-224-pt22k,0.8749480959404418
34,microsoft/beit-large-patch16-224,0.8176134239868876
35,google/vit-large-patch16-224,0.8177144334086851
36,facebook/convnext-large-384,0.8921065361565061
37,facebook/convnext-large-384-22k-1k,0.8921065307121403
38,nielsr/convnext-xlarge-224-22k-1k,0.8215649998693728
39,facebook/deit-base-patch16-384,0.8726775063016068
40,google/vit-base-patch16-384,0.8726775070611745
41,facebook/deit-base-distilled-patch16-384,0.8711887976239717
42,facebook/convnext-xlarge-224-22k-1k,0.8215650007366705
43,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8746858873103731
44,karthiksv/vit-base-patch16-224-cifar10,0.8746860955071423
45,nateraw/vit-base-patch16-224-cifar10,0.8746860934300325
46,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8746860840045123
47,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8746860824980832
48,jadohu/BEiT-finetuned,0.8747551843684245
49,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8746858159451865
50,nateraw/vit-base-beans-demo,0.8746960689352835
51,nickmuchi/vit-base-beans,0.8746962732620043
52,karthiksv/vit-base-beans,0.8746962667742674
53,nateraw/vit-base-beans-demo-v3,0.8746959994787217
54,johnnydevriese/vit_beans,0.8746962778847354
55,nateraw/vit-base-beans-demo-v2,0.8746959993031447
56,mmekias/vit-base-beans,0.8746962675036366
57,nateraw/vit-base-beans,0.8746959986255174
58,mrm8488/convnext-tiny-finetuned-beans,0.8121020663277992
59,nielsr/vit-finetuned-eurosat-kornia,0.8746858867220834
