,model,score
0,Rajaram1996/FacialEmoRecog,0.96307343
1,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9675777
2,Matthijs/snacks-classifier,0.92289674
3,nateraw/vit-age-classifier,0.9477789
4,ibombonato/vit-age-classifier,0.9572822
5,ibombonato/swin-age-classifier,0.8971967
6,mrm8488/convnext-tiny-finetuned-beans,0.99381846
7,nateraw/vit-base-beans,0.97775126
8,johnnydevriese/vit_beans,0.95848167
9,nateraw/vit-base-beans-demo,0.9864284
10,nickmuchi/vit-base-beans,0.9592785
11,karthiksv/vit-base-beans,0.96223134
12,nateraw/vit-base-beans-demo-v2,0.97375894
13,nateraw/vit-base-beans-demo-v3,0.978451
14,nickmuchi/vit-finetuned-cats-dogs,0.978314
15,nateraw/vit-base-cats-vs-dogs,0.9710149
16,ismgar01/vit-base-cats-vs-dogs,0.94754726
17,nateraw/test_model_a,-0.013060723
18,akahana/vit-base-cats-vs-dogs,0.9390961
19,eren23/pneumonia_test_attempt,0.98078346
20,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9904977
21,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9576306
22,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.9749179
23,Ahmed9275/Vit-Cifar100,0.94527626
24,nielsr/vit-finetuned-eurosat-kornia,0.97251266
25,Calin/convnext-tiny-finteuned-eurosat,0.98146856
26,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.91634285
27,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9088288
28,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.9044481
29,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.91540647
30,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.91159123
31,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9089957
32,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9155349
33,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8985923
34,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9220592
35,mrm8488/convnext-tiny-finetuned-eurosat,0.96346784
36,nielsr/van-base-finetuned-eurosat-imgaug,0.9539252
37,nateraw/vit-base-food101,0.9784682
38,meame2010/rare-puppers,0.9771266
39,nateraw/huggingpics-package-demo-2,0.9746303
40,nateraw/rare-puppers,0.9739707
41,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.9695649
42,nateraw/doggos-lol,0.9774933
43,Amrrs/south-indian-foods,0.9717317
44,Amrrs/indian-foods,0.9552593
45,jasmeen/dogs,0.96702874
46,HHousen/household-rooms,0.9946214
47,nateraw/planes-trains-automobiles,0.9906756
48,ipvikas/rare-puppers,0.9720004
49,Sena/flowers,0.96784425
50,driboune/skin_type,0.9696437
51,AhmedSayeem/VIT_Basic,0.95688635
52,nateraw/rare-puppers-123,0.9705925
53,Symbermine/rare-puppers,0.98621875
54,juanfiguera/ice_cream,0.9828009
55,micole66/dwarf-goats,0.97203386
56,nateraw/baseball-stadium-foods,0.954489
57,black/simple_kitchen,0.9690409
58,jeffboudier/vision-transformers-spain-or-italy-fan,0.9861413
59,nateraw/denver-nyc-paris,0.9749351
60,ajanco/greens,0.98080075
