,model,score
0,google/vit-base-patch16-224,0.90611285
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8950134
2,facebook/deit-base-patch16-224,0.8801279
3,facebook/deit-base-distilled-patch16-224,0.8973925
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8638014
5,facebook/convnext-base-224,0.88039136
6,facebook/convnext-small-224,0.84404
7,microsoft/swin-base-patch4-window7-224,0.86049145
8,microsoft/beit-base-patch16-224,0.8377204
9,facebook/convnext-tiny-224,0.8380369
10,Visual-Attention-Network/van-small,0.8018337
11,WinKawaks/vit-small-patch16-224,0.78416586
12,facebook/deit-small-distilled-patch16-224,0.809909
13,Visual-Attention-Network/van-base,0.7987059
14,facebook/deit-small-patch16-224,0.7828352
15,microsoft/swin-small-patch4-window7-224,0.8206274
16,Ahmed9275/ALL-3,0.8087895
17,facebook/convnext-large-224,0.8962042
18,WinKawaks/vit-tiny-patch16-224,0.71501845
19,Visual-Attention-Network/van-tiny,0.77579325
20,facebook/deit-tiny-distilled-patch16-224,0.7392928
21,Ahmed9275/ALL-test,0.8031467
22,facebook/deit-tiny-patch16-224,0.7007875
23,microsoft/swin-tiny-patch4-window7-224,0.7953278
24,Visual-Attention-Network/van-large,0.8053557
25,google/vit-base-patch32-384,0.8808799
26,facebook/convnext-base-224-22k-1k,0.87433046
27,google/vit-large-patch32-384,0.8954572
28,microsoft/swin-large-patch4-window7-224,0.90456736
29,lysandre/tiny-vit-random,0.021995569
30,facebook/convnext-large-224-22k-1k,0.8948968
31,facebook/convnext-base-384,0.87451
32,microsoft/resnet-50,0.70402664
33,microsoft/beit-base-patch16-224-pt22k,0.79080665
34,microsoft/beit-large-patch16-224,0.8508393
35,google/vit-large-patch16-224,0.8807458
36,facebook/convnext-large-384,0.8723303
37,facebook/convnext-large-384-22k-1k,0.9077519
38,nielsr/convnext-xlarge-224-22k-1k,0.9185428
39,facebook/deit-base-patch16-384,0.8709912
40,google/vit-base-patch16-384,0.8901897
41,facebook/deit-base-distilled-patch16-384,0.85440785
42,facebook/convnext-xlarge-224-22k-1k,0.9185428
43,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8619696
44,karthiksv/vit-base-patch16-224-cifar10,0.880679
45,nateraw/vit-base-patch16-224-cifar10,0.880679
46,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.880679
47,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.86830366
48,jadohu/BEiT-finetuned,0.7961018
49,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.862101
50,nateraw/vit-base-beans-demo,0.8394583
51,nickmuchi/vit-base-beans,0.8580376
52,karthiksv/vit-base-beans,0.8662707
53,nateraw/vit-base-beans-demo-v3,0.8383514
54,johnnydevriese/vit_beans,0.8662707
55,nateraw/vit-base-beans-demo-v2,0.84789574
56,mmekias/vit-base-beans,0.8662707
57,nateraw/vit-base-beans,0.8592925
58,mrm8488/convnext-tiny-finetuned-beans,0.8576387
59,nielsr/vit-finetuned-eurosat-kornia,0.8719001
60,mrm8488/convnext-tiny-finetuned-eurosat,0.8154954
61,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.83073217
62,Calin/convnext-tiny-finteuned-eurosat,0.833781
63,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.82139784
64,nielsr/convnext-tiny-finetuned-eurostat,0.833781
65,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.76297593
66,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.75583255
67,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.78582674
68,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7558294
69,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.745733
70,nielsr/convnext-tiny-finetuned-eurosat,0.8244004
71,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.7451389
72,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.748311
73,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.77592236
74,nielsr/van-base-finetuned-eurosat-imgaug,0.7864317
75,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.75065994
76,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.77262455
77,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7525997
78,eren23/pneumonia_test_attempt,0.8425768
79,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8583628
80,nickmuchi/vit-base-xray-pneumonia,0.8406492
81,facebook/convnext-base-224-22k,0.904171
82,microsoft/swin-large-patch4-window7-224-in22k,0.91486007
83,microsoft/swin-base-patch4-window7-224-in22k,0.87449247
84,microsoft/beit-base-patch16-224-pt22k-ft22k,0.86906385
85,facebook/convnext-large-224-22k,0.9434211
86,facebook/convnext-xlarge-224-22k,0.92509735
87,microsoft/swin-base-patch4-window12-384-in22k,0.9263415
88,microsoft/beit-large-patch16-224-pt22k-ft22k,0.862944
89,nielsr/convnext-xlarge-224-22k,0.91818887
90,nickmuchi/vit-finetuned-cats-dogs,0.8678584
91,ismgar01/vit-base-cats-vs-dogs,0.8607974
92,akahana/vit-base-cats-vs-dogs,0.8166989
93,nateraw/vit-base-cats-vs-dogs,0.84923214
94,nateraw/test_model_a,0.03449261
95,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8562811
96,Matthijs/snacks-classifier,0.7663063
97,nateraw/vit-base-food101,0.8793826
98,eslamxm/vit-base-food101,0.8391393
99,SriramSridhar78/sriram-car-classifier,0.7837629
100,imjeffhi/pokemon_classifier,0.80976456
101,AkshatSurolia/ViT-FaceMask-Finetuned,0.75276935
102,AkshatSurolia/BEiT-FaceMask-Finetuned,0.6658348
103,AkshatSurolia/DeiT-FaceMask-Finetuned,0.7625821
104,Ahmed9275/Vit-Cifar100,0.8143855
