,model,score
0,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.023978718
1,nateraw/vit-base-patch16-224-cifar10,0.4794829
2,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.16021715
3,nateraw/vit-base-beans-demo,-0.21420577
4,nickmuchi/vit-base-beans,-0.1555363
5,nateraw/vit-base-beans-demo-v3,-0.24326605
6,nateraw/vit-base-beans-demo-v2,-0.24887629
7,mmekias/vit-base-beans,0.38753664
8,nateraw/vit-base-beans,0.29583383
9,mrm8488/convnext-tiny-finetuned-beans,1.5590502
10,nielsr/vit-finetuned-eurosat-kornia,-0.31517854
11,mrm8488/convnext-tiny-finetuned-eurosat,1.2644119
12,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,1.0310717
13,Calin/convnext-tiny-finteuned-eurosat,0.9803838
14,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,1.3643324
15,nielsr/convnext-tiny-finetuned-eurostat,0.98608464
16,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,1.4396933
17,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,1.1471169
18,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,1.2306846
19,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,1.2128695
20,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.95680094
21,nielsr/convnext-tiny-finetuned-eurosat,1.3167188
22,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,1.0264363
23,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9093241
24,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8675008
25,nielsr/van-base-finetuned-eurosat-imgaug,0.41748342
26,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,1.1294892
27,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8675869
28,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,1.241931
29,eren23/pneumonia_test_attempt,-0.49880418
30,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.075229585
31,nickmuchi/vit-base-xray-pneumonia,0.04435512
32,IDEA-CCNL/Taiyi-vit-87M-D,-0.6867964
33,mrm8488/data2vec-base-finetuned-imagenet1k,0.07332844
34,facebook/convnext-base-224,0.16592655
35,facebook/convnext-small-224,0.6309888
36,microsoft/swin-base-patch4-window7-224,0.16927245
37,microsoft/beit-base-patch16-224,-1.3517147
38,facebook/convnext-tiny-224,1.2588065
39,Visual-Attention-Network/van-small,0.27376646
40,WinKawaks/vit-small-patch16-224,-0.15938655
41,facebook/deit-small-distilled-patch16-224,0.10096405
42,Visual-Attention-Network/van-base,0.07482404
43,facebook/deit-small-patch16-224,-0.21190701
44,microsoft/swin-small-patch4-window7-224,0.25509003
45,Ahmed9275/ALL-3,0.8547353
46,facebook/convnext-large-224,0.8420323
47,WinKawaks/vit-tiny-patch16-224,-0.536163
48,Visual-Attention-Network/van-tiny,-0.8580879
49,facebook/deit-tiny-distilled-patch16-224,-0.15917626
50,Ahmed9275/ALL-test,0.6756324
51,facebook/deit-tiny-patch16-224,-0.08349707
52,microsoft/swin-tiny-patch4-window7-224,1.2107841
53,Visual-Attention-Network/van-large,0.23015906
54,facebook/convnext-base-224-22k-1k,0.60986507
55,lysandre/tiny-vit-random,-1.2975045
56,facebook/convnext-large-224-22k-1k,1.3281823
57,facebook/convnext-base-384,0.46255842
58,facebook/convnext-base-224-22k,1.2427639
59,microsoft/swin-base-patch4-window7-224-in22k,0.34267735
60,microsoft/beit-base-patch16-224-pt22k-ft22k,-1.0808809
61,facebook/convnext-large-224-22k,1.4710708
62,nickmuchi/vit-finetuned-cats-dogs,0.10880019
63,akahana/vit-base-cats-vs-dogs,-0.30314928
64,nateraw/vit-base-cats-vs-dogs,-0.08143938
65,nateraw/test_model_a,-1.2412633
66,nateraw/vit-base-food101,0.08404882
67,eslamxm/vit-base-food101,-0.18770291
68,SriramSridhar78/sriram-car-classifier,-0.32680357
69,AkshatSurolia/ViT-FaceMask-Finetuned,-0.43695202
70,AkshatSurolia/BEiT-FaceMask-Finetuned,-0.004032269
71,AkshatSurolia/DeiT-FaceMask-Finetuned,0.3184292
72,Ahmed9275/Vit-Cifar100,-0.055539392
73,Matthijs/snacks-classifier,1.3435537
