,model,score
0,google/vit-base-patch16-224,0.92539126
1,IDEA-CCNL/Taiyi-vit-87M-D,0.9192968
2,facebook/deit-base-patch16-224,0.9324297
3,facebook/deit-base-distilled-patch16-224,0.9329704
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8713735
5,facebook/convnext-base-224,0.93013144
6,facebook/convnext-small-224,0.9190147
7,microsoft/swin-base-patch4-window7-224,0.9415367
8,microsoft/beit-base-patch16-224,0.808461
9,facebook/convnext-tiny-224,0.9357127
10,Visual-Attention-Network/van-small,0.912614
11,WinKawaks/vit-small-patch16-224,0.90492505
12,facebook/deit-small-distilled-patch16-224,0.9301988
13,Visual-Attention-Network/van-base,0.92962813
14,facebook/deit-small-patch16-224,0.8983266
15,microsoft/swin-small-patch4-window7-224,0.958307
16,Ahmed9275/ALL-3,0.92993164
17,facebook/convnext-large-224,0.91931224
18,WinKawaks/vit-tiny-patch16-224,0.77347296
19,Visual-Attention-Network/van-tiny,0.84408
20,facebook/deit-tiny-distilled-patch16-224,0.8371321
21,Ahmed9275/ALL-test,0.92442846
22,facebook/deit-tiny-patch16-224,0.78364366
23,microsoft/swin-tiny-patch4-window7-224,0.9144684
24,Visual-Attention-Network/van-large,0.89727575
25,google/vit-base-patch32-384,0.91988873
26,facebook/convnext-base-224-22k-1k,0.9422338
27,google/vit-large-patch32-384,0.91350234
28,microsoft/swin-large-patch4-window7-224,0.9516326
29,lysandre/tiny-vit-random,0.0037534926
30,facebook/convnext-large-224-22k-1k,0.93805563
31,facebook/convnext-base-384,0.9448975
32,microsoft/resnet-50,0.8776822
33,microsoft/beit-base-patch16-224-pt22k,0.8104663
34,microsoft/beit-large-patch16-224,0.6781081
35,google/vit-large-patch16-224,0.92484516
36,facebook/convnext-large-384,0.92672825
37,facebook/convnext-large-384-22k-1k,0.9601841
38,nielsr/convnext-xlarge-224-22k-1k,0.9397267
39,facebook/deit-base-patch16-384,0.95326704
40,google/vit-base-patch16-384,0.94483155
41,facebook/deit-base-distilled-patch16-384,0.93857837
42,facebook/convnext-xlarge-224-22k-1k,0.9566009
43,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.92034394
44,karthiksv/vit-base-patch16-224-cifar10,0.9230683
45,nateraw/vit-base-patch16-224-cifar10,0.92001927
46,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8981366
47,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.91052145
48,jadohu/BEiT-finetuned,0.84011024
49,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.91326517
50,nateraw/vit-base-beans-demo,0.9083991
51,nickmuchi/vit-base-beans,0.90213025
52,karthiksv/vit-base-beans,0.9114439
53,nateraw/vit-base-beans-demo-v3,0.906027
54,johnnydevriese/vit_beans,0.9017784
55,nateraw/vit-base-beans-demo-v2,0.90258247
56,mmekias/vit-base-beans,0.91198176
57,nateraw/vit-base-beans,0.931905
58,mrm8488/convnext-tiny-finetuned-beans,0.9092233
59,nielsr/vit-finetuned-eurosat-kornia,0.9337475
60,mrm8488/convnext-tiny-finetuned-eurosat,0.91039896
61,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.91897756
62,Calin/convnext-tiny-finteuned-eurosat,0.9189848
63,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.87736243
64,nielsr/convnext-tiny-finetuned-eurostat,0.81028277
65,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8692733
66,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.867714
