,model,score
0,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9392587
1,Matthijs/snacks-classifier,0.91043246
2,ibombonato/swin-age-classifier,0.8973876
3,mrm8488/convnext-tiny-finetuned-beans,0.9457488
4,mmekias/vit-base-beans,0.9372376
5,nateraw/vit-base-beans-demo,0.93113935
6,karthiksv/vit-base-beans,0.9095939
7,nateraw/vit-base-beans-demo-v2,0.9109557
8,nateraw/test_model_a,-0.026339732
9,akahana/vit-base-cats-vs-dogs,0.88892627
10,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.94514227
11,nateraw/vit-base-patch16-224-cifar10,0.94667006
12,karthiksv/vit-base-patch16-224-cifar10,0.94133455
13,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.930061
14,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.9310495
15,jadohu/BEiT-finetuned,0.8021372
16,nielsr/vit-finetuned-eurosat-kornia,0.9312247
17,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9030139
18,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9135284
19,nielsr/convnext-tiny-finetuned-eurosat,0.9263037
20,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9207313
21,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8912134
22,nielsr/convnext-tiny-finetuned-eurostat,0.9515098
23,nielsr/van-base-finetuned-eurosat-imgaug,0.94380116
24,nateraw/huggingpics-package-demo-2,0.9315806
25,nateraw/rare-puppers,0.9269698
26,gatecitypreservation/architectural_styles,0.9217696
27,firas-spanioli/beer-whisky-wine-detection,0.9470483
28,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.93818885
29,nateraw/doggos-lol,0.90736294
30,Amrrs/south-indian-foods,0.9388731
31,jasmeen/dogs,0.94134194
32,HHousen/household-rooms,0.94774455
33,driboune/skin_type,0.9320668
34,AhmedSayeem/VIT_Basic,0.930078
35,Symbermine/rare-puppers,0.9443731
36,hafidber/fruits,0.94483966
37,hafidber/rare-puppers,0.9233093
38,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.9138986
39,nateraw/baseball-stadium-foods,0.9388516
40,black/simple_kitchen,0.9386078
41,jeffboudier/vision-transformers-spain-or-italy-fan,0.93901694
42,ajanco/greens,0.9537544
43,filipafcastro/beer_vs_wine,0.95058656
44,edixo/road_good_damaged_condition,0.94040024
45,Sena/dog,0.9359848
46,firebolt/llama_or_what,0.93271327
47,nateraw/donut-or-bagel,0.91979015
48,jmarshall/rare-puppers,0.92986137
49,nateraw/rare-puppers-demo,0.9236823
50,nateraw/trainer-rare-puppers,0.89944607
51,nateraw/ex-for-evan,0.93824375
52,johnnydevriese/vit-airplanes,0.9260708
53,Neto71/sea_mammals,0.9321253
54,iyzg/computer-stuff,0.9242767
55,nateraw/rare-puppers-09-04-2021,0.94012463
56,facebook/convnext-base-224,0.9464051
57,Visual-Attention-Network/van-base,0.9425434
58,facebook/deit-base-patch16-224,0.9412997
59,mrm8488/data2vec-base-finetuned-imagenet1k,0.9005718
60,microsoft/swin-tiny-patch4-window7-224,0.9184888
61,facebook/convnext-large-224,0.9431471
62,facebook/deit-tiny-distilled-patch16-224,0.84152836
63,WinKawaks/vit-tiny-patch16-224,0.78829265
64,WinKawaks/vit-small-patch16-224,0.89560163
65,facebook/convnext-tiny-224,0.9440943
66,facebook/deit-small-patch16-224,0.90308565
67,facebook/convnext-small-224,0.95516443
68,microsoft/swin-small-patch4-window7-224,0.9160964
69,microsoft/beit-base-patch16-224,0.84607154
70,facebook/deit-tiny-patch16-224,0.81645787
71,Ahmed9275/ALL-3,0.92979765
72,microsoft/resnet-50,0.87198937
73,Visual-Attention-Network/van-large,0.94473934
74,facebook/convnext-large-224-22k-1k,0.9618268
75,google/vit-large-patch32-384,0.9086809
76,google/vit-large-patch16-224,0.8974882
77,facebook/convnext-base-384,0.9388792
78,facebook/deit-base-distilled-patch16-384,0.9502714
79,facebook/convnext-large-384,0.9448451
80,facebook/deit-base-patch16-384,0.9474187
81,google/vit-base-patch16-384,0.9605225
82,facebook/convnext-large-224-22k,0.9845543
83,facebook/convnext-xlarge-224-22k,0.98146933
84,microsoft/swin-base-patch4-window12-384-in22k,0.9605246
85,imjeffhi/pokemon_classifier,0.8848124
86,AkshatSurolia/ViT-FaceMask-Finetuned,0.92535156
87,SriramSridhar78/sriram-car-classifier,0.9350494
