,model,score
0,firebolt/llama_or_what2,0.92232966
1,google/vit-base-patch16-224,0.9143127
2,nateraw/denver-nyc-paris,0.93381226
3,black/simple_kitchen,0.9211212
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.938608
5,Suzana/new-york-tokyo-london,0.91874486
6,filipafcastro/beer_vs_wine,0.9265272
7,nateraw/baked-goods,0.93054277
8,ajanco/greens,0.9353031
9,nateraw/vit-base-beans-demo,0.91296035
10,HHousen/household-rooms,0.9402666
11,Amrrs/indian-foods,0.92514473
12,nateraw/planes-trains-automobiles,0.92541295
13,julien-c/hotdog-not-hotdog,0.90954036
14,jmarshall/rare-puppers,0.9201871
15,nielsr/vit-finetuned-eurosat-kornia,0.92074865
16,eren23/pneumonia_test_attempt,0.92540264
17,micole66/dwarf-goats,0.9228467
18,nateraw/ex-for-evan,0.9135698
19,karthiksv/vit-base-patch16-224-cifar10,0.90864515
20,ferdinand/rare-puppers,0.91325617
21,ipvikas/rare-puppers,0.9243328
22,Frodnar/bee-likes,0.92081064
23,nickmuchi/vit-base-beans,0.909549
24,nateraw/baseball-stadium-foods,0.91683334
25,Giuliano/places,0.91538674
26,firas-spanioli/beer-whisky-wine-detection,0.9308627
27,jjhoffstein/lotr,0.91222763
28,Nonem100/Test-Model,0.917382
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.92146534
30,LorenzoDeMattei/lawn-weeds,0.9120526
31,nateraw/doggos-lol,0.88381046
32,IDEA-CCNL/Taiyi-vit-87M-D,0.9315776
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.93613297
34,karthiksv/vit-base-beans,0.9171603
35,Symbermine/rare-puppers,0.9284901
36,nateraw/vit-base-patch16-224-cifar10,0.913617
37,gatecitypreservation/architectural_styles,0.9185348
38,Amrrs/south-indian-foods,0.92647386
39,hafidber/fruits,0.9121192
40,nateraw/rare-puppers-123,0.9165516
41,Aftabhussain/Tomato_Leaf_Classifier,0.9345694
42,nickmuchi/vit-base-xray-pneumonia,0.8857408
43,Neto71/sea_mammals,0.9059054
44,lewtun/oz-fauna,0.92781174
45,hgarg/fruits,0.9246275
46,jasmeen/dogs,0.9280944
47,b25mayank3/shirt_identifier,0.92940056
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.92589164
49,facebook/convnext-base-224-22k,0.9337966
50,nickmuchi/vit-finetuned-cats-dogs,0.9318516
51,godiec/diam,0.9324655
52,Rajaram1996/FacialEmoRecog,0.925731
53,nateraw/vit-base-beans-demo-v3,0.92866653
54,firebolt/llama_or_what,0.9210836
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.91629237
56,johnnydevriese/vit_beans,0.90756094
57,nateraw/vit-age-classifier,0.90735334
58,nateraw/vit-base-beans-demo-v2,0.9181232
59,mmekias/vit-base-beans,0.9242373
60,juanfiguera/ice_cream,0.929187
61,drab/Infrastructures,0.8932336
62,nateraw/vit-base-beans,0.9227965
63,Sena/dog,0.9245685
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.905249
65,hafidber/rare-puppers,0.9167583
66,edixo/road_good_damaged_condition,0.9259735
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.9160246
68,Sena/flowers,0.9264782
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9248977
70,johnnydevriese/vit-airplanes,0.9331816
71,nateraw/pasta-shapes,0.9278669
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.9210092
73,hgarg/indian-snacks,0.91305727
74,nateraw/vit-base-food101,0.9309835
75,Hijazzi/rare-puppers,0.9123706
76,nateraw/trainer-rare-puppers,0.86697763
77,ibombonato/vit-age-classifier,0.90971845
78,nateraw/rare-puppers-new-auth,0.92204916
79,SriramSridhar78/sriram-car-classifier,0.9218297
80,ismgar01/vit-base-cats-vs-dogs,0.8886995
81,nateraw/rare-puppers,0.93593556
82,iyzg/computer-stuff,0.91488904
83,nateraw/huggingpics-package-demo-2,0.9234215
84,imjeffhi/pokemon_classifier,0.9003892
85,nateraw/pasta-pizza-ravioli,0.9330002
86,akahana/vit-base-cats-vs-dogs,0.8718596
87,nateraw/donut-or-bagel,0.9148207
88,nateraw/rare-puppers-09-04-2021,0.9241114
89,nateraw/vit-base-cats-vs-dogs,0.9154083
90,Zayn/VIT_Basic,0.9274656
