,model,score
0,Rajaram1996/FacialEmoRecog,0.60427976
1,matteopilotto/vit-base-patch16-224-in21k-snacks,0.62333405
2,Matthijs/snacks-classifier,0.6881839
3,nateraw/vit-age-classifier,0.5860867
4,ibombonato/vit-age-classifier,0.60121006
5,ibombonato/swin-age-classifier,0.6821814
6,mrm8488/convnext-tiny-finetuned-beans,0.74821764
7,nateraw/vit-base-beans,0.6048674
8,johnnydevriese/vit_beans,0.5952679
9,nateraw/vit-base-beans-demo,0.5872619
10,nickmuchi/vit-base-beans,0.58947414
11,karthiksv/vit-base-beans,0.5939909
12,nateraw/vit-base-beans-demo-v2,0.62052906
13,nateraw/vit-base-beans-demo-v3,0.6011298
14,nickmuchi/vit-finetuned-cats-dogs,0.6058659
15,nateraw/vit-base-cats-vs-dogs,0.61232054
16,ismgar01/vit-base-cats-vs-dogs,0.58912885
17,nateraw/test_model_a,0.024995739
18,akahana/vit-base-cats-vs-dogs,0.58320737
19,eren23/pneumonia_test_attempt,0.6198726
20,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.6021988
21,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.58897364
22,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.6156304
23,Ahmed9275/Vit-Cifar100,0.563273
24,nielsr/vit-finetuned-eurosat-kornia,0.61643857
25,Calin/convnext-tiny-finteuned-eurosat,0.7646289
26,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7059393
27,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.69232976
28,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.6844027
29,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.70061505
30,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6915706
31,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6716074
32,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.69255775
33,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.670336
34,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.72709435
35,mrm8488/convnext-tiny-finetuned-eurosat,0.7457497
36,nielsr/van-base-finetuned-eurosat-imgaug,0.74560326
37,nateraw/vit-base-food101,0.6133048
38,meame2010/rare-puppers,0.62601614
39,nateraw/huggingpics-package-demo-2,0.618996
40,nateraw/rare-puppers,0.6222077
41,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.6057597
42,nateraw/doggos-lol,0.5141831
43,Amrrs/south-indian-foods,0.6186076
44,Amrrs/indian-foods,0.61286443
45,jasmeen/dogs,0.6085713
46,HHousen/household-rooms,0.6042757
47,nateraw/planes-trains-automobiles,0.61471295
48,ipvikas/rare-puppers,0.60850024
49,Sena/flowers,0.6052954
50,driboune/skin_type,0.60408324
51,AhmedSayeem/VIT_Basic,0.599522
52,nateraw/rare-puppers-123,0.60578245
53,Symbermine/rare-puppers,0.60296017
54,juanfiguera/ice_cream,0.6160799
55,micole66/dwarf-goats,0.6197962
56,nateraw/baseball-stadium-foods,0.60921
57,black/simple_kitchen,0.61199003
58,jeffboudier/vision-transformers-spain-or-italy-fan,0.61214864
59,nateraw/denver-nyc-paris,0.60742104
60,ajanco/greens,0.608389
61,nateraw/baked-goods,0.6272294
62,edixo/road_good_damaged_condition,0.61472595
63,lewtun/oz-fauna,0.6127731
64,Sena/dog,0.6095459
65,firebolt/llama_or_what,0.605825
66,nateraw/rare-puppers-new-auth,0.6078108
67,Giuliano/places,0.61147404
68,Frodnar/bee-likes,0.600923
69,nateraw/pasta-pizza-ravioli,0.60768616
70,LorenzoDeMattei/lawn-weeds,0.5963188
71,Suzana/new-york-tokyo-london,0.6105459
72,nateraw/rare-puppers-demo,0.54889286
73,hgarg/indian-snacks,0.6016844
74,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.5911391
75,nateraw/ex-for-evan,0.61433184
76,flyswot/test,0.41222104
77,Neto71/sea_mammals,0.5933986
78,godiec/diam,0.6084557
79,nateraw/pasta-shapes,0.60538197
80,nateraw/rare-puppers-09-04-2021,0.60499334
81,Zayn/VIT_Basic,0.61900973
82,facebook/deit-base-distilled-patch16-224,0.7153544
83,facebook/convnext-base-224,0.7637264
84,google/vit-base-patch32-384,0.6032145
85,Visual-Attention-Network/van-tiny,0.5640849
86,facebook/deit-base-patch16-224,0.64195544
87,IDEA-CCNL/Taiyi-vit-87M-D,0.6175779
88,google/vit-base-patch16-224,0.6107065
89,mrm8488/data2vec-base-finetuned-imagenet1k,0.5132781
90,facebook/deit-small-distilled-patch16-224,0.67713237
91,facebook/convnext-large-224,0.7758914
