,model,score
0,firebolt/llama_or_what2,0.8667978
1,google/vit-base-patch16-224,0.8672773
2,nateraw/denver-nyc-paris,0.8803651
3,black/simple_kitchen,0.8764976
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.89442533
5,Suzana/new-york-tokyo-london,0.8707538
6,filipafcastro/beer_vs_wine,0.8563614
7,nateraw/baked-goods,0.88726526
8,ajanco/greens,0.87914
9,nateraw/vit-base-beans-demo,0.85833013
10,HHousen/household-rooms,0.8789985
11,Amrrs/indian-foods,0.86455643
12,nateraw/planes-trains-automobiles,0.8688988
13,julien-c/hotdog-not-hotdog,0.86468214
14,jmarshall/rare-puppers,0.86417603
15,nielsr/vit-finetuned-eurosat-kornia,0.86045855
16,eren23/pneumonia_test_attempt,0.87391824
17,micole66/dwarf-goats,0.8719563
18,nateraw/ex-for-evan,0.8484531
19,karthiksv/vit-base-patch16-224-cifar10,0.8632848
20,ferdinand/rare-puppers,0.86035633
21,ipvikas/rare-puppers,0.8768711
22,Frodnar/bee-likes,0.8741422
23,nickmuchi/vit-base-beans,0.85413027
24,nateraw/baseball-stadium-foods,0.86294675
25,Giuliano/places,0.85563934
26,firas-spanioli/beer-whisky-wine-detection,0.8876055
27,jjhoffstein/lotr,0.8451034
28,Nonem100/Test-Model,0.8568199
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.86680907
30,LorenzoDeMattei/lawn-weeds,0.85222584
31,nateraw/doggos-lol,0.85300785
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8810838
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8706984
34,karthiksv/vit-base-beans,0.8637653
35,Symbermine/rare-puppers,0.8778728
36,nateraw/vit-base-patch16-224-cifar10,0.8654663
37,gatecitypreservation/architectural_styles,0.8787906
38,Amrrs/south-indian-foods,0.8704531
39,hafidber/fruits,0.86601406
40,nateraw/rare-puppers-123,0.8726051
41,Aftabhussain/Tomato_Leaf_Classifier,0.87954074
42,nickmuchi/vit-base-xray-pneumonia,0.8505398
43,Neto71/sea_mammals,0.83454025
44,lewtun/oz-fauna,0.87346333
45,hgarg/fruits,0.86624914
46,jasmeen/dogs,0.88664603
47,b25mayank3/shirt_identifier,0.88430095
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.8631829
49,facebook/convnext-base-224-22k,0.94056535
50,nickmuchi/vit-finetuned-cats-dogs,0.88260585
51,godiec/diam,0.868077
52,Rajaram1996/FacialEmoRecog,0.8700033
53,nateraw/vit-base-beans-demo-v3,0.8683187
54,firebolt/llama_or_what,0.8699733
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8461986
56,johnnydevriese/vit_beans,0.85654134
57,nateraw/vit-age-classifier,0.8606972
58,nateraw/vit-base-beans-demo-v2,0.87168235
59,mmekias/vit-base-beans,0.8598509
60,juanfiguera/ice_cream,0.88029635
61,drab/Infrastructures,0.85599154
62,nateraw/vit-base-beans,0.87821376
63,Sena/dog,0.866428
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.86347485
65,hafidber/rare-puppers,0.87343085
66,edixo/road_good_damaged_condition,0.864807
