,stanfordcars,svhn,caltech101,pets,cifar100,flowers,smallnorb_label_elevation,dtd,average
lr_node2vec_all_normalize_without_transfer,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lr_node2vec+_all_normalize_without_transfer,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
xgb_node2vec+_all_normalize_without_transfer,1.0,1.0,0.8984032465281316,1.0,1.0,1.0,1.0,1.0,0.9906690239909682
xgb_node2vec_all_normalize_without_transfer,1.0,0.9536895266343326,0.8402793355584096,1.0,1.0,1.0,1.0,1.0,0.9829262992175163
xgb_homoGATConv_all_normalize_without_transfer,1.0,1.0,0.8984032465281316,0.8812049046957465,1.0,1.0,1.0,1.0,0.9794409701172162
lr_homoGATConv_all_normalize_without_transfer,1.0,1.0,1.0,0.8812049046957465,1.0,0.8997360503010274,1.0,1.0,0.9743563602588667
rf_homo_SAGEConv_all_normalize_without_transfer,1.0,1.0,0.7968064930562633,1.0,1.0,0.9498296686280583,1.0,1.0,0.9741247402870113
xgb_homo_SAGEConv_all_normalize_without_transfer,1.0,1.0,0.8984032465281316,0.8812049046957465,1.0,0.9498296686280583,0.6775785498848184,1.0,0.9575473680156467
rf_node2vec+_all_normalize_without_transfer,0.6694356821450108,1.0,1.0,1.0,1.0,0.9498296686280583,0.976744959270431,1.0,0.8752891894395727
LogME,0.831406327589258,0.5908151906025166,1.0,0.8279526515369812,1.0,1.0,0.19134750138019838,0.9494156447467794,0.8582671053675845
rf_homoGATConv_all_normalize_without_transfer,1.0,0.840462543588921,0.8402793355584096,0.8416454377918741,0.6167401545076356,0.9498296686280583,0.6410003087372653,0.6300669605771052,0.856252233657553
rf_node2vec_all_normalize_without_transfer,0.6694356821450108,1.0,0.7968064930562633,0.8812049046957465,1.0,1.0,1.0,1.0,0.8536713253997356
lr_homo_SAGEConv_all_normalize_without_transfer,0.6694356821450108,1.0,0.7968064930562633,0.8812049046957465,0.8101610111112596,1.0,1.0,1.0,0.8419800315822727
Reg-H-Score,0.6380906233945197,0.5908151906025166,1.0,0.8279526515369812,1.0,0.9720988137923545,1.0,0.9494156447467794,0.8229807115065815
