,stanfordcars,svhn,caltech101,pets,cifar100,flowers,smallnorb_label_elevation,dtd,average
xgb_node2vec_all_normalize_without_transfer,1.0,0.9962688528036154,0.9962994387822904,0.9929632201299576,1.0,1.0,0.999165653052403,1.0,0.9987825641401615
xgb_node2vec+_all_normalize_without_transfer,1.0,1.0,0.9938255829406172,0.9882789425139649,1.0,1.0,1.0,1.0,0.9983818381514395
Reg-H-Score,1.0,1.0,1.0,0.9929301027686093,1.0,0.9902,1.0,1.0,0.9979614514002599
LogME,1.0,1.0,0.9938255829406172,0.9929301027686093,1.0,0.9902,1.0,1.0,0.9974026401416987
lr_homoGATConv_all_normalize_without_transfer,1.0,1.0,0.9938255829406172,0.9882789425139649,1.0,0.99673,1.0,0.9841646569434342,0.9953801123884465
lr_node2vec+_all_normalize_without_transfer,1.0,1.0,0.9962994387822904,0.9882789425139649,1.0,1.0,0.9993063862724797,0.9728464061044546,0.9942290928442962
lr_node2vec_all_normalize_without_transfer,1.0,1.0,0.9962994387822904,0.9882789425139649,1.0,1.0,0.9993063862724797,0.9728464061044546,0.9942290928442962
rf_homoGATConv_all_normalize_without_transfer,0.9205914102393052,0.9582531924956645,0.9888778712572708,0.9859368037059684,0.9899971052716221,1.0,1.0,0.9728464061044546,0.9621089099548933
rf_node2vec+_all_normalize_without_transfer,0.9205914102393052,0.9982763150980083,1.0,1.0,1.0,1.0,0.9979292111903015,0.9298574691523435,0.9602669259849096
lr_homo_SAGEConv_all_normalize_without_transfer,0.8754351280216381,1.0,0.9938255829406172,0.9871078731099665,0.9934278944603476,0.99346,0.9993063862724797,1.0,0.9524978104017108
xgb_homoGATConv_all_normalize_without_transfer,0.8759324171892247,1.0,0.9962994387822904,0.9882789425139649,1.0,1.0,0.999165653052403,0.9841646569434342,0.9517904564109987
rf_node2vec_all_normalize_without_transfer,0.8759324171892247,1.0,0.9814665262770513,0.9871078731099665,1.0,1.0,0.999165653052403,0.9841646569434342,0.9503421727385176
rf_homo_SAGEConv_all_normalize_without_transfer,0.8759324171892247,0.9982763150980083,0.9888778712572708,1.0,0.9721998863551082,0.99673,1.0,0.9728464061044546,0.948178718055722
xgb_homo_SAGEConv_all_normalize_without_transfer,0.8531056314965978,0.9964580377318829,0.982703454197888,0.9882789425139649,0.9537593944657082,1.0,0.9979292111903015,0.9728464061044546,0.9375934359867252
random,0.6126454844695927,0.9469806247802349,0.9171459446340376,0.9161191796296105,0.942669248255215,0.8721047999999998,0.9607678134226865,0.8170868871373186,0.7911210921936244
