,stanfordcars,svhn,caltech101,pets,cifar100,flowers,smallnorb_label_elevation,dtd,average
lr_node2vec+_all_normalize_without_transfer,0.7690060445535263,0.5917362303035374,0.7245667053845481,0.6920669402973338,0.5392124958827872,0.5288934950750416,0.7061719474294891,0.6357330446282567,0.6759612278610396
lr_node2vec_all_normalize_without_transfer,0.7689114507748313,0.5917362303035374,0.7245667053845481,0.6912087522936146,0.5392124958827872,0.5289543780914241,0.70594394423995,0.6357012872131109,0.6758436064614326
xgb_node2vec_all_normalize_without_transfer,0.7103025018479732,0.7461400519998711,0.6183799568016977,0.548066513198503,0.5822879644237973,0.6014443623870439,0.6420004536571888,0.6887440838579417,0.6597211673209125
xgb_node2vec+_all_normalize_without_transfer,0.6658599579475531,0.543347313112913,0.6338882097742805,0.71670331973064,0.49297812523493856,0.6210027824542472,0.6948760408729662,0.6362333184353524,0.6404535658843287
xgb_homo_SAGEConv_all_normalize_without_transfer,0.6502998632080228,0.46176146117591105,0.40459468484646044,0.6988960081456437,0.20534812093466187,0.6084711465715019,0.6407663392067688,0.6595499450154876,0.5903570935385481
xgb_homoGATConv_all_normalize_without_transfer,0.6153495214892222,0.5013050595611724,0.6298476990839048,0.6492510169624104,0.2052339184373603,0.5844333130263766,0.6066527872954389,0.6063559221895327,0.5825791804637591
lr_homoGATConv_all_normalize_without_transfer,0.581223548665792,0.5620504736593346,0.5921583506349053,0.570622056292038,0.390256919817881,0.40043442795156003,0.5952386973330013,0.6092887796816877,0.548056143443791
rf_node2vec_all_normalize_without_transfer,0.6225669601988193,0.6502190240144793,0.23616900682485759,0.5289413769631763,0.33358092959973457,0.5905361848085016,0.6727485176252692,0.43263107455375166,0.5306461324477393
rf_node2vec+_all_normalize_without_transfer,0.47478892921372384,0.5551294973362029,0.6709447310360981,0.6590953733630951,0.39231954029865324,0.5233155251816776,0.5866420328976139,0.5087155166074928,0.526036037886365
rf_homo_SAGEConv_all_normalize_without_transfer,0.5145646968468502,0.6449813420383859,0.6141916614094718,0.5305115327660709,0.2763211374343084,0.33781216407305004,0.6713829516799626,0.5443313238386834,0.5044992672830962
Reg-H-Score,0.38919586538984763,0.24042284168905254,0.4603244776391864,0.22746729162071788,0.3924422917540876,0.5453058488316734,0.09758940839712284,0.49712586570387185,0.3996922610677985
rf_homoGATConv_all_normalize_without_transfer,0.15328391119033502,0.26685096755253407,0.5830294684421766,0.5973051233659888,0.4005220106117804,0.4185988674934594,0.6346485024126893,0.6161132552563178,0.386420980878648
lr_homo_SAGEConv_all_normalize_without_transfer,0.3341047384372212,0.4304426369096816,0.53795328381624,0.08976743849752429,0.35345955690352115,0.30522795015957616,0.6430003805175032,0.44451639591634085,0.3640640853166662
LogME,0.258406008233513,0.26803414583041846,0.38757787919036435,0.13766892686697432,0.40040882787191134,0.5943945760731513,0.06719624803005661,0.47429625099843775,0.3424136757420916
