,stanfordcars,svhn,caltech101,pets,cifar100,flowers,smallnorb_label_elevation,dtd,average
xgb_homo_SAGEConv_all_normalize_without_transfer,99.99999999999999,96.85534591194968,99.37888198757763,98.13664596273291,99.375,97.51552795031056,97.13375796178343,94.44444444444444,98.20339559585486
xgb_node2vec_all_normalize_without_transfer,96.27329192546583,100.0,94.09937888198758,96.89440993788818,96.25,99.37888198757763,99.36305732484075,100.0,97.506606558129
xgb_node2vec+_all_normalize_without_transfer,99.99999999999999,94.96855345911949,94.09937888198758,96.89440993788818,35.9375,99.37888198757763,95.54140127388534,98.76543209876543,94.71674916019545
lr_node2vec+_all_normalize_without_transfer,90.6832298136646,98.74213836477988,95.65217391304347,93.4782608695652,95.625,97.51552795031056,98.72611464968152,94.44444444444444,94.02162660896674
xgb_homoGATConv_all_normalize_without_transfer,88.19875776397515,96.85534591194968,94.09937888198758,96.89440993788818,96.25,99.37888198757763,95.54140127388534,71.29629629629629,89.65378611420901
rf_node2vec+_all_normalize_without_transfer,90.6832298136646,90.56603773584905,94.09937888198758,58.69565217391304,23.75,99.37888198757763,95.54140127388534,92.59259259259258,85.941579235862
rf_homoGATConv_all_normalize_without_transfer,99.99999999999999,97.48427672955974,92.54658385093167,96.89440993788818,96.25,32.91925465838509,84.07643312101911,71.29629629629629,83.78087104981147
lr_homoGATConv_all_normalize_without_transfer,96.89440993788818,96.85534591194968,99.37888198757763,96.89440993788818,98.75,5.590062111801242,100.0,91.35802469135803,83.3339126804135
rf_node2vec_all_normalize_without_transfer,95.65217391304347,90.56603773584905,94.09937888198758,93.4782608695652,23.75,35.40372670807453,98.72611464968152,94.44444444444444,82.1281788443589
rf_homo_SAGEConv_all_normalize_without_transfer,95.65217391304347,91.82389937106917,94.09937888198758,93.4782608695652,26.875,32.91925465838509,95.54140127388534,94.44444444444444,81.88518873671588
lr_node2vec_all_normalize_without_transfer,93.78881987577638,100.0,92.54658385093167,48.75776397515528,26.875,27.63975155279503,100.0,98.76543209876543,77.56859400701256
Reg-H-Score,33.72093023255814,100.0,99.23664122137406,99.23664122137406,89.23076923076924,94.27480916030535,7.086614173228347,99.18478260869564,70.34351131063411
LogME,33.72093023255814,100.0,99.23664122137406,6.870229007633588,89.23076923076924,94.27480916030535,7.086614173228347,57.336956521739125,55.25578330521435
lr_homo_SAGEConv_all_normalize_without_transfer,1.8633540372670807,96.85534591194968,3.105590062111801,95.34161490683229,96.25,72.04968944099379,98.72611464968152,99.38271604938271,50.81570748807398
random,25.465838509316768,5.660377358490566,18.633540372670804,21.11801242236025,28.75,32.29813664596273,16.560509554140125,25.925925925925924,24.280452115301877
