,stanfordcars,svhn,caltech101,pets,cifar100,flowers,smallnorb_label_elevation,dtd,average
xgb_homo_SAGEConv_all_normalize_without_transfer,0.82447,0.9479,0.97461,0.95475,0.93273,1.0,0.99396,0.76241,0.8850239646539712
xgb_node2vec+_all_normalize_without_transfer,0.82447,0.95145,0.97219,0.95362,0.93273,1.0,0.99396,0.76241,0.8848940608890142
rf_homoGATConv_all_normalize_without_transfer,0.82447,0.95145,0.97219,0.95362,0.92213,1.0,0.98807,0.72872,0.8786299702452938
rf_node2vec_all_normalize_without_transfer,0.759,0.94972,0.96131,0.95362,0.93273,1.0,0.9941,0.78369,0.8635268161612704
rf_node2vec+_all_normalize_without_transfer,0.759,0.95145,0.97461,0.95362,0.92213,1.0,0.99396,0.72518,0.8548080312982567
xgb_node2vec_all_normalize_without_transfer,0.72177,0.95145,0.96493,0.95362,0.92213,1.0,0.9941,0.78369,0.8498360627215278
lr_homo_SAGEConv_all_normalize_without_transfer,0.72177,0.94981,0.97461,0.95362,0.9266,0.98693,0.9941,0.78369,0.8489934352994342
rf_homo_SAGEConv_all_normalize_without_transfer,0.71768,0.9479,0.97219,0.95362,0.92213,1.0,0.99273,0.76241,0.8453462786328795
lr_node2vec_all_normalize_without_transfer,0.7189,0.95145,0.97219,0.92986,0.93273,1.0,0.99479,0.76241,0.8445250566426452
lr_homoGATConv_all_normalize_without_transfer,0.72177,0.9479,0.97461,0.95362,0.93273,0.98693,0.99479,0.71986,0.839051370805035
lr_node2vec+_all_normalize_without_transfer,0.67226,0.94972,0.96977,0.95814,0.9266,0.99673,0.99479,0.75,0.8270704547379542
Reg-H-Score,0.66203,0.94667,0.97823,0.95362,0.9234,0.9902,0.993,0.7305,0.8192214445476883
xgb_homoGATConv_all_normalize_without_transfer,0.58061,0.9479,0.97219,0.95362,0.92213,1.0,0.993,0.78369,0.7991071209475078
LogME,0.509,0.94667,0.97219,0.95362,0.9234,0.9902,0.90055,0.70745,0.7556416058151921
random,0.505428198757764,0.904652830188679,0.8996295031055901,0.8850086335403726,0.8814315007635354,0.8733408695652172,0.9575903184713376,0.6425993827160494,0.7121776133691219
