,stanfordcars,svhn,caltech101,pets,cifar100,flowers,smallnorb_label_elevation,dtd,average
xgb_node2vec_all_normalize_without_transfer,1.0,1.0,0.9938255829406172,1.0,1.0,1.0,0.999165653052403,1.0,0.9994217541409008
xgb_homoGATConv_all_normalize_without_transfer,1.0,1.0,0.9962994387822904,1.0,0.9899971052716221,1.0,0.999165653052403,1.0,0.9990598779794345
lr_homo_SAGEConv_all_normalize_without_transfer,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9841646569434342,0.9974436713450159
LogME,1.0,1.0,1.0,0.9929301027686093,1.0,0.99346,1.0,0.9927699709168003,0.9972635029962836
Reg-H-Score,1.0,1.0,1.0,0.9929301027686093,1.0,0.99346,1.0,0.9927699709168003,0.9972635029962836
xgb_homo_SAGEConv_all_normalize_without_transfer,1.0,1.0,0.9962994387822904,1.0,0.9899971052716221,1.0,0.9982006252575921,0.9841646569434342,0.9964637777376055
xgb_node2vec+_all_normalize_without_transfer,0.9736921901342681,1.0,0.9938255829406172,1.0,1.0,1.0,0.9993063862724797,1.0,0.9897926661442705
rf_node2vec_all_normalize_without_transfer,0.937462854924982,1.0,0.9962994387822904,1.0,1.0,1.0,1.0,0.9841646569434342,0.9742143118104243
rf_node2vec+_all_normalize_without_transfer,0.937462854924982,0.9962688528036154,0.9962994387822904,1.0,1.0,1.0,0.9993063862724797,0.9841646569434342,0.9739904124690898
lr_node2vec+_all_normalize_without_transfer,0.937462854924982,1.0,1.0,0.9882789425139649,0.9934278944603476,1.0,0.9993063862724797,0.9841646569434342,0.9730844716540028
rf_homo_SAGEConv_all_normalize_without_transfer,0.937462854924982,0.9921067843817332,0.9864040154155974,1.0,0.9899971052716221,0.99346,1.0,0.9570110630478889,0.9670280314382756
rf_homoGATConv_all_normalize_without_transfer,0.8704743653498611,0.9995690787745021,1.0,1.0,0.9890000321636487,1.0,0.9993063862724797,1.0,0.9518742313348445
lr_homoGATConv_all_normalize_without_transfer,0.8759324171892247,1.0,0.9962994387822904,1.0,1.0,1.0,1.0,0.9841646569434342,0.9516796013798116
lr_node2vec_all_normalize_without_transfer,0.8550826591628561,1.0,0.9962994387822904,1.0,0.9934278944603476,0.99346,0.9993063862724797,0.9841646569434342,0.9426958952718063
random,0.6162181630488544,0.9524663420291086,0.9222057525667104,0.9200748010506231,0.9463117638253739,0.8760531666666667,0.9642069271815249,0.8220318833552382,0.7918714527817543
