,stanfordcars,svhn,caltech101,pets,cifar100,flowers,smallnorb_label_elevation,dtd,average
lr_homo_SAGEConv_without_accuracy_all_normalize,0.6681528229261591,0.9697656689868913,0.8816324035439822,0.870723058148891,1.0,1.0,1.0,0.9258290811561936,0.9145128793452646
rf_node2vec+_normalize,0.931476040237801,0.8943546161635968,0.778330769242029,1.0,0.43947041136021225,0.9474747112176979,1.0,1.0,0.8738883185276671
lr_logme_data_distance_normalize,0.931819974701794,0.8951016198386644,0.8540416404550588,1.0,1.0,0.9467578581350211,0.5813606812485614,0.7430761649641903,0.8690197424179114
xgb_node2vec_data_distance_normalize,1.0,0.9257743660204895,0.8593837230557924,1.0,0.22648012663330122,1.0,0.9559947736275596,0.874431221898874,0.8552580264045021
xgb_node2vec+_all_normalize,1.0,0.9657098479643962,0.778330769242029,0.853723406176957,0.34585746603830086,1.0,0.980681329124557,0.9112273846408375,0.8544412753983847
xgb_node2vec+_data_distance_normalize,1.0,0.9657098479643962,0.9361411794930063,0.8862147362245155,0.06195096725360799,1.0,0.9559947736275596,0.9267712154024915,0.8415978399956972
svm_logme_data_distance_normalize,0.6771743384912053,0.9345537346972322,0.9514366487543477,0.8345506023227295,0.43465050840662706,0.9733789290675106,1.0,0.9100839031924872,0.8394785831165175
xgb_node2vec_basic_normalize,1.0,0.9215395161884442,0.778330769242029,0.853723406176957,0.34585746603830086,1.0,0.9423239681109951,0.8477774975952482,0.8361940779189968
xgb_homoGATConv_without_accuracy_basic_normalize,1.0,1.0,0.8540416404550588,0.8646081295534882,0.4014260936651236,0.9467578581350211,0.8646666708896309,0.7430761649641903,0.8343220697078141
xgb_node2vec_normalize,1.0,0.9215395161884442,0.762478537018793,0.8244939541840228,0.34585746603830086,0.9737373556088489,0.7886145433194199,1.0,0.8270901715447286
rf_node2vec+_without_accuracy_normalize,1.0,1.0,0.8540416404550588,0.8345506023227295,0.43465050840662706,0.9467578581350211,0.8011617374118705,0.7430761649641903,0.8267798139619371
rf_node2vec+_without_accuracy_basic_normalize,1.0,1.0,0.8540416404550588,0.8345506023227295,0.43465050840662706,0.9467578581350211,0.8011617374118705,0.7430761649641903,0.8267798139619371
xgb_node2vec+_normalize,1.0,1.0,0.778330769242029,0.853723406176957,0.34585746603830086,1.0,0.7771353330890831,0.8477774975952482,0.8253530590177023
xgb_homoGATConv_all_normalize,0.932444815218233,0.9295379192926915,0.8083178119550015,0.8179033356024507,0.4251568473936852,1.0,0.9822697388887737,0.7070258537255212,0.8253320402595445
lr_homoGATConv_without_accuracy_all_normalize,0.6681528229261591,0.9697656689868913,0.8816324035439822,0.6003222521226975,1.0,1.0,0.5491943160974222,0.9258290811561936,0.8243620681041681
lr_node2vec_data_distance_normalize,0.6801328963998396,0.9295379192926915,0.9361411794930063,1.0,0.47847360800399175,0.8927379436450807,0.9822697388887737,0.6861370626316309,0.8231787935443768
lr_node2vec+_data_distance_normalize,0.6801328963998396,0.9295379192926915,0.9361411794930063,1.0,0.47847360800399175,0.8927379436450807,0.9822697388887737,0.6861370626316309,0.8231787935443768
