,model,score
0,Jeevesh8/init_bert_ft_qqp-33,630.5
1,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,630.5
2,vaariis/distilbert-base-uncased-finetuned-emotion,630.5
3,heranm/finetuning-sentiment-model-3000-samples,630.5
4,marcelcastrobr/sagemaker-distilbert-emotion,630.5
5,jasonyim2/distilbert-base-uncased-finetuned-emotion,630.5
6,riyadhctg/distilbert-base-uncased-finetuned-cola,630.5
7,dapang/distilroberta-base-mic-sym,630.5
8,PrasunMishra/finetuning-sentiment-model-3000-samples,614.5
9,nurkayevaa/autonlp-bert-covid-407910458,630.5
10,SetFit/distilbert-base-uncased__sst2__train-16-0,630.5
11,abdelkader/distilbert-base-uncased-finetuned-emotion,630.5
12,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,630.5
13,gchhablani/fnet-base-finetuned-sst2,261.5
14,Capreolus/bert-base-msmarco,630.5
15,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,630.5
16,crcb/isear_bert,611.0
17,connectivity/cola_6ep_ft-33,630.5
18,Jeevesh8/init_bert_ft_qqp-49,630.5
19,Jeevesh8/feather_berts_46,481.5
20,yukta10/finetuning-sentiment-model-3000-samples,630.5
21,connectivity/cola_6ep_ft-22,630.5
22,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,630.5
23,cambridgeltl/guardian_news_distilbert-base-uncased,630.5
24,gchhablani/fnet-base-finetuned-cola,630.5
25,ncduy/roberta-imdb-sentiment-analysis,630.5
26,isakbos/Q8BERT_COLA_L_512,630.5
27,connectivity/bert_ft_qqp-7,630.5
28,moghis/distilbert-base-uncased-finetuned-emotion,630.5
29,uygarkurt/distilbert-base-uncased-finetuned-emotion,630.5
30,amyma21/sincere_question_classification,630.5
31,phailyoor/distilbert-base-uncased-finetuned-yahd,630.5
32,arianpasquali/distilbert-base-multilingual-cased-toxicity,630.5
33,neibla/distilbert-base-uncased-finetuned-emotion,630.5
34,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,630.5
35,Anthos23/FS-distilroberta-fine-tuned,612.5
36,pietrotrope/emotion_final,630.5
37,aviator-neural/bert-base-uncased-sst2,538.0
38,Jeevesh8/bert_ft_qqp-40,630.5
39,jaesun/distilbert-base-uncased-finetuned-cola,630.5
40,SetFit/distilbert-base-uncased__sst2__train-32-9,630.5
41,usami/distilbert-base-uncased-finetuned-cola,630.5
42,connectivity/feather_berts_28,630.5
43,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,630.5
44,Jeevesh8/bert_ft_qqp-9,630.5
45,Jeevesh8/bert_ft_qqp-88,630.5
46,Recognai/bert-base-spanish-wwm-cased-xnli,630.5
47,markt23917/finetuning-sentiment-model-3000-samples,630.5
48,JNK789/distilbert-base-uncased-finetuned-tweets-emoji-dataset,630.5
49,anirudh21/bert-base-uncased-finetuned-qnli,630.5
50,Jeevesh8/6ep_bert_ft_cola-47,630.5
51,oferweintraub/bert-base-finance-sentiment-noisy-search,630.5
52,aXhyra/demo_sentiment_31415,630.5
53,milyiyo/selectra-small-finetuned-amazon-review,630.5
54,aXhyra/presentation_sentiment_1234567,630.5
55,Alireza1044/albert-base-v2-qnli,630.5
56,liangyuant/distilbert-base-uncased-finetuned-num200-450-405cls,630.5
57,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,630.5
58,connectivity/cola_6ep_ft-10,630.5
59,Jeevesh8/lecun_feather_berts-3,630.5
60,jb2k/bert-base-multilingual-cased-language-detection,630.5
61,Giyaseddin/distilroberta-base-finetuned-short-answer-assessment,630.5
62,connectivity/bert_ft_qqp-25,630.5
63,Jeevesh8/6ep_bert_ft_cola-12,630.5
64,JB173/distilbert-base-uncased-finetuned-emotion,630.5
65,aXhyra/emotion_trained_31415,630.5
66,aXhyra/presentation_emotion_31415,630.5
67,AnonymousSub/dummy_2,630.5
68,Jeevesh8/bert_ft_qqp-55,630.5
69,Jeevesh8/lecun_feather_berts-51,630.5
70,viviastaari/finetuning-sentiment-analysis-en-id,630.5
71,vinai/bertweet-base,630.5
72,distilbert-base-uncased,630.5
73,bert-base-uncased,630.5
74,roberta-base,630.5
75,Aureliano/distilbert-base-uncased-if,630.5
76,rmihaylov/roberta-base-sentiment-bg,630.5
77,cardiffnlp/twitter-roberta-base-2021-124m,630.5
78,Alassea/glue_sst_classifier,630.5
79,Nanatan/distilbert-base-uncased-finetuned-emotion,630.5
80,connectivity/bert_ft_qqp-1,630.5
81,juliensimon/autonlp-imdb-demo-hf-16622767,630.5
82,Jeevesh8/bert_ft_qqp-39,630.5
83,Jeevesh8/lecun_feather_berts-8,630.5
84,connectivity/bert_ft_qqp-94,630.5
85,korca/bae-roberta-base-boolq,630.5
86,Jeevesh8/bert_ft_cola-88,630.5
87,aditeyabaral/finetuned-sail2017-xlm-roberta-base,630.5
88,connectivity/bert_ft_qqp-96,630.5
89,boychaboy/MNLI_roberta-base,630.5
90,fabriceyhc/bert-base-uncased-imdb,630.5
91,emrecan/bert-base-multilingual-cased-snli_tr,630.5
92,elozano/tweet_offensive_eval,630.5
93,joebobby/finetuning-sentiment-model-5000-samples3,630.5
94,YeRyeongLee/electra-base-discriminator-finetuned-filtered-0602,630.5
95,Jeevesh8/feather_berts_92,630.5
96,ASCCCCCCCC/distilbert-base-chinese-amazon_zh_20000,630.5
97,Jeevesh8/6ep_bert_ft_cola-29,630.5
98,albert-base-v2,630.5
99,bert-base-cased,630.5
100,Hate-speech-CNERG/bert-base-uncased-hatexplain-rationale-two,630.5
101,aychang/bert-base-cased-trec-coarse,630.5
102,cointegrated/roberta-base-formality,630.5
103,XSY/albert-base-v2-imdb-calssification,630.5
104,philschmid/tiny-distilbert-classification,630.5
105,gchhablani/bert-base-cased-finetuned-wnli,630.5
106,moshew/bert-mini-sst2-distilled,393.5
107,chiragasarpota/scotus-bert,630.5
108,vesteinn/XLMR-ENIS-finetuned-cola,630.5
109,IMSyPP/hate_speech_it,630.5
110,Jeevesh8/init_bert_ft_qqp-24,630.5
111,nickmuchi/facebook-data2vec-finetuned-finance-classification,630.5
112,Jeevesh8/bert_ft_qqp-68,630.5
113,Jeevesh8/init_bert_ft_qqp-28,630.5
114,connectivity/bert_ft_qqp-17,630.5
115,dhimskyy/wiki-bert,630.5
116,18811449050/bert_finetuning_test,630.5
117,finiteautomata/betonews-tweetcontext,630.5
118,Jeevesh8/feather_berts_96,630.5
119,michiyasunaga/LinkBERT-base,630.5
120,navsad/navid_test_bert,630.5
121,Jeevesh8/bert_ft_cola-60,630.5
122,Jeevesh8/lecun_feather_berts-7,630.5
123,w11wo/sundanese-bert-base-emotion-classifier,630.5
124,mrm8488/codebert-base-finetuned-detect-insecure-code,630.5
125,socialmediaie/TRAC2020_IBEN_B_bert-base-multilingual-uncased,630.5
126,ishan/bert-base-uncased-mnli,630.5
127,zenkri/autotrain-Arabic_Poetry_by_Subject-920730230,630.5
128,gchhablani/bert-base-cased-finetuned-rte,630.5
129,waboucay/camembert-base-finetuned-xnli_fr-finetuned-nli-rua_wl,630.5
130,ali2066/DistilBERTFINAL_ctxSentence_TRAIN_editorials_TEST_NULL_second_train_set_null_False,630.5
131,anvay/finetuning-cardiffnlp-sentiment-model,630.5
132,JonatanGk/roberta-base-ca-finetuned-hate-speech-offensive-catalan,630.5
133,mrm8488/electricidad-base-finetuned-pawsx-es,630.5
134,Raychanan/COVID_RandomOver,630.5
135,Monsia/camembert-fr-covid-tweet-classification,630.5
136,manueltonneau/bert-twitter-en-is-hired,630.5
137,kyleinincubated/autonlp-cat333-624217911,630.5
138,Guscode/DKbert-hatespeech-detection,630.5
