,model,score
0,Jeevesh8/init_bert_ft_qqp-33,0.9130479777057908
1,Jeevesh8/init_bert_ft_qqp-33,0.8800177726564853
2,Jeevesh8/init_bert_ft_qqp-33,0.8871371633987499
3,Jeevesh8/init_bert_ft_qqp-49,0.9058811683726912
4,Jeevesh8/init_bert_ft_qqp-49,0.8776160995127497
5,Jeevesh8/init_bert_ft_qqp-49,0.8778507630533943
6,connectivity/bert_ft_qqp-7,0.8981277803621859
7,connectivity/bert_ft_qqp-7,0.8779570573129842
8,connectivity/bert_ft_qqp-7,0.8777007933086995
9,Jeevesh8/bert_ft_qqp-40,0.939208166815766
10,Jeevesh8/bert_ft_qqp-40,0.8978724082909674
11,Jeevesh8/bert_ft_qqp-40,0.8982666376831633
12,Jeevesh8/bert_ft_qqp-9,0.9038323039435652
13,Jeevesh8/bert_ft_qqp-9,0.8917149275300943
14,Jeevesh8/bert_ft_qqp-9,0.8923185826794017
15,Jeevesh8/bert_ft_qqp-88,0.9073175874872276
16,Jeevesh8/bert_ft_qqp-88,0.8865198404543937
17,Jeevesh8/bert_ft_qqp-88,0.8956880233065867
18,connectivity/bert_ft_qqp-25,0.9242912890254448
19,connectivity/bert_ft_qqp-25,0.9215080994461868
20,connectivity/bert_ft_qqp-25,0.8986095881955823
21,Jeevesh8/bert_ft_qqp-55,0.9007263266774334
22,Jeevesh8/bert_ft_qqp-55,0.8889049931914136
23,Jeevesh8/bert_ft_qqp-55,0.8841206141788642
24,connectivity/bert_ft_qqp-1,0.936329029897306
25,connectivity/bert_ft_qqp-1,0.9002117216597039
26,connectivity/bert_ft_qqp-1,0.9092470557063812
27,Jeevesh8/bert_ft_qqp-39,0.9152741756688265
28,Jeevesh8/bert_ft_qqp-39,0.8785915971259247
29,Jeevesh8/bert_ft_qqp-39,0.8904808318096414
30,connectivity/bert_ft_qqp-94,0.8990196695071991
31,connectivity/bert_ft_qqp-94,0.8789341080430737
32,connectivity/bert_ft_qqp-94,0.8789159604272013
33,connectivity/bert_ft_qqp-96,0.9084725510553832
34,connectivity/bert_ft_qqp-96,0.8876739037864975
35,Jeevesh8/init_bert_ft_qqp-24,0.8863052685029857
36,Jeevesh8/init_bert_ft_qqp-24,0.8699147892652249
37,Jeevesh8/init_bert_ft_qqp-24,0.8689339722183491
38,Jeevesh8/bert_ft_qqp-68,0.9208154394058391
39,Jeevesh8/bert_ft_qqp-68,0.89038016032916
40,Jeevesh8/bert_ft_qqp-68,0.8809443919436698
41,Jeevesh8/init_bert_ft_qqp-28,0.9097868240770494
42,Jeevesh8/init_bert_ft_qqp-28,0.9009463339197304
43,Jeevesh8/init_bert_ft_qqp-28,0.8693212516348598
44,connectivity/bert_ft_qqp-17,0.90763180668967
45,connectivity/bert_ft_qqp-17,0.8960846629065408
46,connectivity/bert_ft_qqp-17,0.8869856631627713
47,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.8851180848137857
48,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.8720134603964915
49,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.8757446101352738
50,SetFit/distilbert-base-uncased__sst2__train-16-0,0.8904483934162238
51,SetFit/distilbert-base-uncased__sst2__train-16-0,0.8925962692104459
52,SetFit/distilbert-base-uncased__sst2__train-16-0,0.8917305098690453
53,aviator-neural/bert-base-uncased-sst2,0.9075735219500416
