,model,score
0,Jeevesh8/init_bert_ft_qqp-33,0.8864229569903217
1,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.8982350380594455
2,vaariis/distilbert-base-uncased-finetuned-emotion,0.9290869776807482
3,heranm/finetuning-sentiment-model-3000-samples,0.9019692354359526
4,marcelcastrobr/sagemaker-distilbert-emotion,0.9168297949775506
5,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.8949775144916772
6,riyadhctg/distilbert-base-uncased-finetuned-cola,0.8846320661714134
7,dapang/distilroberta-base-mic-sym,0.9040940217592051
8,PrasunMishra/finetuning-sentiment-model-3000-samples,0.8950181308431588
9,nurkayevaa/autonlp-bert-covid-407910458,0.910793935579427
10,SetFit/distilbert-base-uncased__sst2__train-16-0,0.9139346072173354
11,abdelkader/distilbert-base-uncased-finetuned-emotion,0.9048243402646639
12,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,0.8876033217224177
13,gchhablani/fnet-base-finetuned-sst2,0.8585205033065147
14,Capreolus/bert-base-msmarco,0.9216753527284771
15,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.9186647456059349
16,crcb/isear_bert,0.8824327215766901
17,connectivity/cola_6ep_ft-33,0.8862862034001017
18,Jeevesh8/init_bert_ft_qqp-49,0.906721308017949
19,Jeevesh8/feather_berts_46,0.9298944094893988
20,yukta10/finetuning-sentiment-model-3000-samples,0.9014352879746476
21,connectivity/cola_6ep_ft-22,0.9406085449455065
22,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,0.7785377365203604
23,cambridgeltl/guardian_news_distilbert-base-uncased,0.8911036536683989
24,gchhablani/fnet-base-finetuned-cola,0.87348105616022
25,ncduy/roberta-imdb-sentiment-analysis,0.9089472660166802
26,isakbos/Q8BERT_COLA_L_512,0.8356153008527383
27,connectivity/bert_ft_qqp-7,0.91619324285614
28,moghis/distilbert-base-uncased-finetuned-emotion,0.9006575147359985
29,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.875801139294751
30,amyma21/sincere_question_classification,0.885281874736932
31,phailyoor/distilbert-base-uncased-finetuned-yahd,0.9123932540186745
32,arianpasquali/distilbert-base-multilingual-cased-toxicity,0.8528453549503371
33,neibla/distilbert-base-uncased-finetuned-emotion,0.9075898299265702
34,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,0.841759154195838
