,model,score
0,Jeevesh8/init_bert_ft_qqp-33,0.774547215576742
1,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.7690962354510888
2,vaariis/distilbert-base-uncased-finetuned-emotion,0.7739092258620278
3,heranm/finetuning-sentiment-model-3000-samples,0.7720804868020482
4,marcelcastrobr/sagemaker-distilbert-emotion,0.7715147653915608
5,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.7687783164655904
6,riyadhctg/distilbert-base-uncased-finetuned-cola,0.7722471654460056
7,dapang/distilroberta-base-mic-sym,0.7661800375382373
8,PrasunMishra/finetuning-sentiment-model-3000-samples,0.771747919566855
9,nurkayevaa/autonlp-bert-covid-407910458,0.7705787987947808
10,SetFit/distilbert-base-uncased__sst2__train-16-0,0.7693170368857006
11,abdelkader/distilbert-base-uncased-finetuned-emotion,0.7694400302428568
12,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,0.773999322887056
13,gchhablani/fnet-base-finetuned-sst2,0.7717265390714628
14,Capreolus/bert-base-msmarco,0.7751333169121299
15,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.7709164751595985
16,crcb/isear_bert,0.7708092971695433
17,connectivity/cola_6ep_ft-33,0.7710961916561473
18,Jeevesh8/init_bert_ft_qqp-49,0.7668420953718058
19,Jeevesh8/feather_berts_46,0.7690380599908067
20,yukta10/finetuning-sentiment-model-3000-samples,0.7734728409870203
21,connectivity/cola_6ep_ft-22,0.7722089181658187
22,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,0.7236462589985458
23,cambridgeltl/guardian_news_distilbert-base-uncased,0.7692020036274162
24,gchhablani/fnet-base-finetuned-cola,0.7731888152137083
25,ncduy/roberta-imdb-sentiment-analysis,0.7752352853410153
26,isakbos/Q8BERT_COLA_L_512,0.7621815648235029
27,connectivity/bert_ft_qqp-7,0.7750719748467907
28,moghis/distilbert-base-uncased-finetuned-emotion,0.7744744363018925
29,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.766973264585357
30,amyma21/sincere_question_classification,0.7691200713779284
31,phailyoor/distilbert-base-uncased-finetuned-yahd,0.7723914702497447
32,arianpasquali/distilbert-base-multilingual-cased-toxicity,0.7683672227065262
33,neibla/distilbert-base-uncased-finetuned-emotion,0.7743358618910111
34,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,0.7605986368842045
35,Anthos23/FS-distilroberta-fine-tuned,0.7745109275210431
36,pietrotrope/emotion_final,0.776427409002901
37,aviator-neural/bert-base-uncased-sst2,0.7748492751680881
38,Jeevesh8/bert_ft_qqp-40,0.756514173845644
39,jaesun/distilbert-base-uncased-finetuned-cola,0.7713987561322991
40,SetFit/distilbert-base-uncased__sst2__train-32-9,0.774687922159649
41,usami/distilbert-base-uncased-finetuned-cola,0.7709682100153828
42,connectivity/feather_berts_28,0.7661134712378138
43,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,0.7720010998696797
44,Jeevesh8/bert_ft_qqp-9,0.7749565355752175
45,Jeevesh8/bert_ft_qqp-88,0.7665450054795215
46,Recognai/bert-base-spanish-wwm-cased-xnli,0.7583461213452278
47,markt23917/finetuning-sentiment-model-3000-samples,0.7760382467596046
48,JNK789/distilbert-base-uncased-finetuned-tweets-emoji-dataset,0.6964870089075061
49,anirudh21/bert-base-uncased-finetuned-qnli,0.7677539596990516
50,Jeevesh8/6ep_bert_ft_cola-47,0.7651254898566742
51,oferweintraub/bert-base-finance-sentiment-noisy-search,0.7676558306659729
52,aXhyra/demo_sentiment_31415,0.7716200208348171
53,milyiyo/selectra-small-finetuned-amazon-review,0.7397944233262851
54,aXhyra/presentation_sentiment_1234567,0.7712126520759145
55,Alireza1044/albert-base-v2-qnli,0.7674404398106662
56,liangyuant/distilbert-base-uncased-finetuned-num200-450-405cls,0.7649844519862055
57,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,0.7651394561614098
58,connectivity/cola_6ep_ft-10,0.7646548996215984
59,Jeevesh8/lecun_feather_berts-3,0.7675255260212961
60,jb2k/bert-base-multilingual-cased-language-detection,0.7650600786630126
61,Giyaseddin/distilroberta-base-finetuned-short-answer-assessment,0.771545446808845
62,connectivity/bert_ft_qqp-25,0.7705622964182389
63,Jeevesh8/6ep_bert_ft_cola-12,0.7681931638567228
64,JB173/distilbert-base-uncased-finetuned-emotion,0.7670480507960323
65,aXhyra/emotion_trained_31415,0.7747727601707345
66,aXhyra/presentation_emotion_31415,0.7733622070039077
67,AnonymousSub/dummy_2,0.7592607499624439
68,Jeevesh8/bert_ft_qqp-55,0.7700391133729033
69,Jeevesh8/lecun_feather_berts-51,0.7679696826023545
70,viviastaari/finetuning-sentiment-analysis-en-id,0.7662863893799156
71,vinai/bertweet-base,0.7682176922929932
72,distilbert-base-uncased,0.7723292153898033
73,bert-base-uncased,0.7697167830331701
74,roberta-base,0.770759032732242
75,Aureliano/distilbert-base-uncased-if,0.773336079251018
76,rmihaylov/roberta-base-sentiment-bg,0.7619388756724739
77,cardiffnlp/twitter-roberta-base-2021-124m,0.7616464929609192
78,Alassea/glue_sst_classifier,0.7667179255256962
79,Nanatan/distilbert-base-uncased-finetuned-emotion,0.7737844048931205
80,connectivity/bert_ft_qqp-1,0.7712788154494733
81,juliensimon/autonlp-imdb-demo-hf-16622767,0.7726043735400715
82,Jeevesh8/bert_ft_qqp-39,0.7650430618959527
83,Jeevesh8/lecun_feather_berts-8,0.7691897973533831
84,connectivity/bert_ft_qqp-94,0.7684111166152121
85,korca/bae-roberta-base-boolq,0.7728161381370577
86,Jeevesh8/bert_ft_cola-88,0.7704866154370191
87,aditeyabaral/finetuned-sail2017-xlm-roberta-base,0.7639526209118251
88,connectivity/bert_ft_qqp-96,0.7701869520337327
89,boychaboy/MNLI_roberta-base,0.7695224253557662
90,fabriceyhc/bert-base-uncased-imdb,0.7657212731306039
91,emrecan/bert-base-multilingual-cased-snli_tr,0.7650358438277742
92,elozano/tweet_offensive_eval,0.7582824230939
93,joebobby/finetuning-sentiment-model-5000-samples3,0.7622603942548323
94,YeRyeongLee/electra-base-discriminator-finetuned-filtered-0602,0.7250485041566457
95,Jeevesh8/feather_berts_92,0.7703414967009198
96,ASCCCCCCCC/distilbert-base-chinese-amazon_zh_20000,0.7567538770616317
97,Jeevesh8/6ep_bert_ft_cola-29,0.7723517057018856
98,albert-base-v2,0.7628314952677926
99,bert-base-cased,0.7647727583880802
100,Hate-speech-CNERG/bert-base-uncased-hatexplain-rationale-two,0.7729608896778027
101,aychang/bert-base-cased-trec-coarse,0.7715200221835733
102,cointegrated/roberta-base-formality,0.7687303816151351
103,XSY/albert-base-v2-imdb-calssification,0.7610901141657562
104,philschmid/tiny-distilbert-classification,0.6760486256963513
105,gchhablani/bert-base-cased-finetuned-wnli,0.7680110303772265
106,moshew/bert-mini-sst2-distilled,0.7689535028725082
107,chiragasarpota/scotus-bert,0.7517752340999115
108,vesteinn/XLMR-ENIS-finetuned-cola,0.7753783114701989
109,IMSyPP/hate_speech_it,0.7600492305726728
110,Jeevesh8/init_bert_ft_qqp-24,0.7719381212250195
111,nickmuchi/facebook-data2vec-finetuned-finance-classification,0.7618772597297198
112,Jeevesh8/bert_ft_qqp-68,0.7667693582869726
113,Jeevesh8/init_bert_ft_qqp-28,0.7652056874632238
114,connectivity/bert_ft_qqp-17,0.7719013227519332
115,dhimskyy/wiki-bert,0.7675360396624329
116,18811449050/bert_finetuning_test,0.7695760851529472
117,finiteautomata/betonews-tweetcontext,0.7595678069915321
118,Jeevesh8/feather_berts_96,0.7668503804785519
119,michiyasunaga/LinkBERT-base,0.7653672124665789
120,navsad/navid_test_bert,0.7679255991779828
121,Jeevesh8/bert_ft_cola-60,0.7658260119206721
122,Jeevesh8/lecun_feather_berts-7,0.773074340593508
123,w11wo/sundanese-bert-base-emotion-classifier,0.7654267593378673
124,mrm8488/codebert-base-finetuned-detect-insecure-code,0.7645373815299729
125,socialmediaie/TRAC2020_IBEN_B_bert-base-multilingual-uncased,0.753561937022369
126,ishan/bert-base-uncased-mnli,0.7642460783338596
127,zenkri/autotrain-Arabic_Poetry_by_Subject-920730230,0.7673512721255424
128,gchhablani/bert-base-cased-finetuned-rte,0.765607194914835
