,model,score
0,Jeevesh8/init_bert_ft_qqp-33,0.7694341331294314
1,Jeevesh8/init_bert_ft_qqp-33,0.7694340898397721
2,Jeevesh8/init_bert_ft_qqp-33,0.7694340991792757
3,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.7744363915931837
4,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.7744363763425762
5,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.7744363806865046
6,vaariis/distilbert-base-uncased-finetuned-emotion,0.7744376449944536
7,vaariis/distilbert-base-uncased-finetuned-emotion,0.7744376305978041
8,vaariis/distilbert-base-uncased-finetuned-emotion,0.7744376305643292
9,heranm/finetuning-sentiment-model-3000-samples,0.7744363912192275
10,heranm/finetuning-sentiment-model-3000-samples,0.7744363760860216
11,heranm/finetuning-sentiment-model-3000-samples,0.7744363790426103
12,marcelcastrobr/sagemaker-distilbert-emotion,0.7744376420230277
13,marcelcastrobr/sagemaker-distilbert-emotion,0.7744376306265217
14,marcelcastrobr/sagemaker-distilbert-emotion,0.774437636006846
15,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.7744376460272424
16,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.7744376472475094
17,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.774437628065304
18,riyadhctg/distilbert-base-uncased-finetuned-cola,0.774436390519102
19,riyadhctg/distilbert-base-uncased-finetuned-cola,0.7744363925909615
20,riyadhctg/distilbert-base-uncased-finetuned-cola,0.7744363734835885
21,dapang/distilroberta-base-mic-sym,0.7763536601029148
22,dapang/distilroberta-base-mic-sym,0.776353663461984
23,dapang/distilroberta-base-mic-sym,0.7763536431663174
24,PrasunMishra/finetuning-sentiment-model-3000-samples,0.7744363925807113
25,PrasunMishra/finetuning-sentiment-model-3000-samples,0.7744363927033621
26,PrasunMishra/finetuning-sentiment-model-3000-samples,0.7744363793068563
27,nurkayevaa/autonlp-bert-covid-407910458,0.7744363874556389
28,nurkayevaa/autonlp-bert-covid-407910458,0.7744363943212031
29,nurkayevaa/autonlp-bert-covid-407910458,0.7744363736679524
30,SetFit/distilbert-base-uncased__sst2__train-16-0,0.7744363909900882
31,SetFit/distilbert-base-uncased__sst2__train-16-0,0.774436393488135
32,SetFit/distilbert-base-uncased__sst2__train-16-0,0.774436392481442
33,abdelkader/distilbert-base-uncased-finetuned-emotion,0.7744376455702509
34,abdelkader/distilbert-base-uncased-finetuned-emotion,0.7744376360291287
35,abdelkader/distilbert-base-uncased-finetuned-emotion,0.7744376472928421
36,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,0.7744367049851122
37,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,0.774436695180851
38,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,0.7744366872644116
39,Capreolus/bert-base-msmarco,0.7694341118133065
40,Capreolus/bert-base-msmarco,0.7694341006667138
41,Capreolus/bert-base-msmarco,0.7694340915432085
42,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.769433874150309
43,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.769433861129478
44,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.7694338907556048
45,crcb/isear_bert,0.7648742752940877
46,crcb/isear_bert,0.7648742376256539
47,crcb/isear_bert,0.7648742688974438
48,connectivity/cola_6ep_ft-33,0.7694341335302854
49,connectivity/cola_6ep_ft-33,0.7694340969234559
50,connectivity/cola_6ep_ft-33,0.7694340847023368
51,Jeevesh8/init_bert_ft_qqp-49,0.7694341335688628
52,Jeevesh8/init_bert_ft_qqp-49,0.7694340965318869
53,Jeevesh8/init_bert_ft_qqp-49,0.7694340968394823
54,Jeevesh8/feather_berts_46,0.7694338960840377
55,Jeevesh8/feather_berts_46,0.7694338600026361
56,Jeevesh8/feather_berts_46,0.769433852455267
57,yukta10/finetuning-sentiment-model-3000-samples,0.7744363907425612
58,yukta10/finetuning-sentiment-model-3000-samples,0.7744363788246289
59,yukta10/finetuning-sentiment-model-3000-samples,0.7744363785197869
60,connectivity/cola_6ep_ft-22,0.769434112017099
61,connectivity/cola_6ep_ft-22,0.7694340969754512
62,connectivity/cola_6ep_ft-22,0.7694340892357886
63,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,0.7648760788402763
64,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,0.7648760619236289
65,cambridgeltl/guardian_news_distilbert-base-uncased,0.7744373282289879
66,cambridgeltl/guardian_news_distilbert-base-uncased,0.7744373195183814
67,cambridgeltl/guardian_news_distilbert-base-uncased,0.7744373200164554
68,ncduy/roberta-imdb-sentiment-analysis,0.7648753834305272
69,ncduy/roberta-imdb-sentiment-analysis,0.7648753664564356
70,ncduy/roberta-imdb-sentiment-analysis,0.7648753710999112
71,isakbos/Q8BERT_COLA_L_512,0.7694341117246355
72,isakbos/Q8BERT_COLA_L_512,0.7694340967732802
73,isakbos/Q8BERT_COLA_L_512,0.7694340898999755
74,connectivity/bert_ft_qqp-7,0.7694341112014047
75,connectivity/bert_ft_qqp-7,0.7694340847464626
76,connectivity/bert_ft_qqp-7,0.769434084410064
77,moghis/distilbert-base-uncased-finetuned-emotion,0.7744376453861275
78,moghis/distilbert-base-uncased-finetuned-emotion,0.7744376281179277
79,moghis/distilbert-base-uncased-finetuned-emotion,0.7744376280395547
80,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.7744376469883184
81,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.7744376335114025
82,amyma21/sincere_question_classification,0.7744363908781715
83,amyma21/sincere_question_classification,0.774436373701509
84,amyma21/sincere_question_classification,0.7744363736625918
85,phailyoor/distilbert-base-uncased-finetuned-yahd,0.7744410935971285
86,phailyoor/distilbert-base-uncased-finetuned-yahd,0.7744410760902989
87,phailyoor/distilbert-base-uncased-finetuned-yahd,0.774441078582272
88,arianpasquali/distilbert-base-multilingual-cased-toxicity,0.7617014793611627
89,arianpasquali/distilbert-base-multilingual-cased-toxicity,0.7617014538258088
90,arianpasquali/distilbert-base-multilingual-cased-toxicity,0.761701456455519
91,neibla/distilbert-base-uncased-finetuned-emotion,0.7744376415356315
92,neibla/distilbert-base-uncased-finetuned-emotion,0.7744376334349152
93,neibla/distilbert-base-uncased-finetuned-emotion,0.7744376282090647
94,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,0.7648760783404999
95,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,0.7648760625782026
96,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,0.7648760450849393
97,Anthos23/FS-distilroberta-fine-tuned,0.7763535866744617
98,Anthos23/FS-distilroberta-fine-tuned,0.7763535702870142
99,Anthos23/FS-distilroberta-fine-tuned,0.7763535700391823
100,pietrotrope/emotion_final,0.7744370264981291
101,pietrotrope/emotion_final,0.7744370011754069
102,pietrotrope/emotion_final,0.7744370064497333
103,aviator-neural/bert-base-uncased-sst2,0.7694341111754772
104,aviator-neural/bert-base-uncased-sst2,0.7694340905335944
105,aviator-neural/bert-base-uncased-sst2,0.7694340844104481
106,Jeevesh8/bert_ft_qqp-40,0.7694341384939315
107,Jeevesh8/bert_ft_qqp-40,0.7694340843188755
108,Jeevesh8/bert_ft_qqp-40,0.7694340848362312
109,jaesun/distilbert-base-uncased-finetuned-cola,0.7744363924423752
110,jaesun/distilbert-base-uncased-finetuned-cola,0.7744363738361446
111,jaesun/distilbert-base-uncased-finetuned-cola,0.7744363737450918
112,SetFit/distilbert-base-uncased__sst2__train-32-9,0.7744363909220502
113,SetFit/distilbert-base-uncased__sst2__train-32-9,0.7744363760339771
114,SetFit/distilbert-base-uncased__sst2__train-32-9,0.7744363736504463
115,usami/distilbert-base-uncased-finetuned-cola,0.7744363869430244
116,usami/distilbert-base-uncased-finetuned-cola,0.7744363762337975
117,usami/distilbert-base-uncased-finetuned-cola,0.7744363816627415
118,connectivity/feather_berts_28,0.7694339421327034
119,connectivity/feather_berts_28,0.7694338472348469
120,connectivity/feather_berts_28,0.7694338601895108
121,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,0.769434111152079
122,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,0.76943409677411
123,Jeevesh8/bert_ft_qqp-9,0.7694341117698155
124,Jeevesh8/bert_ft_qqp-9,0.7694340958824992
125,Jeevesh8/bert_ft_qqp-9,0.7694340966741189
126,Jeevesh8/bert_ft_qqp-88,0.7694341119525521
127,Jeevesh8/bert_ft_qqp-88,0.7694340846756332
128,Jeevesh8/bert_ft_qqp-88,0.7694340967050156
129,Recognai/bert-base-spanish-wwm-cased-xnli,0.7693201478267425
130,Recognai/bert-base-spanish-wwm-cased-xnli,0.7693201139809329
131,Recognai/bert-base-spanish-wwm-cased-xnli,0.7693201230576845
132,markt23917/finetuning-sentiment-model-3000-samples,0.7744363909767057
133,markt23917/finetuning-sentiment-model-3000-samples,0.7744363787907567
134,markt23917/finetuning-sentiment-model-3000-samples,0.7744363785521394
135,anirudh21/bert-base-uncased-finetuned-qnli,0.7694341831360507
136,anirudh21/bert-base-uncased-finetuned-qnli,0.7694340844410238
137,anirudh21/bert-base-uncased-finetuned-qnli,0.7694340846298646
138,Jeevesh8/6ep_bert_ft_cola-47,0.7694341786793365
139,Jeevesh8/6ep_bert_ft_cola-47,0.7694340843653819
140,Jeevesh8/6ep_bert_ft_cola-47,0.7694340845531348
141,oferweintraub/bert-base-finance-sentiment-noisy-search,0.7694339479170301
142,oferweintraub/bert-base-finance-sentiment-noisy-search,0.7694338472888509
143,oferweintraub/bert-base-finance-sentiment-noisy-search,0.7694338525568007
144,aXhyra/demo_sentiment_31415,0.7744367062226065
145,aXhyra/demo_sentiment_31415,0.774436687354421
146,aXhyra/demo_sentiment_31415,0.7744366873002576
147,aXhyra/presentation_sentiment_1234567,0.7744367051559241
148,aXhyra/presentation_sentiment_1234567,0.7744366873722387
149,aXhyra/presentation_sentiment_1234567,0.7744366927388276
150,liangyuant/distilbert-base-uncased-finetuned-num200-450-405cls,0.7745606392540574
151,liangyuant/distilbert-base-uncased-finetuned-num200-450-405cls,0.774560623390926
152,liangyuant/distilbert-base-uncased-finetuned-num200-450-405cls,0.7745606401376508
153,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,0.7694341329321798
154,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,0.7694341270779738
155,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,0.7694341272402078
156,connectivity/cola_6ep_ft-10,0.7694341333560223
157,connectivity/cola_6ep_ft-10,0.7694341282330296
158,connectivity/cola_6ep_ft-10,0.7694340846599336
159,Jeevesh8/lecun_feather_berts-3,0.7694338959967749
160,Jeevesh8/lecun_feather_berts-3,0.7694338898145199
161,Jeevesh8/lecun_feather_berts-3,0.769433847253521
162,jb2k/bert-base-multilingual-cased-language-detection,0.7446771540923083
163,jb2k/bert-base-multilingual-cased-language-detection,0.7446771092261174
164,jb2k/bert-base-multilingual-cased-language-detection,0.7446771135157608
165,Giyaseddin/distilroberta-base-finetuned-short-answer-assessment,0.7763535171621663
166,Giyaseddin/distilroberta-base-finetuned-short-answer-assessment,0.7763535171368625
167,Giyaseddin/distilroberta-base-finetuned-short-answer-assessment,0.7763534991282651
168,connectivity/bert_ft_qqp-25,0.769434132628554
169,connectivity/bert_ft_qqp-25,0.7694341289846477
170,connectivity/bert_ft_qqp-25,0.7694340989777226
171,Jeevesh8/6ep_bert_ft_cola-12,0.7694341794520881
172,Jeevesh8/6ep_bert_ft_cola-12,0.7694340848233001
173,Jeevesh8/6ep_bert_ft_cola-12,0.7694340993017772
174,JB173/distilbert-base-uncased-finetuned-emotion,0.7744376420487556
175,JB173/distilbert-base-uncased-finetuned-emotion,0.7744376305163423
176,JB173/distilbert-base-uncased-finetuned-emotion,0.7744376313092762
177,aXhyra/emotion_trained_31415,0.7744370176638937
178,aXhyra/emotion_trained_31415,0.7744370216738684
179,aXhyra/emotion_trained_31415,0.7744370063188335
180,aXhyra/presentation_emotion_31415,0.7744370197896279
181,aXhyra/presentation_emotion_31415,0.7744370007982158
182,aXhyra/presentation_emotion_31415,0.7744370200071968
183,AnonymousSub/dummy_2,0.744692380190073
184,AnonymousSub/dummy_2,0.7446923390038946
185,AnonymousSub/dummy_2,0.7446923444070616
186,Jeevesh8/bert_ft_qqp-55,0.7694341117387731
187,Jeevesh8/bert_ft_qqp-55,0.7694340962392419
188,Jeevesh8/bert_ft_qqp-55,0.7694340899627701
189,Jeevesh8/lecun_feather_berts-51,0.7694339051543522
190,Jeevesh8/lecun_feather_berts-51,0.7694338473688461
191,Jeevesh8/lecun_feather_berts-51,0.7694338472837414
192,viviastaari/finetuning-sentiment-analysis-en-id,0.7617014783006434
193,viviastaari/finetuning-sentiment-analysis-en-id,0.7617014601126582
194,viviastaari/finetuning-sentiment-analysis-en-id,0.7617014626910581
195,vinai/bertweet-base,0.7618311229854885
196,vinai/bertweet-base,0.7618311051209232
197,vinai/bertweet-base,0.7618310935907833
198,distilbert-base-uncased,0.7744363900934846
199,distilbert-base-uncased,0.7744363796237421
200,distilbert-base-uncased,0.774436373669086
201,bert-base-uncased,0.7694341829720039
202,bert-base-uncased,0.7694341017912254
203,bert-base-uncased,0.7694341309470276
204,roberta-base,0.7648754141640981
205,roberta-base,0.7648753663629745
206,roberta-base,0.7648753662343772
207,Aureliano/distilbert-base-uncased-if,0.7744620249927573
208,Aureliano/distilbert-base-uncased-if,0.7744620128895406
209,Aureliano/distilbert-base-uncased-if,0.7744620114326192
210,rmihaylov/roberta-base-sentiment-bg,0.7688508065948467
211,rmihaylov/roberta-base-sentiment-bg,0.7688507826253226
212,rmihaylov/roberta-base-sentiment-bg,0.7688507864096261
213,cardiffnlp/twitter-roberta-base-2021-124m,0.7648754065009719
214,cardiffnlp/twitter-roberta-base-2021-124m,0.764875359788576
215,cardiffnlp/twitter-roberta-base-2021-124m,0.7648753552740811
216,Alassea/glue_sst_classifier,0.7697962540704779
217,Alassea/glue_sst_classifier,0.769796242732214
218,Alassea/glue_sst_classifier,0.769796237672938
219,Nanatan/distilbert-base-uncased-finetuned-emotion,0.7744376446940966
220,Nanatan/distilbert-base-uncased-finetuned-emotion,0.774437628133452
221,Nanatan/distilbert-base-uncased-finetuned-emotion,0.774437628208158
222,connectivity/bert_ft_qqp-1,0.7694341320148289
223,connectivity/bert_ft_qqp-1,0.7694340846717588
224,connectivity/bert_ft_qqp-1,0.7694340965267117
225,juliensimon/autonlp-imdb-demo-hf-16622767,0.7744363984431244
226,juliensimon/autonlp-imdb-demo-hf-16622767,0.7744363735301623
227,juliensimon/autonlp-imdb-demo-hf-16622767,0.7744363941608211
228,Jeevesh8/bert_ft_qqp-39,0.7694341324850025
229,Jeevesh8/bert_ft_qqp-39,0.7694340844008135
230,Jeevesh8/bert_ft_qqp-39,0.7694340999991078
231,Jeevesh8/lecun_feather_berts-8,0.7694338958678744
232,Jeevesh8/lecun_feather_berts-8,0.7694338595899782
233,Jeevesh8/lecun_feather_berts-8,0.7694338594487888
234,connectivity/bert_ft_qqp-94,0.7694341111883819
235,connectivity/bert_ft_qqp-94,0.7694340848451657
236,connectivity/bert_ft_qqp-94,0.7694340848213777
237,korca/bae-roberta-base-boolq,0.7648753930886202
238,korca/bae-roberta-base-boolq,0.7648753663057624
239,korca/bae-roberta-base-boolq,0.764875360645096
240,Jeevesh8/bert_ft_cola-88,0.7694341331664271
241,Jeevesh8/bert_ft_cola-88,0.7694340969605372
242,aditeyabaral/finetuned-sail2017-xlm-roberta-base,0.7840280252958319
243,aditeyabaral/finetuned-sail2017-xlm-roberta-base,0.7840280167262791
244,connectivity/bert_ft_qqp-96,0.769434111615841
245,connectivity/bert_ft_qqp-96,0.769434084337419
246,boychaboy/MNLI_roberta-base,0.764875225643013
247,boychaboy/MNLI_roberta-base,0.7648751297293178
248,boychaboy/MNLI_roberta-base,0.7648751403858266
249,fabriceyhc/bert-base-uncased-imdb,0.7694341396069984
250,fabriceyhc/bert-base-uncased-imdb,0.7694340967947186
251,fabriceyhc/bert-base-uncased-imdb,0.7694340897838985
252,emrecan/bert-base-multilingual-cased-snli_tr,0.7446920252454508
253,emrecan/bert-base-multilingual-cased-snli_tr,0.7446919844311527
254,emrecan/bert-base-multilingual-cased-snli_tr,0.7446919858570629
255,elozano/tweet_offensive_eval,0.7648754061492004
256,elozano/tweet_offensive_eval,0.7648753665332174
257,elozano/tweet_offensive_eval,0.764875361319707
258,joebobby/finetuning-sentiment-model-5000-samples3,0.7694334691542684
259,joebobby/finetuning-sentiment-model-5000-samples3,0.7694333846258614
260,Jeevesh8/feather_berts_92,0.7694338744608308
261,Jeevesh8/feather_berts_92,0.7694338593928249
262,Jeevesh8/feather_berts_92,0.769433846976492
263,ASCCCCCCCC/distilbert-base-chinese-amazon_zh_20000,0.7716580006559973
264,ASCCCCCCCC/distilbert-base-chinese-amazon_zh_20000,0.7716579548103385
265,Jeevesh8/6ep_bert_ft_cola-29,0.7694341117685425
266,Jeevesh8/6ep_bert_ft_cola-29,0.7694340965386278
267,Jeevesh8/6ep_bert_ft_cola-29,0.7694340969197367
268,bert-base-cased,0.7697962827224917
269,bert-base-cased,0.7697962303287745
270,Hate-speech-CNERG/bert-base-uncased-hatexplain-rationale-two,0.7694341340918204
271,Hate-speech-CNERG/bert-base-uncased-hatexplain-rationale-two,0.7694340915531114
272,Hate-speech-CNERG/bert-base-uncased-hatexplain-rationale-two,0.7694340846801561
273,matthewburke/korean_sentiment,0.7649049390647048
274,aychang/bert-base-cased-trec-coarse,0.7697953067918658
275,aychang/bert-base-cased-trec-coarse,0.7697952850769993
276,cointegrated/roberta-base-formality,0.7648754080666552
277,cointegrated/roberta-base-formality,0.7648753670561869
278,cointegrated/roberta-base-formality,0.7648753668444211
279,philschmid/tiny-distilbert-classification,0.5916578492939573
280,philschmid/tiny-distilbert-classification,0.5916578482412242
281,gchhablani/bert-base-cased-finetuned-wnli,0.7697962825641955
282,gchhablani/bert-base-cased-finetuned-wnli,0.7697962303302881
283,moshew/bert-mini-sst2-distilled,0.6451271516238632
284,moshew/bert-mini-sst2-distilled,0.6451271490993502
285,vesteinn/XLMR-ENIS-finetuned-cola,0.764934056684734
286,vesteinn/XLMR-ENIS-finetuned-cola,0.7649340403561448
287,vesteinn/XLMR-ENIS-finetuned-cola,0.764934040348282
288,IMSyPP/hate_speech_it,0.7417890514138957
289,IMSyPP/hate_speech_it,0.7417890069009997
290,IMSyPP/hate_speech_it,0.7417890163298531
291,Jeevesh8/init_bert_ft_qqp-24,0.7694341120549429
292,Jeevesh8/init_bert_ft_qqp-24,0.769434090561751
293,Jeevesh8/init_bert_ft_qqp-24,0.7694340892750344
294,Jeevesh8/bert_ft_qqp-68,0.7694341366924439
295,Jeevesh8/bert_ft_qqp-68,0.7694340968151685
296,Jeevesh8/bert_ft_qqp-68,0.769434084434909
297,Jeevesh8/init_bert_ft_qqp-28,0.7694341374466531
298,Jeevesh8/init_bert_ft_qqp-28,0.7694341258723294
299,Jeevesh8/init_bert_ft_qqp-28,0.7694340844107082
300,connectivity/bert_ft_qqp-17,0.7694341118830723
301,connectivity/bert_ft_qqp-17,0.7694340967434693
302,connectivity/bert_ft_qqp-17,0.7694340848051529
303,18811449050/bert_finetuning_test,0.7694341181752529
304,18811449050/bert_finetuning_test,0.7694340878860859
305,18811449050/bert_finetuning_test,0.769434093883383
306,finiteautomata/betonews-tweetcontext,0.7693194375554089
307,finiteautomata/betonews-tweetcontext,0.7693194113153667
308,finiteautomata/betonews-tweetcontext,0.7693194113260157
309,Jeevesh8/feather_berts_96,0.7694338737856473
310,Jeevesh8/feather_berts_96,0.7694338519079547
311,Jeevesh8/feather_berts_96,0.7694338639094784
312,michiyasunaga/LinkBERT-base,0.7697962865382372
313,michiyasunaga/LinkBERT-base,0.7697962355063088
314,navsad/navid_test_bert,0.7697962818769153
315,navsad/navid_test_bert,0.7697962364836983
316,Jeevesh8/bert_ft_cola-60,0.7694341338288478
317,Jeevesh8/bert_ft_cola-60,0.769434084700522
318,Jeevesh8/bert_ft_cola-60,0.7694340973648363
319,Jeevesh8/lecun_feather_berts-7,0.7694338959681264
320,Jeevesh8/lecun_feather_berts-7,0.7694338597190173
321,Jeevesh8/lecun_feather_berts-7,0.769433859282751
322,mrm8488/codebert-base-finetuned-detect-insecure-code,0.7648754512404288
323,mrm8488/codebert-base-finetuned-detect-insecure-code,0.7648753708674977
324,mrm8488/codebert-base-finetuned-detect-insecure-code,0.7648753610790381
325,socialmediaie/TRAC2020_IBEN_B_bert-base-multilingual-uncased,0.7495573263092996
326,socialmediaie/TRAC2020_IBEN_B_bert-base-multilingual-uncased,0.7495573147040443
327,socialmediaie/TRAC2020_IBEN_B_bert-base-multilingual-uncased,0.7495572798587484
328,ishan/bert-base-uncased-mnli,0.7694339458456556
329,ishan/bert-base-uncased-mnli,0.7694338470253057
330,ishan/bert-base-uncased-mnli,0.7694338470399527
331,zenkri/autotrain-Arabic_Poetry_by_Subject-920730230,0.7649302327680368
332,zenkri/autotrain-Arabic_Poetry_by_Subject-920730230,0.7649301844860995
333,zenkri/autotrain-Arabic_Poetry_by_Subject-920730230,0.7649301795867554
334,M47Labs/spanish_news_classification_headlines_untrained,0.7693184536469792
335,bondi/bert-semaphore-prediction-w4,0.7693198834720956
336,gchhablani/bert-base-cased-finetuned-rte,0.7697962872500375
337,gchhablani/bert-base-cased-finetuned-rte,0.7697962370276297
338,gchhablani/bert-base-cased-finetuned-rte,0.7697962363687597
339,classla/bcms-bertic-parlasent-bcs-ter,0.7690839207994262
