,model,score
0,Jeevesh8/init_bert_ft_qqp-33,0.7759787160234831
1,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.7716545098971276
2,vaariis/distilbert-base-uncased-finetuned-emotion,0.7702087629730615
3,heranm/finetuning-sentiment-model-3000-samples,0.7723777313118193
4,marcelcastrobr/sagemaker-distilbert-emotion,0.770209302293028
5,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.7702079420938001
6,riyadhctg/distilbert-base-uncased-finetuned-cola,0.7704513451730423
7,dapang/distilroberta-base-mic-sym,0.7683917961469385
8,PrasunMishra/finetuning-sentiment-model-3000-samples,0.7724795891483135
9,nurkayevaa/autonlp-bert-covid-407910458,0.7731032559353951
10,SetFit/distilbert-base-uncased__sst2__train-16-0,0.7716550811592798
11,abdelkader/distilbert-base-uncased-finetuned-emotion,0.7702134303084828
12,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,0.7692503635731663
13,gchhablani/fnet-base-finetuned-sst2,0.7547996083623
14,Capreolus/bert-base-msmarco,0.7733343486905563
15,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.7733355992067447
16,crcb/isear_bert,0.7716649186857639
17,connectivity/cola_6ep_ft-33,0.7752636480972891
18,Jeevesh8/init_bert_ft_qqp-49,0.7760038256512894
19,Jeevesh8/feather_berts_46,0.7733537694659797
20,yukta10/finetuning-sentiment-model-3000-samples,0.7724890748995487
21,connectivity/cola_6ep_ft-22,0.7752810187863363
22,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,0.770264990922224
23,cambridgeltl/guardian_news_distilbert-base-uncased,0.7686283614855421
24,gchhablani/fnet-base-finetuned-cola,0.7749164780339749
25,ncduy/roberta-imdb-sentiment-analysis,0.7741956150142736
26,isakbos/Q8BERT_COLA_L_512,0.7375783828935477
27,connectivity/bert_ft_qqp-7,0.7760010452734664
28,moghis/distilbert-base-uncased-finetuned-emotion,0.7702113566673129
29,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.770216392005255
30,amyma21/sincere_question_classification,0.7686264849434489
31,phailyoor/distilbert-base-uncased-finetuned-yahd,0.768520895255263
32,arianpasquali/distilbert-base-multilingual-cased-toxicity,0.7716866171266142
33,neibla/distilbert-base-uncased-finetuned-emotion,0.7702116948846852
34,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,0.7707165019776975
35,Anthos23/FS-distilroberta-fine-tuned,0.7724866101191973
36,pietrotrope/emotion_final,0.77416948480048
37,aviator-neural/bert-base-uncased-sst2,0.7738346229936207
38,Jeevesh8/bert_ft_qqp-40,0.7760483165504498
39,jaesun/distilbert-base-uncased-finetuned-cola,0.7704860465214042
40,SetFit/distilbert-base-uncased__sst2__train-32-9,0.7716919576688165
41,usami/distilbert-base-uncased-finetuned-cola,0.7708530671659753
42,connectivity/feather_berts_28,0.7733544999183076
43,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,0.7752799479140317
44,Jeevesh8/bert_ft_qqp-9,0.7760039964579045
45,Jeevesh8/bert_ft_qqp-88,0.7759998911105038
46,Recognai/bert-base-spanish-wwm-cased-xnli,0.7802910783798135
47,markt23917/finetuning-sentiment-model-3000-samples,0.7724158419767827
48,JNK789/distilbert-base-uncased-finetuned-tweets-emoji-dataset,0.7739327270449993
49,warwickai/fin-perceiver,0.7809562564540423
50,anirudh21/bert-base-uncased-finetuned-qnli,0.7756371401955159
51,Jeevesh8/6ep_bert_ft_cola-47,0.7752576866093458
52,oferweintraub/bert-base-finance-sentiment-noisy-search,0.7773245465992341
53,aXhyra/demo_sentiment_31415,0.7745501752051306
54,milyiyo/selectra-small-finetuned-amazon-review,0.7688875987622469
55,aXhyra/presentation_sentiment_1234567,0.7745498520003503
56,Alireza1044/albert-base-v2-qnli,0.7736156961157251
57,liangyuant/distilbert-base-uncased-finetuned-num200-450-405cls,0.7686449830868819
58,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,0.7733346036813936
59,connectivity/cola_6ep_ft-10,0.7752819482631482
60,Jeevesh8/lecun_feather_berts-3,0.7733486426540376
61,jb2k/bert-base-multilingual-cased-language-detection,0.7775278885795972
62,Giyaseddin/distilroberta-base-finetuned-short-answer-assessment,0.768291624761107
63,connectivity/bert_ft_qqp-25,0.7759991743679239
64,Jeevesh8/6ep_bert_ft_cola-12,0.7752585061404164
65,JB173/distilbert-base-uncased-finetuned-emotion,0.77030958632148
66,aXhyra/emotion_trained_31415,0.7740665736908158
67,aXhyra/presentation_emotion_31415,0.774066544632119
68,AnonymousSub/dummy_2,0.776397094599434
69,Jeevesh8/bert_ft_qqp-55,0.7760006835264323
70,Jeevesh8/lecun_feather_berts-51,0.7733401661226781
71,viviastaari/finetuning-sentiment-analysis-en-id,0.7715859366424797
72,vinai/bertweet-base,0.7759481943677701
73,distilbert-base-uncased,0.7795637489392556
74,bert-base-uncased,0.7842672820962507
75,roberta-base,0.781280195002458
76,Aureliano/distilbert-base-uncased-if,0.7686246715814372
77,rmihaylov/roberta-base-sentiment-bg,0.7715749274812028
78,cardiffnlp/twitter-roberta-base-2021-124m,0.7745090155453079
79,Alassea/glue_sst_classifier,0.7763337588831464
80,Nanatan/distilbert-base-uncased-finetuned-emotion,0.7702115044261136
81,connectivity/bert_ft_qqp-1,0.7760007562015746
82,juliensimon/autonlp-imdb-demo-hf-16622767,0.7723890768434091
83,Jeevesh8/bert_ft_qqp-39,0.7759804679181125
84,Jeevesh8/lecun_feather_berts-8,0.7733280674042776
85,connectivity/bert_ft_qqp-94,0.7760052414115167
86,korca/bae-roberta-base-boolq,0.770321758675904
87,Jeevesh8/bert_ft_cola-88,0.7752669569353673
88,aditeyabaral/finetuned-sail2017-xlm-roberta-base,0.7790550560089594
89,connectivity/bert_ft_qqp-96,0.7759808582487177
90,boychaboy/MNLI_roberta-base,0.7725096871774314
91,fabriceyhc/bert-base-uncased-imdb,0.7770835809269651
92,emrecan/bert-base-multilingual-cased-snli_tr,0.7807570862539267
93,elozano/tweet_offensive_eval,0.7761031685277958
94,joebobby/finetuning-sentiment-model-5000-samples3,0.7733276088696558
95,YeRyeongLee/electra-base-discriminator-finetuned-filtered-0602,0.7723130372008727
96,Jeevesh8/feather_berts_92,0.7733278497225472
97,ASCCCCCCCC/distilbert-base-chinese-amazon_zh_20000,0.7729404763684636
98,Jeevesh8/6ep_bert_ft_cola-29,0.7752636419284352
99,albert-base-v2,0.7822307341705242
100,bert-base-cased,0.784237400750803
