,model,score
0,Guscode/DKbert-hatespeech-detection,21.340394534566656
1,milyiyo/selectra-small-finetuned-amazon-review,21.3199513454735
2,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,21.481878693738963
3,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,21.564546072689495
4,vinai/bertweet-covid19-base-cased,21.75111644766656
5,vinai/bertweet-base,21.44791709349562
6,vinai/bertweet-covid19-base-uncased,21.703586702066048
7,justinqbui/bertweet-covid19-base-uncased-pretraining-covid-vaccine-tweets,21.612846134389542
8,jb2k/bert-base-multilingual-cased-language-detection,21.365321681063165
9,crcb/isear_bert,21.585845968042918
10,jasonyim2/distilbert-base-uncased-finetuned-emotion,21.557290193590916
11,marcelcastrobr/sagemaker-distilbert-emotion,21.56236988717626
12,abdelkader/distilbert-base-uncased-finetuned-emotion,21.578079765087693
13,moghis/distilbert-base-uncased-finetuned-emotion,21.551698855080247
14,neibla/distilbert-base-uncased-finetuned-emotion,21.53010570741037
15,uygarkurt/distilbert-base-uncased-finetuned-emotion,21.505846058590237
16,JB173/distilbert-base-uncased-finetuned-emotion,21.551770946117642
17,vaariis/distilbert-base-uncased-finetuned-emotion,21.578402453831984
18,Nanatan/distilbert-base-uncased-finetuned-emotion,21.53198102508145
19,riyadhctg/distilbert-base-uncased-finetuned-cola,21.539895098186946
20,connectivity/cola_6ep_ft-33,21.683724863564578
21,gchhablani/fnet-base-finetuned-cola,21.453174987882562
22,connectivity/cola_6ep_ft-22,21.647961944301187
23,vesteinn/XLMR-ENIS-finetuned-cola,21.614343814051608
24,Jeevesh8/6ep_bert_ft_cola-47,21.63209038707288
25,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,21.58467093097579
26,jaesun/distilbert-base-uncased-finetuned-cola,21.482712672973037
27,Jeevesh8/6ep_bert_ft_cola-12,21.692589669921404
28,connectivity/cola_6ep_ft-10,21.577117081754295
29,Jeevesh8/6ep_bert_ft_cola-29,21.636989568459853
30,Jeevesh8/bert_ft_cola-60,21.584992836698802
31,navsad/navid_test_bert,21.55443092454948
32,Jeevesh8/bert_ft_cola-88,21.62175814577239
33,usami/distilbert-base-uncased-finetuned-cola,21.604274524845152
34,isakbos/Q8BERT_COLA_L_512,21.361617800570002
35,ishan/bert-base-uncased-mnli,21.52978493746832
36,boychaboy/MNLI_roberta-base,21.67209871050909
37,anirudh21/bert-base-uncased-finetuned-qnli,21.61777870543426
38,Alireza1044/albert-base-v2-qnli,21.565230036853904
39,Jeevesh8/init_bert_ft_qqp-33,21.56318620961531
40,Jeevesh8/init_bert_ft_qqp-49,21.562052162198995
41,connectivity/bert_ft_qqp-7,21.59512975101461
42,Jeevesh8/bert_ft_qqp-88,21.553805093526364
43,Jeevesh8/bert_ft_qqp-9,21.5979152524788
44,connectivity/bert_ft_qqp-17,21.61156139839096
45,Jeevesh8/init_bert_ft_qqp-28,21.649906523321363
46,Jeevesh8/bert_ft_qqp-55,21.60381955439749
47,Jeevesh8/bert_ft_qqp-40,21.546235545766592
48,Jeevesh8/bert_ft_qqp-39,21.518869891560087
49,connectivity/bert_ft_qqp-1,21.577324089065883
50,connectivity/bert_ft_qqp-94,21.601069610112745
51,connectivity/bert_ft_qqp-96,21.649919019980473
52,connectivity/bert_ft_qqp-25,21.598984708721616
53,Jeevesh8/bert_ft_qqp-68,21.607624429278474
54,Jeevesh8/init_bert_ft_qqp-24,21.55613038586057
55,gchhablani/bert-base-cased-finetuned-rte,21.602047027042374
56,philschmid/tiny-distilbert-classification,21.08715111694147
57,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,21.508424588742514
58,SetFit/distilbert-base-uncased__sst2__train-16-0,21.52959874089538
59,gchhablani/fnet-base-finetuned-sst2,21.482554483315596
60,aviator-neural/bert-base-uncased-sst2,21.56292158073711
61,SetFit/distilbert-base-uncased__sst2__train-32-9,21.615605003353437
62,Alassea/glue_sst_classifier,21.551900104368485
63,ChrisUPM/BioBERT_Re_trained,21.55992735859462
64,moshew/bert-mini-sst2-distilled,21.4371256061458
65,gchhablani/bert-base-cased-finetuned-wnli,21.508550432044615
66,Hate-speech-CNERG/bert-base-uncased-hatexplain-rationale-two,21.590200696449244
67,PrasunMishra/finetuning-sentiment-model-3000-samples,21.63756250718677
68,heranm/finetuning-sentiment-model-3000-samples,21.58341950866736
69,yukta10/finetuning-sentiment-model-3000-samples,21.580685075716417
70,markt23917/finetuning-sentiment-model-3000-samples,21.573070486394386
71,juliensimon/autonlp-imdb-demo-hf-16622767,21.53773161994036
72,XSY/albert-base-v2-imdb-calssification,21.498702476578387
73,fabriceyhc/bert-base-uncased-imdb,21.620540559325264
74,ncduy/roberta-imdb-sentiment-analysis,21.638026933918354
75,Anthos23/FS-distilroberta-fine-tuned,21.569386993272076
76,oferweintraub/bert-base-finance-sentiment-noisy-search,21.683862953194534
77,emrecan/bert-base-multilingual-cased-snli_tr,21.493993634247545
78,nurkayevaa/autonlp-bert-covid-407910458,21.589309451324766
79,w11wo/sundanese-bert-base-emotion-classifier,21.294999654939716
80,aychang/bert-base-cased-trec-coarse,21.54619385705928
81,JNK789/distilbert-base-uncased-finetuned-tweets-emoji-dataset,20.772655083874497
82,pietrotrope/emotion_final,21.534723880283764
83,aXhyra/presentation_emotion_31415,21.625857437871048
84,aXhyra/emotion_trained_31415,21.62341220358212
85,elozano/tweet_offensive_eval,21.314035910644122
86,aXhyra/presentation_sentiment_1234567,21.57328988235048
87,aXhyra/demo_sentiment_31415,21.57777564831531
88,nickmuchi/facebook-data2vec-finetuned-finance-classification,21.640261713138898
89,manueltonneau/bert-twitter-en-is-hired,21.615946972094548
90,distilbert-base-uncased,21.58864468836674
91,bert-base-uncased,21.699611596336183
92,albert-base-v2,21.471625439566594
93,dhimskyy/wiki-bert,21.332390829500184
94,michiyasunaga/LinkBERT-base,21.574154812981305
95,bert-base-cased,21.546570262434557
96,roberta-base,21.66161039802438
97,bert-large-uncased,21.483072502413847
98,roberta-large,21.620580912796584
99,Recognai/bert-base-spanish-wwm-cased-xnli,21.280282856379813
100,mrm8488/electricidad-base-finetuned-pawsx-es,21.37133599372089
101,dapang/distilroberta-base-mic-sym,21.537534646435745
102,cambridgeltl/guardian_news_distilbert-base-uncased,21.604265461661726
103,Capreolus/bert-base-msmarco,21.62646896145003
104,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,21.529785668016984
105,Jeevesh8/feather_berts_46,21.489784437900425
106,phailyoor/distilbert-base-uncased-finetuned-yahd,21.47997283280216
107,amyma21/sincere_question_classification,21.636670583671673
108,arianpasquali/distilbert-base-multilingual-cased-toxicity,21.45024916536636
109,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,21.26397333400587
110,chiragasarpota/scotus-bert,21.30707353431302
111,connectivity/feather_berts_28,21.598506708936043
112,Giyaseddin/distilroberta-base-finetuned-short-answer-assessment,21.58403711123964
113,IMSyPP/hate_speech_it,21.440169090050972
114,Jeevesh8/feather_berts_96,21.622048741353467
115,18811449050/bert_finetuning_test,21.655306206443015
116,viviastaari/finetuning-sentiment-analysis-en-id,21.323764633225323
117,AnonymousSub/dummy_2,21.479232462275604
118,Jeevesh8/lecun_feather_berts-3,21.59740778408451
119,Jeevesh8/lecun_feather_berts-51,21.61592045264092
120,rmihaylov/roberta-base-sentiment-bg,21.40590011944272
121,finiteautomata/betonews-tweetcontext,21.368369143484472
122,cardiffnlp/twitter-roberta-base-2021-124m,21.59916141937748
123,Jeevesh8/lecun_feather_berts-8,21.57728813810178
124,Jeevesh8/lecun_feather_berts-7,21.550789135557466
125,korca/bae-roberta-base-boolq,21.58521570009583
126,IMSyPP/hate_speech_nl,21.254721728810864
127,cardiffnlp/bertweet-base-stance-climate,21.69296081869402
128,waboucay/camembert-base-finetuned-xnli_fr-finetuned-nli-rua_wl,21.248412024653078
129,aditeyabaral/finetuned-sail2017-xlm-roberta-base,21.571168679904133
130,M47Labs/spanish_news_classification_headlines_untrained,21.428211683466827
131,mrm8488/codebert-base-finetuned-detect-insecure-code,21.612787216249387
132,socialmediaie/TRAC2020_IBEN_B_bert-base-multilingual-uncased,21.469785858170496
