,model,score
0,Guscode/DKbert-hatespeech-detection,-69.77588726856428
1,milyiyo/selectra-small-finetuned-amazon-review,-69.78030534351896
2,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,-69.69531336750492
3,vinai/bertweet-covid19-base-cased,-69.81686967643998
4,vinai/bertweet-base,-69.65711952318618
5,vinai/bertweet-covid19-base-uncased,-69.91756524829023
6,justinqbui/bertweet-covid19-base-uncased-pretraining-covid-vaccine-tweets,-69.88387496506905
7,jb2k/bert-base-multilingual-cased-language-detection,-69.82974838338377
8,crcb/isear_bert,-69.72195534232627
9,marcelcastrobr/sagemaker-distilbert-emotion,-69.73857938687657
10,abdelkader/distilbert-base-uncased-finetuned-emotion,-69.77430362473544
11,moghis/distilbert-base-uncased-finetuned-emotion,-69.73818654174516
12,neibla/distilbert-base-uncased-finetuned-emotion,-69.73829623922246
13,uygarkurt/distilbert-base-uncased-finetuned-emotion,-69.73783389324252
14,JB173/distilbert-base-uncased-finetuned-emotion,-69.68868943463835
15,vaariis/distilbert-base-uncased-finetuned-emotion,-69.73778358840997
16,Nanatan/distilbert-base-uncased-finetuned-emotion,-69.76723923176411
17,riyadhctg/distilbert-base-uncased-finetuned-cola,-69.78905305560139
18,connectivity/cola_6ep_ft-33,-69.77994034341287
19,vesteinn/XLMR-ENIS-finetuned-cola,-69.81709631568452
20,Jeevesh8/6ep_bert_ft_cola-47,-69.74404259685171
21,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,-69.82928543727664
22,jaesun/distilbert-base-uncased-finetuned-cola,-69.94513847739641
23,Jeevesh8/6ep_bert_ft_cola-12,-69.70172402403479
24,connectivity/cola_6ep_ft-10,-69.74436975169289
25,Jeevesh8/bert_ft_cola-60,-69.79091598829113
26,navsad/navid_test_bert,-69.87856135092545
27,Jeevesh8/bert_ft_cola-88,-69.70183797828139
28,usami/distilbert-base-uncased-finetuned-cola,-69.70915941415369
29,isakbos/Q8BERT_COLA_L_512,-69.9480519712188
30,ishan/bert-base-uncased-mnli,-69.74822838748
31,boychaboy/MNLI_roberta-base,-69.67346240700371
32,anirudh21/bert-base-uncased-finetuned-qnli,-69.64541138437129
33,Alireza1044/albert-base-v2-qnli,-69.7131379998603
34,Jeevesh8/init_bert_ft_qqp-49,-69.74092837547784
35,connectivity/bert_ft_qqp-7,-69.64776569093195
36,Jeevesh8/bert_ft_qqp-88,-69.72732095477318
37,Jeevesh8/bert_ft_qqp-9,-69.64780548600463
38,connectivity/bert_ft_qqp-17,-69.74105715173718
39,Jeevesh8/init_bert_ft_qqp-28,-69.74104872766878
40,Jeevesh8/bert_ft_qqp-55,-69.69855638194498
41,Jeevesh8/bert_ft_qqp-40,-69.69919868665076
42,Jeevesh8/bert_ft_qqp-39,-69.69828378576574
43,connectivity/bert_ft_qqp-1,-69.64776179295905
44,connectivity/bert_ft_qqp-96,-69.6738220654816
45,connectivity/bert_ft_qqp-25,-69.69853603178603
46,Jeevesh8/bert_ft_qqp-68,-69.74120014186263
47,Jeevesh8/init_bert_ft_qqp-24,-69.74128124008887
48,gchhablani/bert-base-cased-finetuned-rte,-69.71553395534922
49,philschmid/tiny-distilbert-classification,-70.18173179963735
50,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,-69.7399656361638
51,SetFit/distilbert-base-uncased__sst2__train-16-0,-69.77255444945766
52,gchhablani/fnet-base-finetuned-sst2,-69.75437113873355
53,SetFit/distilbert-base-uncased__sst2__train-32-9,-69.73052465667169
54,Alassea/glue_sst_classifier,-69.76333491163632
55,ChrisUPM/BioBERT_Re_trained,-69.79746756731276
56,moshew/bert-mini-sst2-distilled,-69.72296152704911
57,gchhablani/bert-base-cased-finetuned-wnli,-69.78418367942871
58,Hate-speech-CNERG/bert-base-uncased-hatexplain-rationale-two,-69.8111210100751
59,PrasunMishra/finetuning-sentiment-model-3000-samples,-69.72599476909153
60,heranm/finetuning-sentiment-model-3000-samples,-69.754897837697
61,yukta10/finetuning-sentiment-model-3000-samples,-69.72612267914515
