,mappedID,model,score
0,0,Jeevesh8/init_bert_ft_qqp-33,-14.465359
1,1,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,-0.071333766
2,2,vaariis/distilbert-base-uncased-finetuned-emotion,-2.9849987
3,3,philschmid/tiny-distilbert-classification,-0.21887612
4,4,heranm/finetuning-sentiment-model-3000-samples,0.90671504
5,5,marcelcastrobr/sagemaker-distilbert-emotion,-13.282198
6,6,jasonyim2/distilbert-base-uncased-finetuned-emotion,-10.470029
7,7,riyadhctg/distilbert-base-uncased-finetuned-cola,-3.9037144
8,8,PrasunMishra/finetuning-sentiment-model-3000-samples,-18.089668
9,9,nurkayevaa/autonlp-bert-covid-407910458,1.8121991
10,10,SetFit/distilbert-base-uncased__sst2__train-16-0,0.35688913
11,11,abdelkader/distilbert-base-uncased-finetuned-emotion,-11.425896
12,12,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,-0.4749756
13,13,crcb/isear_bert,-9.861677
14,14,connectivity/cola_6ep_ft-33,-5.5363564
15,15,Jeevesh8/init_bert_ft_qqp-49,0.2004379
16,16,connectivity/cola_6ep_ft-22,3.628109
17,17,yukta10/finetuning-sentiment-model-3000-samples,0.7837148
18,18,ncduy/roberta-imdb-sentiment-analysis,0.023993015
19,19,vesteinn/XLMR-ENIS-finetuned-cola,1.7102585
20,20,isakbos/Q8BERT_COLA_L_512,2.7312777
21,21,connectivity/bert_ft_qqp-7,2.0825224
22,22,moghis/distilbert-base-uncased-finetuned-emotion,2.8722024
23,23,moshew/bert-mini-sst2-distilled,-0.518023
24,24,uygarkurt/distilbert-base-uncased-finetuned-emotion,-3.641521
25,25,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,1.1176729
26,26,neibla/distilbert-base-uncased-finetuned-emotion,0.94886255
27,27,Anthos23/FS-distilroberta-fine-tuned,2.411304
28,28,pietrotrope/emotion_final,0.9122331
29,29,aviator-neural/bert-base-uncased-sst2,24.437145
30,30,Jeevesh8/bert_ft_qqp-40,4.439344
31,31,jaesun/distilbert-base-uncased-finetuned-cola,-5.0207834
32,32,SetFit/distilbert-base-uncased__sst2__train-32-9,-12.618921
33,33,usami/distilbert-base-uncased-finetuned-cola,101.19824
34,34,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,-1.9035473
35,35,Jeevesh8/bert_ft_qqp-9,-3.370398
36,36,Jeevesh8/bert_ft_qqp-88,4.3543167
37,37,Recognai/bert-base-spanish-wwm-cased-xnli,-1.8004885
38,38,markt23917/finetuning-sentiment-model-3000-samples,-1.8143728
39,39,anirudh21/bert-base-uncased-finetuned-qnli,-1.7951057
40,40,Jeevesh8/6ep_bert_ft_cola-47,-0.5061264
41,41,oferweintraub/bert-base-finance-sentiment-noisy-search,-0.855047
42,42,aXhyra/demo_sentiment_31415,0.5866051
43,43,milyiyo/selectra-small-finetuned-amazon-review,26.401758
44,44,aXhyra/presentation_sentiment_1234567,1.1624625
45,45,connectivity/cola_6ep_ft-10,-1.8134766
46,46,jb2k/bert-base-multilingual-cased-language-detection,-0.46868205
47,47,connectivity/bert_ft_qqp-25,-2.2943292
48,48,Jeevesh8/6ep_bert_ft_cola-12,-0.49490368
49,49,aXhyra/emotion_trained_31415,-0.79097027
50,50,aXhyra/presentation_emotion_31415,-10.497287
51,51,JB173/distilbert-base-uncased-finetuned-emotion,-5.654817
52,52,Jeevesh8/init_bert_ft_qqp-24,0.39233398
53,53,Jeevesh8/bert_ft_qqp-55,-1.8187473
54,54,Jeevesh8/bert_ft_qqp-68,6.064088
55,55,Jeevesh8/6ep_bert_ft_cola-29,8.364357
56,56,connectivity/bert_ft_qqp-17,1.158838
57,57,Jeevesh8/init_bert_ft_qqp-28,-6.3388405
58,58,vinai/bertweet-base,0.01329571
59,59,dhimskyy/wiki-bert,-12.483516
60,60,bert-base-uncased,0.4593768
61,61,justinqbui/bertweet-covid19-base-uncased-pretraining-covid-vaccine-tweets,-2.003851
62,62,vinai/bertweet-covid19-base-cased,7.891329
63,63,distilbert-base-uncased,3.358391
64,64,roberta-base,-2.7131891
65,65,bert-base-cased,-6.6751175
66,66,cross-encoder/quora-distilroberta-base,-1.0402993
67,67,michiyasunaga/LinkBERT-base,-10.016444
68,68,bert-large-uncased,-4.195288
69,69,roberta-large,1.0572109
70,70,vinai/bertweet-covid19-base-uncased,-2.5667074
71,71,connectivity/bert_ft_qqp-1,30.340445
72,72,juliensimon/autonlp-imdb-demo-hf-16622767,-0.7880883
73,73,Alassea/glue_sst_classifier,1.9591868
74,74,Nanatan/distilbert-base-uncased-finetuned-emotion,9.214247
75,75,Jeevesh8/bert_ft_qqp-39,-2.046065
76,76,Jeevesh8/bert_ft_cola-60,-0.35046625
77,77,navsad/navid_test_bert,-4.8261003
78,78,navteca/quora-roberta-base,-18.538525
79,79,connectivity/bert_ft_qqp-94,3.9419842
80,80,w11wo/sundanese-bert-base-emotion-classifier,-5.5833135
81,81,Hate-speech-CNERG/bert-base-uncased-hatexplain-rationale-two,-6.881799
82,82,Jeevesh8/bert_ft_cola-88,2.6301775
83,83,aychang/bert-base-cased-trec-coarse,-4.7516894
84,84,cross-encoder/quora-roberta-base,0.14029527
85,85,ishan/bert-base-uncased-mnli,-9.09399
86,86,connectivity/bert_ft_qqp-96,-0.515059
87,87,boychaboy/MNLI_roberta-base,1.596024
88,88,fabriceyhc/bert-base-uncased-imdb,-16.265675
89,89,gchhablani/bert-base-cased-finetuned-rte,-2.6253467
90,90,emrecan/bert-base-multilingual-cased-snli_tr,-2.553902
91,91,elozano/tweet_offensive_eval,-8.114714
92,92,mrm8488/electricidad-base-finetuned-pawsx-es,2.1935997
93,93,gchhablani/bert-base-cased-finetuned-wnli,4.4062824
94,94,manueltonneau/bert-twitter-en-is-hired,0.16046476
95,95,Guscode/DKbert-hatespeech-detection,1.4815054
96,96,ChrisUPM/BioBERT_Re_trained,-4.479393
97,97,dapang/distilroberta-base-mic-sym,-3.5380018
98,98,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,-1.811343
99,99,Capreolus/bert-base-msmarco,1.593585
100,100,amyma21/sincere_question_classification,-2.301318
101,101,phailyoor/distilbert-base-uncased-finetuned-yahd,-0.66267467
102,102,arianpasquali/distilbert-base-multilingual-cased-toxicity,-10.41576
103,103,cambridgeltl/guardian_news_distilbert-base-uncased,-11.005525
104,104,Jeevesh8/feather_berts_46,-3.093659
105,105,strickvl/nlp-redaction-classifier,-1.592394
106,106,liangyuant/distilbert-base-uncased-finetuned-num200-450-405cls,7.6287107
107,107,connectivity/feather_berts_28,-0.9717512
108,108,IMSyPP/hate_speech_it,-3.9102898
109,109,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,-7.9969263
110,110,cross-encoder/ms-marco-MiniLM-L-4-v2,2.1688843
111,111,viviastaari/finetuning-sentiment-analysis-en-id,-9.383072
112,112,rmihaylov/roberta-base-sentiment-bg,-1.0734148
113,113,18811449050/bert_finetuning_test,26.28486
114,114,Giyaseddin/distilroberta-base-finetuned-short-answer-assessment,-7.7765107
115,115,Aureliano/distilbert-base-uncased-if,-0.12981135
116,116,Jeevesh8/lecun_feather_berts-51,-1.477546
117,117,Jeevesh8/feather_berts_96,9.016833
118,118,saattrupdan/job-listing-relevance-model,0.10811639
119,119,AnonymousSub/dummy_2,-5.027342
120,120,cardiffnlp/twitter-roberta-base-2021-124m,-0.34703648
121,121,finiteautomata/betonews-tweetcontext,0.37391615
122,122,Jeevesh8/lecun_feather_berts-8,-0.95555735
123,123,Jeevesh8/lecun_feather_berts-7,0.064106464
124,124,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,-0.91423917
125,125,Jeevesh8/lecun_feather_berts-3,-5.7622094
126,126,aditeyabaral/finetuned-sail2017-xlm-roberta-base,3.102806
127,127,korca/bae-roberta-base-boolq,8.716652
128,128,zenkri/autotrain-Arabic_Poetry_by_Subject-920730230,7.3385196
129,129,cointegrated/roberta-base-formality,-0.11416769
130,130,mrm8488/codebert-base-finetuned-detect-insecure-code,-0.41850066
131,131,M47Labs/spanish_news_classification_headlines_untrained,0.96005106
132,132,anvay/finetuning-cardiffnlp-sentiment-model,-0.29792905
133,133,joebobby/finetuning-sentiment-model-5000-samples3,1.1657827
134,134,Jeevesh8/feather_berts_92,-21.85735
135,135,JonatanGk/roberta-base-ca-finetuned-hate-speech-offensive-catalan,1.2418762
136,136,nreimers/mmarco-mMiniLMv2-L6-H384-v1,1.6085271
137,137,Raychanan/COVID_RandomOver,0.7525859
138,138,ASCCCCCCCC/distilbert-base-chinese-amazon_zh_20000,1.0336642
139,139,socialmediaie/TRAC2020_IBEN_B_bert-base-multilingual-uncased,-0.65431833
140,140,anferico/bert-for-patents,-1.9993427
141,141,ali2066/DistilBERTFINAL_ctxSentence_TRAIN_editorials_TEST_NULL_second_train_set_null_False,-0.28244436
142,142,kyleinincubated/autonlp-cat333-624217911,-0.77537394
143,143,morenolq/SumTO_FNS2020,4.032901
144,144,IMSyPP/hate_speech_nl,26.820261
145,145,matthewburke/korean_sentiment,-4.821554
146,146,cardiffnlp/bertweet-base-stance-climate,7.8095055
147,147,bondi/bert-semaphore-prediction-w4,0.16048932
148,148,classla/bcms-bertic-parlasent-bcs-ter,21.71684
