,model,score
0,Jeevesh8/init_bert_ft_qqp-33,0.7216857191852428
1,Jeevesh8/init_bert_ft_qqp-33,0.7212215835307212
2,Jeevesh8/init_bert_ft_qqp-49,0.7384079366656404
3,Jeevesh8/init_bert_ft_qqp-49,0.7376211920413622
4,connectivity/bert_ft_qqp-7,0.7286423566388465
5,connectivity/bert_ft_qqp-7,0.7278787991934164
6,Jeevesh8/bert_ft_qqp-40,0.7475026876337139
7,Jeevesh8/bert_ft_qqp-40,0.7461260057144443
8,Jeevesh8/bert_ft_qqp-9,0.7164379139755219
9,Jeevesh8/bert_ft_qqp-9,0.7156753559217892
10,Jeevesh8/bert_ft_qqp-88,0.7510216993506595
11,Jeevesh8/bert_ft_qqp-88,0.7507128277927735
12,connectivity/bert_ft_qqp-25,0.7489963263684556
13,connectivity/bert_ft_qqp-25,0.748312785344248
14,Jeevesh8/bert_ft_qqp-55,0.7394905281876252
15,Jeevesh8/bert_ft_qqp-55,0.7387416739919821
16,connectivity/bert_ft_qqp-1,0.7204416289336638
17,connectivity/bert_ft_qqp-1,0.7195874559415804
18,Jeevesh8/bert_ft_qqp-39,0.7398778754665439
19,Jeevesh8/bert_ft_qqp-39,0.7398317500709992
20,connectivity/bert_ft_qqp-94,0.7281971393904348
21,connectivity/bert_ft_qqp-94,0.727801428671029
22,connectivity/bert_ft_qqp-96,0.7404757421061847
23,connectivity/bert_ft_qqp-96,0.7400283402213728
24,Jeevesh8/init_bert_ft_qqp-24,0.7296129643382012
25,Jeevesh8/init_bert_ft_qqp-24,0.728804825048379
26,Jeevesh8/bert_ft_qqp-68,0.7251964363290615
27,Jeevesh8/bert_ft_qqp-68,0.7243874156823321
28,Jeevesh8/init_bert_ft_qqp-28,0.7216508832758735
29,Jeevesh8/init_bert_ft_qqp-28,0.7214935290902819
30,connectivity/bert_ft_qqp-17,0.7197882456527158
31,connectivity/bert_ft_qqp-17,0.719624330518504
32,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.7855087212047014
33,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.7852317095725625
34,SetFit/distilbert-base-uncased__sst2__train-16-0,0.7888323997890976
35,SetFit/distilbert-base-uncased__sst2__train-16-0,0.7885647059957464
36,aviator-neural/bert-base-uncased-sst2,0.7170932454265526
37,aviator-neural/bert-base-uncased-sst2,0.7165209801856529
38,SetFit/distilbert-base-uncased__sst2__train-32-9,0.794513007098214
39,SetFit/distilbert-base-uncased__sst2__train-32-9,0.7937198726103535
40,Alassea/glue_sst_classifier,0.7429500792578891
41,Alassea/glue_sst_classifier,0.7420784448696922
42,philschmid/tiny-distilbert-classification,0.5363783024233104
43,philschmid/tiny-distilbert-classification,0.5362549358394653
44,moshew/bert-mini-sst2-distilled,0.6897103982920076
45,moshew/bert-mini-sst2-distilled,0.6895980215194506
46,ChrisUPM/BioBERT_Re_trained,0.69895560078355
47,ChrisUPM/BioBERT_Re_trained,0.6984136554035976
48,vaariis/distilbert-base-uncased-finetuned-emotion,0.7907438203166434
49,vaariis/distilbert-base-uncased-finetuned-emotion,0.7904618911319555
50,marcelcastrobr/sagemaker-distilbert-emotion,0.7770251781140692
51,marcelcastrobr/sagemaker-distilbert-emotion,0.77693927397281
52,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.7793215199660656
53,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.7792538460546891
54,abdelkader/distilbert-base-uncased-finetuned-emotion,0.7932597784201595
55,abdelkader/distilbert-base-uncased-finetuned-emotion,0.792906219481634
56,moghis/distilbert-base-uncased-finetuned-emotion,0.7899079897215691
57,moghis/distilbert-base-uncased-finetuned-emotion,0.789607575388732
58,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.7678518607881211
59,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.7674621558140857
60,neibla/distilbert-base-uncased-finetuned-emotion,0.7899244636826562
61,neibla/distilbert-base-uncased-finetuned-emotion,0.7897936081089404
62,JB173/distilbert-base-uncased-finetuned-emotion,0.7834505440060099
63,JB173/distilbert-base-uncased-finetuned-emotion,0.7831097812303119
64,Nanatan/distilbert-base-uncased-finetuned-emotion,0.7835627765584332
65,Nanatan/distilbert-base-uncased-finetuned-emotion,0.7834437836119789
66,heranm/finetuning-sentiment-model-3000-samples,0.789582364179941
67,heranm/finetuning-sentiment-model-3000-samples,0.7892477992095075
68,PrasunMishra/finetuning-sentiment-model-3000-samples,0.7924370750745287
69,PrasunMishra/finetuning-sentiment-model-3000-samples,0.7921464417342449
70,yukta10/finetuning-sentiment-model-3000-samples,0.7800718053156058
71,yukta10/finetuning-sentiment-model-3000-samples,0.7798882428090154
72,ncduy/roberta-imdb-sentiment-analysis,0.8056278405248843
73,ncduy/roberta-imdb-sentiment-analysis,0.8052025528150597
74,markt23917/finetuning-sentiment-model-3000-samples,0.8013345754397152
75,markt23917/finetuning-sentiment-model-3000-samples,0.8005410095740194
76,juliensimon/autonlp-imdb-demo-hf-16622767,0.7789662361681967
77,juliensimon/autonlp-imdb-demo-hf-16622767,0.7785510988120303
78,fabriceyhc/bert-base-uncased-imdb,0.731527545587275
79,fabriceyhc/bert-base-uncased-imdb,0.731044536232798
80,riyadhctg/distilbert-base-uncased-finetuned-cola,0.797028857149148
81,riyadhctg/distilbert-base-uncased-finetuned-cola,0.7966800936604439
82,connectivity/cola_6ep_ft-33,0.7391786876719122
83,connectivity/cola_6ep_ft-33,0.7385993171290761
84,connectivity/cola_6ep_ft-22,0.7526540189799479
85,connectivity/cola_6ep_ft-22,0.7522719238139818
86,isakbos/Q8BERT_COLA_L_512,0.5897537958527417
87,isakbos/Q8BERT_COLA_L_512,0.5890196173107961
88,jaesun/distilbert-base-uncased-finetuned-cola,0.7837481738932626
89,jaesun/distilbert-base-uncased-finetuned-cola,0.7831847497670881
90,usami/distilbert-base-uncased-finetuned-cola,0.7847497788566278
91,usami/distilbert-base-uncased-finetuned-cola,0.7793774295062372
92,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,0.709845080480448
93,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,0.7090538988639324
94,Jeevesh8/6ep_bert_ft_cola-47,0.724530875322787
95,Jeevesh8/6ep_bert_ft_cola-47,0.7239602845540964
96,connectivity/cola_6ep_ft-10,0.7539184151380954
97,connectivity/cola_6ep_ft-10,0.7535150425296798
98,Jeevesh8/6ep_bert_ft_cola-12,0.7442109805021947
99,Jeevesh8/6ep_bert_ft_cola-12,0.7437276045069765
100,Jeevesh8/bert_ft_cola-88,0.7456673327502371
101,Jeevesh8/bert_ft_cola-88,0.7450429149128528
102,Jeevesh8/6ep_bert_ft_cola-29,0.7357477896958393
103,Jeevesh8/6ep_bert_ft_cola-29,0.7355677641492657
104,vesteinn/XLMR-ENIS-finetuned-cola,0.7883754721848601
105,vesteinn/XLMR-ENIS-finetuned-cola,0.7883132701892162
106,navsad/navid_test_bert,0.7381477701665884
107,navsad/navid_test_bert,0.7377532173639065
108,Jeevesh8/bert_ft_cola-60,0.7252533489251412
109,Jeevesh8/bert_ft_cola-60,0.724679361315661
110,dapang/distilroberta-base-mic-sym,0.785524290111382
111,dapang/distilroberta-base-mic-sym,0.7851526588611982
112,Capreolus/bert-base-msmarco,0.742808037377214
113,Capreolus/bert-base-msmarco,0.7422192600069093
114,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.7464218433636348
115,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.745840625282383
116,Jeevesh8/feather_berts_46,0.7377980218785524
117,Jeevesh8/feather_berts_46,0.7374052587395696
118,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,0.6738102762339666
119,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,0.673513236758353
120,cambridgeltl/guardian_news_distilbert-base-uncased,0.7756683392954992
121,cambridgeltl/guardian_news_distilbert-base-uncased,0.7752851278094735
122,amyma21/sincere_question_classification,0.7808724962856383
123,amyma21/sincere_question_classification,0.780766066148066
124,phailyoor/distilbert-base-uncased-finetuned-yahd,0.7515387915443108
125,phailyoor/distilbert-base-uncased-finetuned-yahd,0.7512582215233794
126,arianpasquali/distilbert-base-multilingual-cased-toxicity,0.7478588852928356
127,arianpasquali/distilbert-base-multilingual-cased-toxicity,0.7473527479613105
128,connectivity/feather_berts_28,0.741798137514672
129,connectivity/feather_berts_28,0.7414137930491166
130,liangyuant/distilbert-base-uncased-finetuned-num200-450-405cls,0.8247431554490826
131,liangyuant/distilbert-base-uncased-finetuned-num200-450-405cls,0.8245672111196996
132,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,0.7531256496930229
133,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,0.7529629025846971
134,Jeevesh8/lecun_feather_berts-3,0.7349944940043125
135,Jeevesh8/lecun_feather_berts-3,0.7346586976468417
136,Giyaseddin/distilroberta-base-finetuned-short-answer-assessment,0.7827948617068506
137,Giyaseddin/distilroberta-base-finetuned-short-answer-assessment,0.7823625555292295
138,AnonymousSub/dummy_2,0.7062142090145205
139,AnonymousSub/dummy_2,0.705449098580198
140,Jeevesh8/lecun_feather_berts-51,0.7504717436354832
141,Jeevesh8/lecun_feather_berts-51,0.7498758687035124
142,viviastaari/finetuning-sentiment-analysis-en-id,0.7152501891145836
143,viviastaari/finetuning-sentiment-analysis-en-id,0.7147191816415032
144,Aureliano/distilbert-base-uncased-if,0.7883803358964359
145,Aureliano/distilbert-base-uncased-if,0.7883356636338322
146,rmihaylov/roberta-base-sentiment-bg,0.7280497890548911
147,rmihaylov/roberta-base-sentiment-bg,0.7275560015668465
148,cardiffnlp/twitter-roberta-base-2021-124m,0.8072170408766489
149,cardiffnlp/twitter-roberta-base-2021-124m,0.8070236121352351
