,model,score
0,Jeevesh8/init_bert_ft_qqp-33,0.7511940543636755
1,Jeevesh8/init_bert_ft_qqp-49,0.7616098916242531
2,connectivity/bert_ft_qqp-7,0.7516396411254107
3,Jeevesh8/bert_ft_qqp-40,0.7642802844450355
4,Jeevesh8/bert_ft_qqp-9,0.7652447453899369
5,Jeevesh8/bert_ft_qqp-88,0.7563162986394302
6,connectivity/bert_ft_qqp-25,0.7648193002649232
7,Jeevesh8/bert_ft_qqp-55,0.810555254314029
8,connectivity/bert_ft_qqp-1,0.7755224879987078
9,Jeevesh8/bert_ft_qqp-39,0.7729537230071244
10,connectivity/bert_ft_qqp-94,0.7495410419337454
11,connectivity/bert_ft_qqp-96,0.7285132773303217
12,Jeevesh8/init_bert_ft_qqp-24,0.7673108299283931
13,Jeevesh8/bert_ft_qqp-68,0.7630845999808318
14,Jeevesh8/init_bert_ft_qqp-28,0.744062599978613
15,connectivity/bert_ft_qqp-17,0.7451969936220009
16,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.7529481711298327
17,SetFit/distilbert-base-uncased__sst2__train-16-0,0.7840661190419462
18,gchhablani/fnet-base-finetuned-sst2,0.726733432113134
19,aviator-neural/bert-base-uncased-sst2,0.7690234226089268
20,SetFit/distilbert-base-uncased__sst2__train-32-9,0.7931788405022984
21,Alassea/glue_sst_classifier,0.7873730297116588
22,philschmid/tiny-distilbert-classification,0.5288029930178388
23,moshew/bert-mini-sst2-distilled,0.717383048567536
24,ChrisUPM/BioBERT_Re_trained,0.7422240349765461
25,vaariis/distilbert-base-uncased-finetuned-emotion,0.7632922815117215
26,marcelcastrobr/sagemaker-distilbert-emotion,0.7393907154625957
27,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.7547225733911459
28,abdelkader/distilbert-base-uncased-finetuned-emotion,0.7555370921840819
29,moghis/distilbert-base-uncased-finetuned-emotion,0.7520161404465378
30,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.7829099990378636
31,neibla/distilbert-base-uncased-finetuned-emotion,0.7446381630542808
32,JB173/distilbert-base-uncased-finetuned-emotion,0.7520167157177119
33,Nanatan/distilbert-base-uncased-finetuned-emotion,0.7340287254371848
