,model,score
0,milyiyo/selectra-small-finetuned-amazon-review,0.4469044805797463
1,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,0.6105832240501645
2,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,0.7762795323900605
3,vinai/bertweet-covid19-base-cased,0.6587668744119557
4,vinai/bertweet-covid19-base-uncased,0.8422149067650184
5,justinqbui/bertweet-covid19-base-uncased-pretraining-covid-vaccine-tweets,0.8101860597876184
6,jb2k/bert-base-multilingual-cased-language-detection,0.5954352542996958
7,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.8016919236691001
8,marcelcastrobr/sagemaker-distilbert-emotion,0.7974554317807592
9,vaariis/distilbert-base-uncased-finetuned-emotion,0.807926235035886
10,Nanatan/distilbert-base-uncased-finetuned-emotion,0.7857701530781415
11,riyadhctg/distilbert-base-uncased-finetuned-cola,0.7228082383276184
12,connectivity/cola_6ep_ft-33,0.7850576370023509
13,connectivity/cola_6ep_ft-22,0.7950917604152049
14,vesteinn/XLMR-ENIS-finetuned-cola,0.7622089091243917
15,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,0.7509439414173434
16,jaesun/distilbert-base-uncased-finetuned-cola,0.6952398587650382
17,Jeevesh8/6ep_bert_ft_cola-29,0.7610134153358414
18,Jeevesh8/bert_ft_cola-60,0.756472220696445
19,navsad/navid_test_bert,0.7404660077497316
20,isakbos/Q8BERT_COLA_L_512,0.496493873376726
21,ishan/bert-base-uncased-mnli,0.7945728693540458
22,boychaboy/MNLI_roberta-base,0.8562092764441369
23,Alireza1044/albert-base-v2-qnli,0.746394575622089
24,Jeevesh8/init_bert_ft_qqp-33,0.7533641650020932
25,Jeevesh8/init_bert_ft_qqp-49,0.7726013324939943
26,Jeevesh8/bert_ft_qqp-88,0.8047381882776328
27,Jeevesh8/bert_ft_qqp-9,0.775814470032324
28,connectivity/bert_ft_qqp-17,0.7850977554181087
29,Jeevesh8/bert_ft_qqp-55,0.7973148782242272
30,Jeevesh8/bert_ft_qqp-40,0.7977812578434296
31,connectivity/bert_ft_qqp-96,0.7819285428755953
