,model,score
0,Jeevesh8/init_bert_ft_qqp-33,0.6788135459792721
1,Jeevesh8/init_bert_ft_qqp-33,0.6312026726276484
2,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.6495143207102226
3,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.6362848955080984
4,vaariis/distilbert-base-uncased-finetuned-emotion,0.6479456451172118
5,vaariis/distilbert-base-uncased-finetuned-emotion,0.6341286981326802
6,heranm/finetuning-sentiment-model-3000-samples,0.6495143207102226
7,heranm/finetuning-sentiment-model-3000-samples,0.6368483718959188
8,marcelcastrobr/sagemaker-distilbert-emotion,0.6464546917867875
9,marcelcastrobr/sagemaker-distilbert-emotion,0.6432033798824226
10,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.6464257630394509
11,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.644694333212847
12,riyadhctg/distilbert-base-uncased-finetuned-cola,0.656628502129556
13,riyadhctg/distilbert-base-uncased-finetuned-cola,0.6379180012974355
14,dapang/distilroberta-base-mic-sym,0.6050054530784619
15,dapang/distilroberta-base-mic-sym,0.5835259801793706
16,PrasunMishra/finetuning-sentiment-model-3000-samples,0.6335354303631547
17,PrasunMishra/finetuning-sentiment-model-3000-samples,0.6176909240081423
18,nurkayevaa/autonlp-bert-covid-407910458,0.6523303584358959
19,nurkayevaa/autonlp-bert-covid-407910458,0.6355180645603017
20,SetFit/distilbert-base-uncased__sst2__train-16-0,0.6559463586431078
21,SetFit/distilbert-base-uncased__sst2__train-16-0,0.6383664841113422
22,abdelkader/distilbert-base-uncased-finetuned-emotion,0.6530801779584597
23,abdelkader/distilbert-base-uncased-finetuned-emotion,0.6341286981326802
24,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,0.6490745071650795
25,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,0.6224637155830418
26,gchhablani/fnet-base-finetuned-sst2,0.6260796907350753
27,Capreolus/bert-base-msmarco,0.613740079980416
28,Capreolus/bert-base-msmarco,0.5880468467403515
29,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.6149977087876898
30,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.5909915487943471
31,crcb/isear_bert,0.6631749605811811
32,crcb/isear_bert,0.653136032219289
33,connectivity/cola_6ep_ft-33,0.6725179945508108
34,connectivity/cola_6ep_ft-33,0.6291194685724567
35,Jeevesh8/init_bert_ft_qqp-49,0.697649313809043
36,Jeevesh8/init_bert_ft_qqp-49,0.6312026726276484
37,Jeevesh8/feather_berts_46,0.6455378538253786
38,Jeevesh8/feather_berts_46,0.6181919270119778
39,yukta10/finetuning-sentiment-model-3000-samples,0.6611965799045632
40,yukta10/finetuning-sentiment-model-3000-samples,0.6318483571164331
41,connectivity/cola_6ep_ft-22,0.6972531830005728
42,connectivity/cola_6ep_ft-22,0.6734605026376621
43,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,0.5733289957044326
44,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,0.5784472166222322
45,cambridgeltl/guardian_news_distilbert-base-uncased,0.5923584737065754
46,cambridgeltl/guardian_news_distilbert-base-uncased,0.5694511902831091
47,gchhablani/fnet-base-finetuned-cola,0.6367753789749863
48,ncduy/roberta-imdb-sentiment-analysis,0.6927107423020803
49,ncduy/roberta-imdb-sentiment-analysis,0.6584227332610295
50,isakbos/Q8BERT_COLA_L_512,0.6613176309183431
51,isakbos/Q8BERT_COLA_L_512,0.5878438427972695
52,connectivity/bert_ft_qqp-7,0.697649313809043
53,connectivity/bert_ft_qqp-7,0.6295155993809267
54,moghis/distilbert-base-uncased-finetuned-emotion,0.6492418007651239
55,moghis/distilbert-base-uncased-finetuned-emotion,0.6341286981326802
56,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.6694477625638477
57,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.6341286981326802
58,amyma21/sincere_question_classification,0.5853150730503986
59,amyma21/sincere_question_classification,0.5835280739550306
60,phailyoor/distilbert-base-uncased-finetuned-yahd,0.5801445601761271
61,phailyoor/distilbert-base-uncased-finetuned-yahd,0.5607999119264808
62,arianpasquali/distilbert-base-multilingual-cased-toxicity,0.5364476829492049
63,arianpasquali/distilbert-base-multilingual-cased-toxicity,0.4928038009342937
64,neibla/distilbert-base-uncased-finetuned-emotion,0.6492418007651239
65,neibla/distilbert-base-uncased-finetuned-emotion,0.644694333212847
66,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,0.5750740498398675
67,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,0.5750740498398675
68,Anthos23/FS-distilroberta-fine-tuned,0.6279544176857561
69,Anthos23/FS-distilroberta-fine-tuned,0.6118079805921344
70,pietrotrope/emotion_final,0.6316297634021167
71,pietrotrope/emotion_final,0.6134131050322346
72,aviator-neural/bert-base-uncased-sst2,0.6689017631665105
73,aviator-neural/bert-base-uncased-sst2,0.6277671395133457
74,Jeevesh8/bert_ft_qqp-40,0.694630657227494
75,Jeevesh8/bert_ft_qqp-40,0.6312026726276484
76,jaesun/distilbert-base-uncased-finetuned-cola,0.6768431749274397
77,jaesun/distilbert-base-uncased-finetuned-cola,0.6505809321269345
78,SetFit/distilbert-base-uncased__sst2__train-32-9,0.6751684104279545
79,SetFit/distilbert-base-uncased__sst2__train-32-9,0.6381697893324674
80,usami/distilbert-base-uncased-finetuned-cola,0.7045061889772366
81,usami/distilbert-base-uncased-finetuned-cola,0.6505809321269345
82,connectivity/feather_berts_28,0.6455378538253786
83,connectivity/feather_berts_28,0.6181919270119778
84,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,0.6972531830005728
85,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,0.6308065418191784
86,Jeevesh8/bert_ft_qqp-9,0.697649313809043
87,Jeevesh8/bert_ft_qqp-9,0.6312026726276484
88,Jeevesh8/bert_ft_qqp-88,0.697649313809043
89,Jeevesh8/bert_ft_qqp-88,0.6738566334461323
90,Recognai/bert-base-spanish-wwm-cased-xnli,0.5907586062770681
91,Recognai/bert-base-spanish-wwm-cased-xnli,0.5676563006887694
92,markt23917/finetuning-sentiment-model-3000-samples,0.6717834141532412
93,markt23917/finetuning-sentiment-model-3000-samples,0.6362848955080984
94,JNK789/distilbert-base-uncased-finetuned-tweets-emoji-dataset,0.6395020503605344
95,JNK789/distilbert-base-uncased-finetuned-tweets-emoji-dataset,0.6244066635941696
96,warwickai/fin-perceiver,0.5440440315722995
97,anirudh21/bert-base-uncased-finetuned-qnli,0.6855625187378473
98,anirudh21/bert-base-uncased-finetuned-qnli,0.6855625187378473
99,Jeevesh8/6ep_bert_ft_cola-47,0.6725179945508108
100,Jeevesh8/6ep_bert_ft_cola-47,0.6291194685724567
101,oferweintraub/bert-base-finance-sentiment-noisy-search,0.6803670818746412
102,oferweintraub/bert-base-finance-sentiment-noisy-search,0.6435282023727019
103,aXhyra/demo_sentiment_31415,0.6520842090100731
104,aXhyra/demo_sentiment_31415,0.6332081788303955
105,milyiyo/selectra-small-finetuned-amazon-review,0.5167318082110619
106,milyiyo/selectra-small-finetuned-amazon-review,0.5109820893762346
107,aXhyra/presentation_sentiment_1234567,0.6520842090100731
108,aXhyra/presentation_sentiment_1234567,0.6332081788303955
109,Alireza1044/albert-base-v2-qnli,0.656430058782075
