,model,score
0,Jeevesh8/init_bert_ft_qqp-33,0.7906664399220055
1,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.785245386290656
2,vaariis/distilbert-base-uncased-finetuned-emotion,0.7852461365881123
3,heranm/finetuning-sentiment-model-3000-samples,0.7852453862857951
4,marcelcastrobr/sagemaker-distilbert-emotion,0.7852461366672709
5,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.7852461364670976
6,riyadhctg/distilbert-base-uncased-finetuned-cola,0.7852453866284314
7,dapang/distilroberta-base-mic-sym,0.7874798460666446
8,PrasunMishra/finetuning-sentiment-model-3000-samples,0.7852453899065314
9,nurkayevaa/autonlp-bert-covid-407910458,0.7852453866199918
10,SetFit/distilbert-base-uncased__sst2__train-16-0,0.7852453863817033
11,abdelkader/distilbert-base-uncased-finetuned-emotion,0.7852461372758185
12,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,0.785245574846162
13,gchhablani/fnet-base-finetuned-sst2,0.7875472478606066
14,Capreolus/bert-base-msmarco,0.7906664411710285
15,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.7906665664802635
16,crcb/isear_bert,0.7930957682852994
17,connectivity/cola_6ep_ft-33,0.7906664412750136
18,Jeevesh8/init_bert_ft_qqp-49,0.7906664440742378
19,Jeevesh8/feather_berts_46,0.7906665694849284
20,yukta10/finetuning-sentiment-model-3000-samples,0.785245391304052
21,connectivity/cola_6ep_ft-22,0.7906664441476855
22,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,0.7930949450014789
23,cambridgeltl/guardian_news_distilbert-base-uncased,0.7852459534645608
24,gchhablani/fnet-base-finetuned-cola,0.7875472477347641
25,ncduy/roberta-imdb-sentiment-analysis,0.7930952563896375
26,isakbos/Q8BERT_COLA_L_512,0.790666443279253
27,connectivity/bert_ft_qqp-7,0.7906664436144104
28,moghis/distilbert-base-uncased-finetuned-emotion,0.785246136970146
29,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.7852461377123098
30,amyma21/sincere_question_classification,0.7852453905302728
31,phailyoor/distilbert-base-uncased-finetuned-yahd,0.7852481986619555
32,arianpasquali/distilbert-base-multilingual-cased-toxicity,0.7940235681865603
33,neibla/distilbert-base-uncased-finetuned-emotion,0.7852461370199397
34,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,0.7930949400293437
35,Anthos23/FS-distilroberta-fine-tuned,0.7874799159719614
36,pietrotrope/emotion_final,0.7852457653629503
37,aviator-neural/bert-base-uncased-sst2,0.7906664411729122
38,Jeevesh8/bert_ft_qqp-40,0.7906664514313433
39,jaesun/distilbert-base-uncased-finetuned-cola,0.7852453917421944
40,SetFit/distilbert-base-uncased__sst2__train-32-9,0.7852453918105293
