,model,score
0,Jeevesh8/init_bert_ft_qqp-33,0.6971665
1,Jeevesh8/init_bert_ft_qqp-49,0.70593464
2,connectivity/bert_ft_qqp-7,0.70863616
3,Jeevesh8/bert_ft_qqp-40,0.7066508
4,Jeevesh8/bert_ft_qqp-9,0.70704687
5,Jeevesh8/bert_ft_qqp-88,0.7117838
6,connectivity/bert_ft_qqp-25,0.70962614
7,Jeevesh8/bert_ft_qqp-55,0.70962614
8,connectivity/bert_ft_qqp-1,0.70962614
9,Jeevesh8/bert_ft_qqp-39,0.71562815
10,connectivity/bert_ft_qqp-94,0.70584345
11,connectivity/bert_ft_qqp-96,0.69969237
12,Jeevesh8/init_bert_ft_qqp-24,0.7079895
13,Jeevesh8/bert_ft_qqp-68,0.70962614
14,Jeevesh8/init_bert_ft_qqp-28,0.69735134
15,connectivity/bert_ft_qqp-17,0.69735134
16,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.70538193
17,SetFit/distilbert-base-uncased__sst2__train-16-0,0.72054845
18,gchhablani/fnet-base-finetuned-sst2,0.6899433
19,aviator-neural/bert-base-uncased-sst2,0.70444113
20,SetFit/distilbert-base-uncased__sst2__train-32-9,0.7121358
21,Alassea/glue_sst_classifier,0.7175057
22,philschmid/tiny-distilbert-classification,0.46645766
23,moshew/bert-mini-sst2-distilled,0.7075136
24,ChrisUPM/BioBERT_Re_trained,0.6926814
25,vaariis/distilbert-base-uncased-finetuned-emotion,0.72406656
26,marcelcastrobr/sagemaker-distilbert-emotion,0.71307117
27,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.7237819
28,abdelkader/distilbert-base-uncased-finetuned-emotion,0.7213806
29,moghis/distilbert-base-uncased-finetuned-emotion,0.72309744
30,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.7236847
31,neibla/distilbert-base-uncased-finetuned-emotion,0.718498
32,JB173/distilbert-base-uncased-finetuned-emotion,0.72133243
33,Nanatan/distilbert-base-uncased-finetuned-emotion,0.7187448
34,heranm/finetuning-sentiment-model-3000-samples,0.7294998
35,PrasunMishra/finetuning-sentiment-model-3000-samples,0.7173277
36,yukta10/finetuning-sentiment-model-3000-samples,0.7212965
37,ncduy/roberta-imdb-sentiment-analysis,0.7416572
38,markt23917/finetuning-sentiment-model-3000-samples,0.7061225
39,juliensimon/autonlp-imdb-demo-hf-16622767,0.71769357
40,fabriceyhc/bert-base-uncased-imdb,0.69707084
41,XSY/albert-base-v2-imdb-calssification,0.7099064
42,riyadhctg/distilbert-base-uncased-finetuned-cola,0.6971912
43,connectivity/cola_6ep_ft-33,0.70952284
44,connectivity/cola_6ep_ft-22,0.72346747
45,gchhablani/fnet-base-finetuned-cola,0.68287045
46,isakbos/Q8BERT_COLA_L_512,0.6635511
47,jaesun/distilbert-base-uncased-finetuned-cola,0.6823965
48,usami/distilbert-base-uncased-finetuned-cola,0.6999497
49,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,0.7133922
50,Jeevesh8/6ep_bert_ft_cola-47,0.70373905
51,connectivity/cola_6ep_ft-10,0.7144607
52,Jeevesh8/6ep_bert_ft_cola-12,0.7023449
53,Jeevesh8/bert_ft_cola-88,0.70602936
54,Jeevesh8/6ep_bert_ft_cola-29,0.7012674
55,vesteinn/XLMR-ENIS-finetuned-cola,0.69038635
56,navsad/navid_test_bert,0.693782
57,Jeevesh8/bert_ft_cola-60,0.70372766
58,dapang/distilroberta-base-mic-sym,0.7406619
59,Capreolus/bert-base-msmarco,0.70954865
60,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.7060533
61,Jeevesh8/feather_berts_46,0.72346544
62,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,0.5858543
63,cambridgeltl/guardian_news_distilbert-base-uncased,0.712992
64,amyma21/sincere_question_classification,0.71911144
65,phailyoor/distilbert-base-uncased-finetuned-yahd,0.7019739
66,arianpasquali/distilbert-base-multilingual-cased-toxicity,0.6648605
67,connectivity/feather_berts_28,0.72028285
68,warwickai/fin-perceiver,0.69240963
69,liangyuant/distilbert-base-uncased-finetuned-num200-450-405cls,0.71892196
70,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,0.705483
71,Jeevesh8/lecun_feather_berts-3,0.72114664
72,Giyaseddin/distilroberta-base-finetuned-short-answer-assessment,0.7405996
73,AnonymousSub/dummy_2,0.6821587
74,Jeevesh8/lecun_feather_berts-51,0.70467865
75,viviastaari/finetuning-sentiment-analysis-en-id,0.6550695
76,Aureliano/distilbert-base-uncased-if,0.71199
77,rmihaylov/roberta-base-sentiment-bg,0.6371812
78,cardiffnlp/twitter-roberta-base-2021-124m,0.7003345
79,Jeevesh8/lecun_feather_berts-8,0.7286285
80,korca/bae-roberta-base-boolq,0.7307449
81,aditeyabaral/finetuned-sail2017-xlm-roberta-base,0.70454586
82,joebobby/finetuning-sentiment-model-5000-samples3,0.73196507
83,YeRyeongLee/electra-base-discriminator-finetuned-filtered-0602,0.5167937
84,Jeevesh8/feather_berts_92,0.7382618
85,ASCCCCCCCC/distilbert-base-chinese-amazon_zh_20000,0.66153944
86,matthewburke/korean_sentiment,0.6771838
87,IMSyPP/hate_speech_nl,0.6376375
88,cointegrated/roberta-base-formality,0.7355053
89,chiragasarpota/scotus-bert,0.5553257
90,IMSyPP/hate_speech_it,0.67263144
91,18811449050/bert_finetuning_test,0.69108516
92,finiteautomata/betonews-tweetcontext,0.66047096
93,Jeevesh8/feather_berts_96,0.706142
94,Jeevesh8/lecun_feather_berts-7,0.7247799
95,mrm8488/codebert-base-finetuned-detect-insecure-code,0.71155655
96,socialmediaie/TRAC2020_IBEN_B_bert-base-multilingual-uncased,0.68314844
97,zenkri/autotrain-Arabic_Poetry_by_Subject-920730230,0.72428566
98,M47Labs/spanish_news_classification_headlines_untrained,0.6790559
99,bondi/bert-semaphore-prediction-w4,0.6783353
100,classla/bcms-bertic-parlasent-bcs-ter,0.7028731
101,anferico/bert-for-patents,0.69392025
102,waboucay/camembert-base-finetuned-xnli_fr-finetuned-nli-rua_wl,0.6169148
103,ali2066/DistilBERTFINAL_ctxSentence_TRAIN_editorials_TEST_NULL_second_train_set_null_False,0.76433074
104,anvay/finetuning-cardiffnlp-sentiment-model,0.75057214
105,JonatanGk/roberta-base-ca-finetuned-hate-speech-offensive-catalan,0.6889456
106,Raychanan/COVID_RandomOver,0.49296328
107,Monsia/camembert-fr-covid-tweet-classification,0.71213734
108,CAMeL-Lab/bert-base-arabic-camelbert-mix-did-nadi,0.66470134
109,kyleinincubated/autonlp-cat333-624217911,0.6761688
110,CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,0.6379383
111,cardiffnlp/bertweet-base-stance-climate,0.707352
112,fgaim/tiroberta-geezswitch,0.67598444
113,nurkayevaa/autonlp-bert-covid-407910458,0.72339755
114,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,0.7128847
115,crcb/isear_bert,0.7376902
116,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,0.6940072
117,milyiyo/selectra-small-finetuned-amazon-review,0.61473984
118,Anthos23/FS-distilroberta-fine-tuned,0.7452077
119,oferweintraub/bert-base-finance-sentiment-noisy-search,0.7201105
120,pietrotrope/emotion_final,0.71919394
121,aXhyra/emotion_trained_31415,0.7172571
122,aXhyra/presentation_emotion_31415,0.71900356
123,Recognai/bert-base-spanish-wwm-cased-xnli,0.6840176
124,JNK789/distilbert-base-uncased-finetuned-tweets-emoji-dataset,0.48483047
125,anirudh21/bert-base-uncased-finetuned-qnli,0.71469796
126,Alireza1044/albert-base-v2-qnli,0.685696
127,aXhyra/demo_sentiment_31415,0.7116198
128,aXhyra/presentation_sentiment_1234567,0.71465695
129,jb2k/bert-base-multilingual-cased-language-detection,0.68810344
130,vinai/bertweet-base,0.6859115
131,justinqbui/bertweet-covid19-base-uncased-pretraining-covid-vaccine-tweets,0.67535037
132,vinai/bertweet-covid19-base-cased,0.66479003
133,vinai/bertweet-covid19-base-uncased,0.68787676
134,distilbert-base-uncased,0.72606754
135,bert-base-uncased,0.7445208
136,roberta-base,0.73051006
137,albert-base-v2,0.7229954
138,bert-base-cased,0.7191773
139,dhimskyy/wiki-bert,0.65572923
140,michiyasunaga/LinkBERT-base,0.7046224
141,roberta-large,0.54666483
142,bert-large-uncased,0.7344501
143,boychaboy/MNLI_roberta-base,0.7422975
144,ishan/bert-base-uncased-mnli,0.70677036
145,emrecan/bert-base-multilingual-cased-snli_tr,0.6953762
146,elozano/tweet_offensive_eval,0.58965313
147,Hate-speech-CNERG/bert-base-uncased-hatexplain-rationale-two,0.7153526
148,aychang/bert-base-cased-trec-coarse,0.7094678
149,gchhablani/bert-base-cased-finetuned-wnli,0.7122305
150,nickmuchi/facebook-data2vec-finetuned-finance-classification,0.6797888
151,w11wo/sundanese-bert-base-emotion-classifier,0.671656
152,gchhablani/bert-base-cased-finetuned-rte,0.7197101
153,mrm8488/electricidad-base-finetuned-pawsx-es,0.69114405
154,manueltonneau/bert-twitter-en-is-hired,0.7213753
155,Guscode/DKbert-hatespeech-detection,0.5847652
