,model,score
0,Guscode/DKbert-hatespeech-detection,0.33944407
1,milyiyo/selectra-small-finetuned-amazon-review,0.23173971
2,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,0.7111341
3,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,0.8594498
4,vinai/bertweet-covid19-base-cased,0.85897195
5,vinai/bertweet-base,0.81571746
6,vinai/bertweet-covid19-base-uncased,0.874221
7,justinqbui/bertweet-covid19-base-uncased-pretraining-covid-vaccine-tweets,0.86048424
8,jb2k/bert-base-multilingual-cased-language-detection,0.47831792
9,crcb/isear_bert,0.9224609
10,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.8657663
11,marcelcastrobr/sagemaker-distilbert-emotion,0.85081136
12,abdelkader/distilbert-base-uncased-finetuned-emotion,0.8767353
13,moghis/distilbert-base-uncased-finetuned-emotion,0.8716726
14,neibla/distilbert-base-uncased-finetuned-emotion,0.8645436
15,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.8811507
16,JB173/distilbert-base-uncased-finetuned-emotion,0.8876419
17,vaariis/distilbert-base-uncased-finetuned-emotion,0.8675387
18,Nanatan/distilbert-base-uncased-finetuned-emotion,0.83390397
19,riyadhctg/distilbert-base-uncased-finetuned-cola,0.82844776
20,connectivity/cola_6ep_ft-33,0.90333045
21,gchhablani/fnet-base-finetuned-cola,0.72096515
22,connectivity/cola_6ep_ft-22,0.9511368
23,vesteinn/XLMR-ENIS-finetuned-cola,0.8722824
24,Jeevesh8/6ep_bert_ft_cola-47,0.8875226
25,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,0.9139727
26,jaesun/distilbert-base-uncased-finetuned-cola,0.8281528
27,Jeevesh8/6ep_bert_ft_cola-12,0.88095105
28,connectivity/cola_6ep_ft-10,0.8973805
29,Jeevesh8/6ep_bert_ft_cola-29,0.8728594
30,Jeevesh8/bert_ft_cola-60,0.89775735
31,navsad/navid_test_bert,0.8608425
32,Jeevesh8/bert_ft_cola-88,0.87698543
33,usami/distilbert-base-uncased-finetuned-cola,0.8302162
34,isakbos/Q8BERT_COLA_L_512,0.2549372
35,ishan/bert-base-uncased-mnli,0.886646
36,boychaboy/MNLI_roberta-base,0.91323084
37,anirudh21/bert-base-uncased-finetuned-qnli,0.90241593
38,Alireza1044/albert-base-v2-qnli,0.81076664
39,Jeevesh8/init_bert_ft_qqp-33,0.8465035
40,Jeevesh8/init_bert_ft_qqp-49,0.8493078
41,connectivity/bert_ft_qqp-7,0.8915719
42,Jeevesh8/bert_ft_qqp-88,0.8954819
43,Jeevesh8/bert_ft_qqp-9,0.8905149
44,connectivity/bert_ft_qqp-17,0.8885218
45,Jeevesh8/init_bert_ft_qqp-28,0.8983554
46,Jeevesh8/bert_ft_qqp-55,0.91074294
47,Jeevesh8/bert_ft_qqp-40,0.8600129
48,Jeevesh8/bert_ft_qqp-39,0.89691585
49,connectivity/bert_ft_qqp-1,0.88799703
50,connectivity/bert_ft_qqp-94,0.8691482
51,connectivity/bert_ft_qqp-96,0.87324446
52,connectivity/bert_ft_qqp-25,0.88516617
53,Jeevesh8/bert_ft_qqp-68,0.8729397
54,Jeevesh8/init_bert_ft_qqp-24,0.9022963
