,model,score
0,Jeevesh8/init_bert_ft_qqp-33,0.7813619
1,Jeevesh8/init_bert_ft_qqp-49,0.78126377
2,connectivity/bert_ft_qqp-7,0.78510076
3,Jeevesh8/bert_ft_qqp-40,0.7734513
4,Jeevesh8/bert_ft_qqp-9,0.78126377
5,Jeevesh8/bert_ft_qqp-88,0.78510076
6,connectivity/bert_ft_qqp-25,0.7853443
7,Jeevesh8/bert_ft_qqp-55,0.78510076
8,connectivity/bert_ft_qqp-1,0.78510076
9,Jeevesh8/bert_ft_qqp-39,0.7913436
10,connectivity/bert_ft_qqp-94,0.78126377
11,connectivity/bert_ft_qqp-96,0.76703656
12,Jeevesh8/init_bert_ft_qqp-24,0.78126377
13,Jeevesh8/bert_ft_qqp-68,0.7853443
14,Jeevesh8/init_bert_ft_qqp-28,0.76562566
15,connectivity/bert_ft_qqp-17,0.76562566
16,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.785451
17,SetFit/distilbert-base-uncased__sst2__train-16-0,0.79304194
18,gchhablani/fnet-base-finetuned-sst2,0.74518543
19,aviator-neural/bert-base-uncased-sst2,0.7719586
20,SetFit/distilbert-base-uncased__sst2__train-32-9,0.7758019
21,Alassea/glue_sst_classifier,0.7894322
22,philschmid/tiny-distilbert-classification,0.66896325
23,moshew/bert-mini-sst2-distilled,0.7546033
24,ChrisUPM/BioBERT_Re_trained,0.74975
25,vaariis/distilbert-base-uncased-finetuned-emotion,0.79592776
26,marcelcastrobr/sagemaker-distilbert-emotion,0.7936388
27,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.79558444
28,abdelkader/distilbert-base-uncased-finetuned-emotion,0.7934753
29,moghis/distilbert-base-uncased-finetuned-emotion,0.7955137
30,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.7939677
31,neibla/distilbert-base-uncased-finetuned-emotion,0.79503196
32,JB173/distilbert-base-uncased-finetuned-emotion,0.7968197
33,Nanatan/distilbert-base-uncased-finetuned-emotion,0.7955183
34,heranm/finetuning-sentiment-model-3000-samples,0.7958915
35,PrasunMishra/finetuning-sentiment-model-3000-samples,0.7908245
36,yukta10/finetuning-sentiment-model-3000-samples,0.7936864
37,ncduy/roberta-imdb-sentiment-analysis,0.8069337
38,markt23917/finetuning-sentiment-model-3000-samples,0.776251
39,juliensimon/autonlp-imdb-demo-hf-16622767,0.7903583
40,fabriceyhc/bert-base-uncased-imdb,0.7916161
