,rotten_tomatoes,tweet_eval/irony,tweet_eval/sentiment,tweet_eval/offensive,glue/cola,glue/sst2,tweet_eval/hate,tweet_eval/emotion,average
LogME,0.5125456933511072,0.7110453118171806,0.42864347693042004,0.7456173178208247,0.6776053781340375,0.6079620715133118,0.5413819772945017,0.477844584025234,0.5907390898445367
lr_node2vec_all_normalize_without_transfer,0.65603414919857,0.5758068112864819,0.5883315174472642,0.44167274206502394,0.31398971123858654,0.7485747869224111,0.7537189411258111,0.57503149106199,0.5867988461406494
lr_node2vec+_all_normalize_without_transfer,0.65603414919857,0.5758068112864819,0.5883315174472642,0.44167274206502394,0.31398971123858654,0.7485747869224111,0.7537189411258111,0.57503149106199,0.5867988461406494
Reg-H-Score,0.5551414780264761,0.5699448049056951,0.43143833151437794,0.7506874933266083,0.6839242541946653,0.6197110268949733,0.5307074863813054,0.5321394870420524,0.5796628799552243
rf_homoGATConv_all_normalize_without_transfer,0.678527077734191,0.6644566930153037,0.3060273457684214,0.4465003228159633,0.20134335437555237,0.7276323265006179,0.5227077939254605,0.49249267437993927,0.5384687751408594
xgb_homoGATConv_all_normalize_without_transfer,0.4215197332378954,0.5193107592804903,0.6119099922932776,0.5431712573857608,0.252642947492308,0.7289548382878557,0.5541993659135271,0.6100163025894949,0.5274043575837566
xgb_node2vec+_all_normalize_without_transfer,0.677189280438014,0.3955440354586074,0.504834509033169,0.4324014658273815,0.23557527403926581,0.5959813459124519,0.6786162728030158,0.6454314548098152,0.5250715879870519
xgb_node2vec_all_normalize_without_transfer,0.2931936912040568,0.4609563066294943,0.49523617876260895,0.4010285910310504,0.23569642233195356,0.7442948813129565,0.6214431493601877,0.5732309520583974,0.4783440407993511
xgb_homo_SAGEConv_all_normalize_without_transfer,0.2745275012975356,0.29885766715533957,0.504893042800318,0.4473066634154823,0.26443631294876,0.6995573564935686,0.5360596200608231,0.6314179597083018,0.4465953740164566
rf_node2vec+_all_normalize_without_transfer,0.5164479618501554,0.40166448130397275,0.2307623673742858,0.3957239597693304,0.15258546984845894,0.7430752752354239,0.49282944239510634,0.4984735993318434,0.4465261366598327
rf_node2vec_all_normalize_without_transfer,0.38089844731165934,0.21217359245832226,0.2885128883781144,0.521498884020706,0.25225137210597554,0.6577195465712907,0.4347570695381936,0.5670102798481447,0.40789303323416054
rf_homo_SAGEConv_all_normalize_without_transfer,0.26374766978774455,0.2836976324730619,0.600490324364977,0.5999634540305583,0.24283172880896528,0.4339682845242749,0.4657045803078277,0.554911706248032,0.4031571269948961
lr_homoGATConv_all_normalize_without_transfer,0.47490377518509386,0.3119009866104072,0.4493716064118267,0.2684404250142964,-0.030643827819167337,0.7085541233615382,0.32574770154493615,0.4187500526304512,0.37231691561641544
lr_homo_SAGEConv_all_normalize_without_transfer,0.19419123398046428,-0.04753457824280338,0.45704518633296604,0.46244882999677606,-0.16503919321069388,0.4878972761570194,0.4248760497144961,-0.039590070346085734,0.15332944416419989
