,rotten_tomatoes,tweet_eval/irony,tweet_eval/sentiment,tweet_eval/offensive,glue/cola,glue/sst2,tweet_eval/hate,tweet_eval/emotion,average
lr_node2vec+_all_normalize_without_transfer,1.0,0.9986595174262735,1.0,0.9962085308056873,0.9853768278965129,1.0,1.0,1.0,0.9977833064139154
lr_node2vec_all_normalize_without_transfer,1.0,0.9986595174262735,1.0,0.9962085308056873,0.9853768278965129,1.0,1.0,1.0,0.9977833064139154
xgb_node2vec+_all_normalize_without_transfer,0.9958289885297185,0.9986595174262735,0.9933510638297872,0.9867298578199053,0.9853768278965129,1.0,1.0,1.0,0.9960398289680649
xgb_homo_SAGEConv_all_normalize_without_transfer,1.0,1.0,1.0,0.9867298578199053,0.9853768278965129,0.9842995169082127,1.0,1.0,0.9959715597687679
xgb_homoGATConv_all_normalize_without_transfer,0.9864442127215851,0.9986595174262735,0.9933510638297872,0.9962085308056873,0.9853768278965129,1.0,0.9888613861386139,1.0,0.9942246417858128
rf_node2vec_all_normalize_without_transfer,1.0,1.0,0.9933510638297872,0.9819905213270143,0.9775028121484814,1.0,0.9789603960396039,1.0,0.9938262583540516
xgb_node2vec_all_normalize_without_transfer,0.9947862356621482,0.9986595174262735,0.9933510638297872,0.9867298578199053,0.9775028121484814,0.9770531400966185,1.0,1.0,0.992784127337865
Reg-H-Score,1.0,0.9986595174262735,0.9833776595744681,0.9971563981042655,0.9741282339707537,0.9903381642512079,0.9888613861386139,0.9583333333333333,0.9853835940264145
LogME,0.9958289885297185,0.9986595174262735,0.9833776595744681,0.9971563981042655,0.9741282339707537,0.9903381642512079,0.9888613861386139,0.9583333333333333,0.9847606498322665
rf_homo_SAGEConv_all_normalize_without_transfer,0.9958289885297185,1.0,0.9820478723404256,0.9933649289099525,0.9853768278965129,0.9734299516908212,0.9764851485148515,0.9519230769230769,0.9820388648088559
rf_homoGATConv_all_normalize_without_transfer,1.0,0.8941018766756031,0.9767287234042554,0.9971563981042655,0.9853768278965129,1.0,0.9888613861386139,0.9839743589743589,0.9692873340869446
rf_node2vec+_all_normalize_without_transfer,1.0,0.8847184986595175,0.9933510638297872,1.0,0.9775028121484814,1.0,0.9814356435643564,0.9839743589743589,0.9671440476296109
lr_homo_SAGEConv_all_normalize_without_transfer,0.9791449426485923,0.8927613941018767,0.9847074468085107,0.990521327014218,0.9820022497187851,0.996376811594203,0.9876237623762376,0.9551282051282051,0.9597449814567856
lr_homoGATConv_all_normalize_without_transfer,0.9812304483837332,0.8565683646112601,1.0,0.9867298578199053,0.9752530933633295,0.996376811594203,0.9579207920792079,0.9519230769230769,0.9490614234433252
