,rotten_tomatoes,tweet_eval/irony,tweet_eval/sentiment,tweet_eval/offensive,glue/cola,glue/sst2,tweet_eval/hate,tweet_eval/emotion,average
xgb_homo_SAGEConv_all_normalize_without_transfer,0.9366462086715514,0.990281740370899,0.9050434782608712,0.5365028490028503,0.3836162361623621,0.9082536924413577,0.8059440559440565,0.8555377207062594,0.8279950672732485
xgb_node2vec+_all_normalize_without_transfer,0.8352801425460316,0.990281740370899,0.5387826086956529,0.5365028490028503,0.3836162361623621,1.0,0.741258741258742,0.8555377207062594,0.7887296888018941
xgb_node2vec_all_normalize_without_transfer,0.9366462086715514,0.990281740370899,0.7558260869565221,0.5365028490028503,0.3836162361623621,0.9311902693310182,0.8921911421911425,0.5377207062600328,0.767805497966426
rf_homo_SAGEConv_all_normalize_without_transfer,0.8352801425460316,0.893099144079886,0.7558260869565221,0.5365028490028503,0.6575645756457572,0.5183318853171189,1.0,0.6821829855537721,0.7578792194888379
xgb_homoGATConv_all_normalize_without_transfer,0.9366462086715514,0.990281740370899,0.5930434782608702,0.5365028490028503,0.3836162361623621,0.8623805386620343,0.8059440559440565,0.5377207062600328,0.740626913742357
LogME,0.9493169669372401,0.990281740370899,0.6608695652173934,0.5608974358974343,0.6061992619926199,0.4036490008688094,0.8059440559440565,0.4221508828250404,0.7063036697950499
lr_homoGATConv_all_normalize_without_transfer,0.0,0.941690442225393,0.8643478260869567,0.4633190883190876,0.0,0.9311902693310182,0.6765734265734274,0.6821829855537721,0.5838716721882931
rf_node2vec+_all_normalize_without_transfer,0.9493169669372401,0.16422967189728932,0.5659130434782615,0.5365028490028503,0.7774169741697423,0.8165073848827131,0.13752913752913992,0.6821829855537721,0.5648203088439203
Reg-H-Score,0.9493169669372401,0.2225392296718973,0.6608695652173934,0.9268162393162408,0.6061992619926199,0.4036490008688094,0.8059440559440565,0.4221508828250404,0.5619351180023806
lr_node2vec_all_normalize_without_transfer,0.6959018016234408,0.2322574893009983,0.5930434782608702,0.5365028490028503,0.0,0.8623805386620343,0.8059440559440565,0.7688603531300164,0.5392396547774203
rf_homoGATConv_all_normalize_without_transfer,0.5945357354979212,0.0,0.49808695652174145,0.5365028490028503,0.6233210332103323,0.6100781928757613,0.5687645687645699,0.8555377207062594,0.5054313326030319
rf_node2vec_all_normalize_without_transfer,0.9493169669372401,0.0,0.3488695652173923,0.5608974358974343,0.6233210332103323,0.7247610773240708,0.5040792540792555,0.5377207062600328,0.4950048360960864
lr_node2vec+_all_normalize_without_transfer,0.9493169669372401,0.6404243937232531,0.49808695652174145,0.5365028490028503,0.29800738007379995,0.0,0.26689976689976896,0.19101123595505676,0.4468975262535511
lr_homo_SAGEConv_all_normalize_without_transfer,0.4931696693724015,0.0,0.0,0.4633190883190876,0.0,0.4953953084274517,0.0,0.0,0.15292778180781413
