,rotten_tomatoes,tweet_eval/irony,tweet_eval/sentiment,tweet_eval/offensive,glue/cola,glue/sst2,tweet_eval/hate,tweet_eval/emotion,average
xgb_node2vec+_all_normalize_without_transfer,0.5350685288715267,0.505444491451337,0.522754291587704,0.566823214500037,0.549821705818398,0.5807332082252208,0.5533100684478233,0.5434509159724035,0.5388810604698502
LogME,0.6148438219293236,0.4985328325605145,0.4417962945372754,0.6239515488631527,0.6343170730435546,0.43793186949922136,0.49875899013893615,0.5453368069474378,0.5372853205561403
Reg-H-Score,0.628304665422947,0.4377015966379766,0.4476783039790771,0.6363727569750672,0.6350392556694106,0.4384876206026468,0.489278546112655,0.5459654372724493,0.5260801240022451
xgb_homoGATConv_all_normalize_without_transfer,0.6098949824096093,0.5003381980188942,0.40618689285821147,0.5661523786123024,0.6042261302995529,0.5207148479493128,0.49062466352554807,0.4639291798584543,0.519726091596363
xgb_node2vec_all_normalize_without_transfer,0.5138874957271489,0.4037114146049768,0.5068372085082266,0.5662423797858481,0.4790478084845061,0.5820299011941448,0.4606343111706017,0.5106049814905549,0.48891983293988844
lr_node2vec+_all_normalize_without_transfer,0.5392255540680868,0.44024105223706755,0.5244376682646827,0.558446308356729,0.4183844679125988,0.4984858256249024,0.48903366340061727,0.49096028383394685,0.48552432795140393
xgb_homo_SAGEConv_all_normalize_without_transfer,0.47231724376154743,0.4330815628840308,0.5201731429802212,0.542516429749066,0.5678762714647989,0.39234224402584295,0.4823401453580068,0.4240111542202269,0.4663059320524062
lr_node2vec_all_normalize_without_transfer,0.5526863975617101,0.40512546509396097,0.4824253000345933,0.5099971159252452,0.36301713326363577,0.4738486592153476,0.48736311326943993,0.42668283310152555,0.45264616691031584
rf_homo_SAGEConv_all_normalize_without_transfer,0.4404869440663393,0.4193739889469278,0.45112860902329716,0.5218547968930536,0.3305313502259409,0.4058693104374835,0.42414673529270275,0.45035935221466256,0.42587442786848484
rf_node2vec_all_normalize_without_transfer,0.5663451946361221,0.3583972129255187,0.47770341030624613,0.5341508380812545,0.31872326554446534,0.3247289677890947,0.42288132451290006,0.4167819054825951,0.41755303592789206
rf_homoGATConv_all_normalize_without_transfer,0.43133570164060825,0.4517728910505411,0.43739034445134833,0.4644606194395116,0.33402396370260257,0.3803380418996782,0.4898365186112788,0.30852570970638715,0.4050453253721597
rf_node2vec+_all_normalize_without_transfer,0.4208493127565171,0.34732682307878177,0.4878307185051535,0.53222240484059,0.3042796130273446,0.4460623813098346,0.42708100654461856,0.3716776796630232,0.3967922893636385
lr_homoGATConv_all_normalize_without_transfer,0.42757973450332876,0.2850882902513059,0.4749691800756695,0.4839583429003948,0.08160663672173245,0.4071615922421165,0.32484245050775445,0.3220158839871181,0.33182477734606936
lr_homo_SAGEConv_all_normalize_without_transfer,0.43213266686146606,0.21949205923454082,0.22877383450889988,0.5208821767798957,0.02623930207276943,0.36585265908925396,0.4590433110456709,0.16957303017184017,0.27557104325647624
