,rotten_tomatoes,tweet_eval/irony,tweet_eval/sentiment,tweet_eval/offensive,glue/cola,glue/sst2,tweet_eval/hate,tweet_eval/emotion,average
xgb_node2vec+_all_normalize_without_transfer,0.8958724202626641,0.7853403141361257,0.7485,0.7862537764350453,0.8331735378715245,0.9495412844036696,0.799,0.8315508021390374,0.8304295949990983
xgb_homoGATConv_all_normalize_without_transfer,0.8958724202626641,0.7853403141361257,0.7385,0.790785498489426,0.8398849472674976,0.944954128440367,0.8,0.8315508021390374,0.8303712293081754
xgb_node2vec_all_normalize_without_transfer,0.8949343339587242,0.7853403141361257,0.747,0.7862537764350453,0.8331735378715245,0.9472477064220184,0.78,0.8342245989304813,0.8286800406552659
xgb_homo_SAGEConv_all_normalize_without_transfer,0.8893058161350844,0.7853403141361257,0.752,0.7938066465256798,0.8398849472674976,0.9311926605504588,0.777,0.8315508021390374,0.8270923094348218
lr_node2vec+_all_normalize_without_transfer,0.8771106941838649,0.7801047120418848,0.747,0.7824773413897281,0.8398849472674976,0.9495412844036696,0.8,0.8315508021390374,0.8270074055792026
rf_homoGATConv_all_normalize_without_transfer,0.8827392120075047,0.7801047120418848,0.7335,0.7945619335347432,0.8398849472674976,0.93348623853211,0.793,0.820855614973262,0.8233583890684084
rf_homo_SAGEConv_all_normalize_without_transfer,0.8864915572232646,0.7853403141361257,0.7335,0.7847432024169184,0.8274209012464045,0.9346330275229358,0.788,0.8181818181818182,0.8222180398721806
LogME,0.8977485928705441,0.7853403141361257,0.7395,0.7945619335347432,0.8331735378715245,0.9197247706422018,0.8,0.786096256684492,0.8192844049361842
Reg-H-Score,0.8977485928705441,0.7801047120418848,0.7395,0.7945619335347432,0.8331735378715245,0.9197247706422018,0.799,0.786096256684492,0.8180073898582042
lr_node2vec_all_normalize_without_transfer,0.899624765478424,0.7235602094240837,0.752,0.7945619335347432,0.8398849472674976,0.9311926605504588,0.8,0.8048128342245989,0.8118784060769686
rf_node2vec+_all_normalize_without_transfer,0.8977485928705441,0.6984293193717277,0.742,0.7862537764350453,0.8331735378715245,0.9472477064220184,0.78,0.8342245989304813,0.8090673258792082
rf_node2vec_all_normalize_without_transfer,0.899624765478424,0.6973821989528796,0.7485,0.7862537764350453,0.8398849472674976,0.9323394495412844,0.796,0.7994652406417112,0.8039375198113642
lr_homoGATConv_all_normalize_without_transfer,0.8789868667917449,0.6575916230366492,0.741,0.7847432024169184,0.8293384467881112,0.9461009174311926,0.779,0.820855614973262,0.7937980827505942
lr_homo_SAGEConv_all_normalize_without_transfer,0.8639774859287055,0.6848167539267016,0.7255,0.7862537764350453,0.8293384467881112,0.9461009174311926,0.798,0.7112299465240641,0.7782021815191562
random,0.8267361156666974,0.6729340129621515,0.7151160714285714,0.766047112395464,0.7956781473559996,0.9002216092239029,0.7617654867256637,0.7423522768791312,0.7620240389492918
