,rotten_tomatoes,tweet_eval/irony,tweet_eval/sentiment,tweet_eval/offensive,glue/cola,glue/sst2,tweet_eval/hate,tweet_eval/emotion,average
xgb_node2vec+_all_normalize_without_transfer,0.9958289885297185,1.0,0.9953457446808511,0.9819905213270143,0.9718785151856018,0.9975845410628021,0.9888613861386139,0.9967948717948718,0.9929093332743377
xgb_homoGATConv_all_normalize_without_transfer,0.9885297184567258,1.0,0.9800531914893617,0.9924170616113744,0.9853768278965129,0.9951690821256041,0.9851485148514851,0.9967948717948718,0.992220319482734
xgb_node2vec_all_normalize_without_transfer,0.9947862356621482,1.0,0.9933510638297872,0.9819905213270143,0.9775028121484814,0.9975845410628021,0.9653465346534653,0.9967948717948718,0.9909745919033905
xgb_homo_SAGEConv_all_normalize_without_transfer,0.9864442127215851,1.0,1.0,0.9867298578199053,0.9853768278965129,0.9806763285024157,0.9616336633663366,0.9967948717948718,0.989427297132454
rf_homoGATConv_all_normalize_without_transfer,0.9812304483837332,0.9933333333333333,0.9680851063829787,0.9962085308056873,0.9853768278965129,0.9830917874396136,0.9814356435643564,0.9839743589743589,0.9850555427081943
rf_homo_SAGEConv_all_normalize_without_transfer,0.9854014598540147,1.0,0.9753989361702128,0.9848341232227488,0.9673790776152981,0.9842995169082127,0.9752475247524752,0.9807692307692308,0.9839883117019999
lr_node2vec+_all_normalize_without_transfer,0.9739311783107404,0.9933333333333333,0.9867021276595744,0.9800947867298578,0.9775028121484814,0.9927536231884059,0.9789603960396039,0.9743589743589743,0.9825439641195209
LogME,0.9958289885297185,1.0,0.9833776595744681,0.9971563981042655,0.9775028121484814,0.9685990338164252,0.9888613861386139,0.9423076923076923,0.9807322728070506
rf_node2vec+_all_normalize_without_transfer,0.9979144942648593,0.8893333333333332,0.9867021276595744,0.9867298578199053,0.9775028121484814,0.9975845410628021,0.9529702970297029,1.0,0.9652020633509195
lr_homo_SAGEConv_all_normalize_without_transfer,0.9697601668404588,0.9119999999999999,1.0,0.990521327014218,0.9673790776152981,0.9951690821256041,0.9603960396039604,0.9711538461538461,0.9616484801367615
lr_node2vec_all_normalize_without_transfer,0.9885297184567258,0.8879999999999999,0.9773936170212766,0.9819905213270143,0.9752530933633295,0.996376811594203,0.9851485148514851,0.9647435897435898,0.9588324654554663
Reg-H-Score,0.9958289885297185,0.8879999999999999,0.9833776595744681,0.9971563981042655,0.9775028121484814,0.9685990338164252,0.9888613861386139,0.9423076923076923,0.9550373310801905
rf_node2vec_all_normalize_without_transfer,1.0,0.8493333333333333,0.9813829787234042,0.9924170616113744,0.9752530933633295,0.9975845410628021,0.9876237623762376,0.9487179487179488,0.949980679336177
lr_homoGATConv_all_normalize_without_transfer,0.9770594369134517,0.8373333333333333,0.9773936170212766,0.9800947867298578,0.9730033745781778,0.996376811594203,0.9641089108910891,0.9839743589743589,0.9466661480272025
