,model,score
0,Guscode/DKbert-hatespeech-detection,0.6517965900364695
1,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,0.7569888090094427
2,milyiyo/selectra-small-finetuned-amazon-review,0.5358984668845403
3,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,0.8001457798551236
4,vinai/bertweet-covid19-base-cased,0.7373293639583868
5,justinqbui/bertweet-covid19-base-uncased-pretraining-covid-vaccine-tweets,0.8244435768857591
6,vinai/bertweet-base,0.9106899673315894
7,vinai/bertweet-covid19-base-uncased,0.7994049259877783
8,jb2k/bert-base-multilingual-cased-language-detection,0.7370079883008439
9,crcb/isear_bert,0.8482008981412146
10,vaariis/distilbert-base-uncased-finetuned-emotion,0.8298342832384372
11,marcelcastrobr/sagemaker-distilbert-emotion,0.7953840251295818
12,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.8417010761613288
13,abdelkader/distilbert-base-uncased-finetuned-emotion,0.7696228383133831
14,moghis/distilbert-base-uncased-finetuned-emotion,0.7963646271609064
15,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.7292946760329053
16,neibla/distilbert-base-uncased-finetuned-emotion,0.8163235604438784
17,JB173/distilbert-base-uncased-finetuned-emotion,0.7914620279223352
18,Nanatan/distilbert-base-uncased-finetuned-emotion,0.8073808638446958
19,riyadhctg/distilbert-base-uncased-finetuned-cola,0.767861374458871
20,connectivity/cola_6ep_ft-33,0.8288972527094834
21,connectivity/cola_6ep_ft-22,0.8769700214144713
22,isakbos/Q8BERT_COLA_L_512,0.5619005228228363
23,gchhablani/fnet-base-finetuned-cola,0.7172162528280248
24,vesteinn/XLMR-ENIS-finetuned-cola,0.7714312776701864
25,jaesun/distilbert-base-uncased-finetuned-cola,0.7301278230433759
26,usami/distilbert-base-uncased-finetuned-cola,0.7538431466944646
27,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,0.7927787862888882
28,connectivity/cola_6ep_ft-10,0.8001217859211401
29,Jeevesh8/6ep_bert_ft_cola-12,0.8136931382288
30,Jeevesh8/6ep_bert_ft_cola-47,0.7793981414068345
31,Jeevesh8/6ep_bert_ft_cola-29,0.8096472727755025
32,navsad/navid_test_bert,0.7620548218877907
33,Jeevesh8/bert_ft_cola-60,0.8473514066447013
34,Jeevesh8/bert_ft_cola-88,0.8180832777970842
35,ishan/bert-base-uncased-mnli,0.8416370510698153
36,boychaboy/MNLI_roberta-base,0.9210306244638299
