,model,score
0,Guscode/DKbert-hatespeech-detection,0.684280191878674
1,milyiyo/selectra-small-finetuned-amazon-review,0.7266803671050817
2,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,0.7467236461924817
3,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,0.7750086987982131
4,vinai/bertweet-base,0.7696828829788136
5,justinqbui/bertweet-covid19-base-uncased-pretraining-covid-vaccine-tweets,0.7749989304448309
6,vinai/bertweet-covid19-base-cased,0.7789841884543526
7,vinai/bertweet-covid19-base-uncased,0.7805129280656352
8,jb2k/bert-base-multilingual-cased-language-detection,0.6904725981518516
9,vaariis/distilbert-base-uncased-finetuned-emotion,0.7827748292190962
10,marcelcastrobr/sagemaker-distilbert-emotion,0.7804793868036249
11,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.7795669376995487
12,abdelkader/distilbert-base-uncased-finetuned-emotion,0.7746393651421666
13,moghis/distilbert-base-uncased-finetuned-emotion,0.782962940538728
14,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.7863985939096345
15,neibla/distilbert-base-uncased-finetuned-emotion,0.7788859519509189
16,JB173/distilbert-base-uncased-finetuned-emotion,0.7801877092800262
17,connectivity/cola_6ep_ft-22,0.7766736552757351
18,gchhablani/fnet-base-finetuned-cola,0.740029261545163
19,connectivity/cola_6ep_ft-33,0.7807841779271688
20,jaesun/distilbert-base-uncased-finetuned-cola,0.7737410758226378
21,usami/distilbert-base-uncased-finetuned-cola,0.7779839330095121
22,vesteinn/XLMR-ENIS-finetuned-cola,0.7843351978941839
23,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,0.7860783941899647
24,isakbos/Q8BERT_COLA_L_512,0.7333172285406521
25,Jeevesh8/6ep_bert_ft_cola-47,0.7766945995414667
26,Jeevesh8/6ep_bert_ft_cola-12,0.7817105223622818
27,connectivity/cola_6ep_ft-10,0.7787103769783598
28,Jeevesh8/6ep_bert_ft_cola-29,0.7811305118360906
29,navsad/navid_test_bert,0.7806057068848928
30,Jeevesh8/bert_ft_cola-60,0.7819861318428596
31,Jeevesh8/bert_ft_cola-88,0.7929593236855632
32,ishan/bert-base-uncased-mnli,0.791293589760302
33,boychaboy/MNLI_roberta-base,0.7864579479181403
34,anirudh21/bert-base-uncased-finetuned-qnli,0.7961283840511899
35,Alireza1044/albert-base-v2-qnli,0.7857210505222111
36,Jeevesh8/init_bert_ft_qqp-33,0.7821462910965671
37,Jeevesh8/init_bert_ft_qqp-33,0.7835998309289173
38,Jeevesh8/init_bert_ft_qqp-49,0.7700480836677339
39,Jeevesh8/bert_ft_qqp-40,0.7942379137040925
40,connectivity/bert_ft_qqp-7,0.7843227084778033
41,Jeevesh8/bert_ft_qqp-88,0.7858358026266956
42,connectivity/bert_ft_qqp-25,0.7797791216665518
43,Jeevesh8/bert_ft_qqp-9,0.7786652123580887
44,Jeevesh8/bert_ft_qqp-55,0.7855403945072389
45,Jeevesh8/bert_ft_qqp-68,0.7749686939093665
46,Jeevesh8/init_bert_ft_qqp-28,0.7747224405062488
47,connectivity/bert_ft_qqp-17,0.7791780862475709
48,connectivity/bert_ft_qqp-1,0.7917086492220353
49,Jeevesh8/bert_ft_qqp-39,0.7716725261972169
50,connectivity/bert_ft_qqp-94,0.7732131670314082
51,connectivity/bert_ft_qqp-96,0.7911167756036916
52,philschmid/tiny-distilbert-classification,0.3291967517242799
53,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.7842648912661447
54,SetFit/distilbert-base-uncased__sst2__train-16-0,0.7779138928723
55,gchhablani/fnet-base-finetuned-sst2,0.7650667039391478
56,moshew/bert-mini-sst2-distilled,0.7525373777063051
57,SetFit/distilbert-base-uncased__sst2__train-32-9,0.7899782938260445
58,aviator-neural/bert-base-uncased-sst2,0.7654837873141506
59,Alassea/glue_sst_classifier,0.781049550257469
60,ChrisUPM/BioBERT_Re_trained,0.7653375208960397
61,gchhablani/bert-base-cased-finetuned-wnli,0.7766651506671214
62,Hate-speech-CNERG/bert-base-uncased-hatexplain-rationale-two,0.7801932195177601
63,heranm/finetuning-sentiment-model-3000-samples,0.7886320371116305
64,PrasunMishra/finetuning-sentiment-model-3000-samples,0.7797383735455432
65,yukta10/finetuning-sentiment-model-3000-samples,0.7739130759668265
66,ncduy/roberta-imdb-sentiment-analysis,0.7864508508468068
67,markt23917/finetuning-sentiment-model-3000-samples,0.7728915900357152
68,juliensimon/autonlp-imdb-demo-hf-16622767,0.7858671116748177
69,XSY/albert-base-v2-imdb-calssification,0.7473056871830415
70,fabriceyhc/bert-base-uncased-imdb,0.7758764220867782
71,Anthos23/FS-distilroberta-fine-tuned,0.7747313835810646
72,oferweintraub/bert-base-finance-sentiment-noisy-search,0.7776518575990875
73,emrecan/bert-base-multilingual-cased-snli_tr,0.7512746542546515
74,nurkayevaa/autonlp-bert-covid-407910458,0.7837538908633089
75,w11wo/sundanese-bert-base-emotion-classifier,0.7439831043089897
76,JNK789/distilbert-base-uncased-finetuned-tweets-emoji-dataset,0.37376883301500435
77,pietrotrope/emotion_final,0.782053281662973
78,aXhyra/presentation_emotion_31415,0.7836122785763219
79,aXhyra/emotion_trained_31415,0.7772898319305476
80,elozano/tweet_offensive_eval,0.7150377124232427
81,aXhyra/demo_sentiment_31415,0.7801132074486279
82,aXhyra/presentation_sentiment_1234567,0.7811295890129596
83,nickmuchi/facebook-data2vec-finetuned-finance-classification,0.7589942257406315
84,manueltonneau/bert-twitter-en-is-hired,0.7802077222204923
85,distilbert-base-uncased,0.7783960111893089
86,dhimskyy/wiki-bert,0.7352651178791604
87,albert-base-v2,0.7718017242071702
88,michiyasunaga/LinkBERT-base,0.785029061040295
89,bert-large-uncased,0.7371376819379679
90,roberta-large,0.7376102007705686
91,Recognai/bert-base-spanish-wwm-cased-xnli,0.7243739988686282
92,mrm8488/electricidad-base-finetuned-pawsx-es,0.7483866909988679
93,dapang/distilroberta-base-mic-sym,0.7888298702721201
94,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.7845089056180423
95,amyma21/sincere_question_classification,0.7804557774198961
96,Jeevesh8/feather_berts_46,0.7713845520867217
97,arianpasquali/distilbert-base-multilingual-cased-toxicity,0.7468968125510835
98,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,0.6685636438599633
99,chiragasarpota/scotus-bert,0.656074802235933
100,connectivity/feather_berts_28,0.7776318972255132
101,Giyaseddin/distilroberta-base-finetuned-short-answer-assessment,0.7810254658570642
