,model,score
0,Guscode/DKbert-hatespeech-detection,0.8259159398641007
1,milyiyo/selectra-small-finetuned-amazon-review,0.8380539139471284
2,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,0.8031402351103245
3,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,0.8777885337013341
4,vinai/bertweet-base,0.9000816641659763
5,justinqbui/bertweet-covid19-base-uncased-pretraining-covid-vaccine-tweets,0.9000504510236865
6,vinai/bertweet-covid19-base-cased,0.8998528685187622
7,vinai/bertweet-covid19-base-uncased,0.898441982948539
8,jb2k/bert-base-multilingual-cased-language-detection,0.885213621501305
9,vaariis/distilbert-base-uncased-finetuned-emotion,0.8499940060494031
10,marcelcastrobr/sagemaker-distilbert-emotion,0.848106187500447
11,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.8493279292413747
12,abdelkader/distilbert-base-uncased-finetuned-emotion,0.8500647205299026
13,moghis/distilbert-base-uncased-finetuned-emotion,0.8494813455884436
14,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.8502439523040584
15,neibla/distilbert-base-uncased-finetuned-emotion,0.8492560181650873
16,JB173/distilbert-base-uncased-finetuned-emotion,0.8757569628553751
17,connectivity/cola_6ep_ft-22,0.8803203357311299
18,gchhablani/fnet-base-finetuned-cola,0.9787612507942054
19,connectivity/cola_6ep_ft-33,0.8790965449170954
20,jaesun/distilbert-base-uncased-finetuned-cola,0.9336203441648578
21,usami/distilbert-base-uncased-finetuned-cola,0.9273145644837385
22,vesteinn/XLMR-ENIS-finetuned-cola,0.9253472752042384
23,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,0.8803250934693245
24,isakbos/Q8BERT_COLA_L_512,0.8090002334296387
25,Jeevesh8/6ep_bert_ft_cola-47,0.8799661895340073
26,Jeevesh8/6ep_bert_ft_cola-12,0.879933931770792
27,connectivity/cola_6ep_ft-10,0.8787711222988563
28,Jeevesh8/6ep_bert_ft_cola-29,0.8755434716460148
29,navsad/navid_test_bert,0.9206491231828096
30,Jeevesh8/bert_ft_cola-60,0.8785088083657188
31,Jeevesh8/bert_ft_cola-88,0.8758797609397706
32,ishan/bert-base-uncased-mnli,0.8645494204872852
33,boychaboy/MNLI_roberta-base,0.8850516569079427
34,anirudh21/bert-base-uncased-finetuned-qnli,0.889357671501301
35,Alireza1044/albert-base-v2-qnli,0.8534027392303296
36,Jeevesh8/init_bert_ft_qqp-33,0.8807897402467906
37,Jeevesh8/init_bert_ft_qqp-33,0.8761975224604284
38,Jeevesh8/init_bert_ft_qqp-49,0.8764449829681752
39,Jeevesh8/bert_ft_qqp-40,0.8795107336776298
40,connectivity/bert_ft_qqp-7,0.8760287211409794
41,Jeevesh8/bert_ft_qqp-88,0.87985655088115
42,connectivity/bert_ft_qqp-25,0.8809468746681828
43,Jeevesh8/bert_ft_qqp-9,0.8762696273382741
44,Jeevesh8/bert_ft_qqp-55,0.880883429482217
45,Jeevesh8/bert_ft_qqp-68,0.880872741364359
46,Jeevesh8/init_bert_ft_qqp-28,0.8808797161113111
47,connectivity/bert_ft_qqp-17,0.8798373995738685
48,connectivity/bert_ft_qqp-1,0.8809280260879666
