,model,score
0,Jeevesh8/init_bert_ft_qqp-33,621.40625
1,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,621.40625
2,vaariis/distilbert-base-uncased-finetuned-emotion,621.40625
3,heranm/finetuning-sentiment-model-3000-samples,621.40625
4,marcelcastrobr/sagemaker-distilbert-emotion,621.40625
5,jasonyim2/distilbert-base-uncased-finetuned-emotion,621.40625
6,riyadhctg/distilbert-base-uncased-finetuned-cola,621.40625
7,dapang/distilroberta-base-mic-sym,621.40625
8,PrasunMishra/finetuning-sentiment-model-3000-samples,621.40625
9,nurkayevaa/autonlp-bert-covid-407910458,621.40625
10,SetFit/distilbert-base-uncased__sst2__train-16-0,621.40625
11,abdelkader/distilbert-base-uncased-finetuned-emotion,621.40625
12,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,621.40625
13,gchhablani/fnet-base-finetuned-sst2,621.40625
14,Capreolus/bert-base-msmarco,637.40625
15,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,621.40625
16,crcb/isear_bert,621.40625
17,connectivity/cola_6ep_ft-33,621.40625
18,Jeevesh8/init_bert_ft_qqp-49,629.40625
19,Jeevesh8/feather_berts_46,621.40625
20,yukta10/finetuning-sentiment-model-3000-samples,621.40625
21,connectivity/cola_6ep_ft-22,621.40625
22,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,621.40625
23,cambridgeltl/guardian_news_distilbert-base-uncased,621.40625
24,gchhablani/fnet-base-finetuned-cola,621.40625
25,ncduy/roberta-imdb-sentiment-analysis,621.40625
26,isakbos/Q8BERT_COLA_L_512,621.40625
27,connectivity/bert_ft_qqp-7,621.40625
28,moghis/distilbert-base-uncased-finetuned-emotion,621.40625
29,uygarkurt/distilbert-base-uncased-finetuned-emotion,621.40625
30,amyma21/sincere_question_classification,621.40625
31,phailyoor/distilbert-base-uncased-finetuned-yahd,621.40625
32,arianpasquali/distilbert-base-multilingual-cased-toxicity,621.40625
33,neibla/distilbert-base-uncased-finetuned-emotion,621.40625
34,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,621.40625
35,Anthos23/FS-distilroberta-fine-tuned,621.40625
36,pietrotrope/emotion_final,621.40625
37,aviator-neural/bert-base-uncased-sst2,621.40625
38,Jeevesh8/bert_ft_qqp-40,621.40625
39,jaesun/distilbert-base-uncased-finetuned-cola,621.40625
40,SetFit/distilbert-base-uncased__sst2__train-32-9,621.40625
