,model,score
0,Jeevesh8/init_bert_ft_qqp-33,0.7791070856195278
1,Jeevesh8/init_bert_ft_qqp-33,0.7791071916924496
2,Jeevesh8/init_bert_ft_qqp-33,0.7791070056334259
3,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.789859699778045
4,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.7898596863193943
5,vaariis/distilbert-base-uncased-finetuned-emotion,0.7898595293083622
6,vaariis/distilbert-base-uncased-finetuned-emotion,0.7898594917604459
7,heranm/finetuning-sentiment-model-3000-samples,0.7898597105129097
8,heranm/finetuning-sentiment-model-3000-samples,0.7898596655033924
9,marcelcastrobr/sagemaker-distilbert-emotion,0.7898595375102134
10,marcelcastrobr/sagemaker-distilbert-emotion,0.7898594858065463
11,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.7898595408860483
12,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.7898594852526651
13,riyadhctg/distilbert-base-uncased-finetuned-cola,0.7898596999033061
14,riyadhctg/distilbert-base-uncased-finetuned-cola,0.789859659134785
15,dapang/distilroberta-base-mic-sym,0.7859354349690585
16,dapang/distilroberta-base-mic-sym,0.78593538127404
17,PrasunMishra/finetuning-sentiment-model-3000-samples,0.7898597165671691
18,PrasunMishra/finetuning-sentiment-model-3000-samples,0.7898596632982238
19,nurkayevaa/autonlp-bert-covid-407910458,0.7898596990076674
20,nurkayevaa/autonlp-bert-covid-407910458,0.7898596591359727
21,SetFit/distilbert-base-uncased__sst2__train-16-0,0.7898597003337797
22,SetFit/distilbert-base-uncased__sst2__train-16-0,0.7898596665926717
23,abdelkader/distilbert-base-uncased-finetuned-emotion,0.7898595258410273
24,abdelkader/distilbert-base-uncased-finetuned-emotion,0.7898594922056263
25,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,0.7898596599445268
26,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,0.7898596223960195
27,Capreolus/bert-base-msmarco,0.7791070838002436
28,Capreolus/bert-base-msmarco,0.7791070067945747
29,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.7791070497849278
30,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.7791069778157739
31,crcb/isear_bert,0.7796547569671974
32,crcb/isear_bert,0.779654654942264
33,connectivity/cola_6ep_ft-33,0.7791071121516052
34,connectivity/cola_6ep_ft-33,0.7791070147018311
35,Jeevesh8/init_bert_ft_qqp-49,0.7791071859766313
36,Jeevesh8/init_bert_ft_qqp-49,0.779107060099502
37,Jeevesh8/feather_berts_46,0.7791070838242693
38,Jeevesh8/feather_berts_46,0.7791070239209107
39,yukta10/finetuning-sentiment-model-3000-samples,0.7898597004351217
40,yukta10/finetuning-sentiment-model-3000-samples,0.7898596589077989
41,connectivity/cola_6ep_ft-22,0.7791070838826976
42,connectivity/cola_6ep_ft-22,0.779107021910862
43,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,0.7796542688115051
44,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,0.7796541785225487
45,cambridgeltl/guardian_news_distilbert-base-uncased,0.7898595835877165
46,cambridgeltl/guardian_news_distilbert-base-uncased,0.7898595292662177
47,ncduy/roberta-imdb-sentiment-analysis,0.7796544569611087
48,ncduy/roberta-imdb-sentiment-analysis,0.7796543356319844
49,isakbos/Q8BERT_COLA_L_512,0.7791071869805827
50,isakbos/Q8BERT_COLA_L_512,0.7791070061910582
51,connectivity/bert_ft_qqp-7,0.7791071955907445
52,connectivity/bert_ft_qqp-7,0.7791070055664072
53,moghis/distilbert-base-uncased-finetuned-emotion,0.7898595256149628
54,moghis/distilbert-base-uncased-finetuned-emotion,0.7898594917862382
55,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.7898595262271304
56,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.7898594889235149
57,amyma21/sincere_question_classification,0.7898597038773032
58,amyma21/sincere_question_classification,0.7898596594918132
59,phailyoor/distilbert-base-uncased-finetuned-yahd,0.7898590453112703
60,phailyoor/distilbert-base-uncased-finetuned-yahd,0.7898590111556681
61,arianpasquali/distilbert-base-multilingual-cased-toxicity,0.7802915703299056
62,arianpasquali/distilbert-base-multilingual-cased-toxicity,0.780291502613785
63,neibla/distilbert-base-uncased-finetuned-emotion,0.7898595261695648
64,neibla/distilbert-base-uncased-finetuned-emotion,0.7898594902991303
