,model,score
0,Jeevesh8/init_bert_ft_qqp-33,0.83940965
1,Jeevesh8/init_bert_ft_qqp-33,0.8448409
2,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.8361881
3,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.84518653
4,vaariis/distilbert-base-uncased-finetuned-emotion,0.8371008
5,vaariis/distilbert-base-uncased-finetuned-emotion,0.84129167
6,heranm/finetuning-sentiment-model-3000-samples,0.8357114
7,heranm/finetuning-sentiment-model-3000-samples,0.8263735
8,marcelcastrobr/sagemaker-distilbert-emotion,0.82239395
9,marcelcastrobr/sagemaker-distilbert-emotion,0.84211177
10,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.845405
11,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.8255773
12,riyadhctg/distilbert-base-uncased-finetuned-cola,0.81967854
13,riyadhctg/distilbert-base-uncased-finetuned-cola,0.80824375
14,dapang/distilroberta-base-mic-sym,0.8464601
15,dapang/distilroberta-base-mic-sym,0.824606
16,PrasunMishra/finetuning-sentiment-model-3000-samples,0.8561502
17,PrasunMishra/finetuning-sentiment-model-3000-samples,0.8472663
18,nurkayevaa/autonlp-bert-covid-407910458,0.82263315
19,nurkayevaa/autonlp-bert-covid-407910458,0.8059942
20,SetFit/distilbert-base-uncased__sst2__train-16-0,0.82240826
21,SetFit/distilbert-base-uncased__sst2__train-16-0,0.8219139
22,abdelkader/distilbert-base-uncased-finetuned-emotion,0.8293959
23,abdelkader/distilbert-base-uncased-finetuned-emotion,0.80957294
24,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,0.85030776
25,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,0.82010067
26,Capreolus/bert-base-msmarco,0.83066267
27,Capreolus/bert-base-msmarco,0.80898535
28,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.8452006
29,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.83175874
30,crcb/isear_bert,0.8612887
31,crcb/isear_bert,0.8615275
32,connectivity/cola_6ep_ft-33,0.83077693
33,connectivity/cola_6ep_ft-33,0.8112921
34,Jeevesh8/init_bert_ft_qqp-49,0.8244293
35,Jeevesh8/init_bert_ft_qqp-49,0.77541673
36,Jeevesh8/feather_berts_46,0.8618142
37,Jeevesh8/feather_berts_46,0.8357819
38,yukta10/finetuning-sentiment-model-3000-samples,0.843843
39,yukta10/finetuning-sentiment-model-3000-samples,0.8218889
40,connectivity/cola_6ep_ft-22,0.84532297
41,connectivity/cola_6ep_ft-22,0.820578
42,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,0.6530032
43,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,0.6284497
44,cambridgeltl/guardian_news_distilbert-base-uncased,0.80793613
45,cambridgeltl/guardian_news_distilbert-base-uncased,0.7475296
46,ncduy/roberta-imdb-sentiment-analysis,0.8803686
47,ncduy/roberta-imdb-sentiment-analysis,0.8567468
48,isakbos/Q8BERT_COLA_L_512,0.6202314
49,isakbos/Q8BERT_COLA_L_512,0.62665457
50,connectivity/bert_ft_qqp-7,0.7499207
51,connectivity/bert_ft_qqp-7,0.74809676
52,moghis/distilbert-base-uncased-finetuned-emotion,0.8259336
53,moghis/distilbert-base-uncased-finetuned-emotion,0.8004842
54,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.82932633
55,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.7791351
56,amyma21/sincere_question_classification,0.81287694
57,amyma21/sincere_question_classification,0.80612814
58,phailyoor/distilbert-base-uncased-finetuned-yahd,0.8166299
59,phailyoor/distilbert-base-uncased-finetuned-yahd,0.7778953
60,arianpasquali/distilbert-base-multilingual-cased-toxicity,0.76926094
61,arianpasquali/distilbert-base-multilingual-cased-toxicity,0.7294006
62,neibla/distilbert-base-uncased-finetuned-emotion,0.8499017
63,neibla/distilbert-base-uncased-finetuned-emotion,0.7939855
64,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,0.75294256
65,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,0.730891
66,Anthos23/FS-distilroberta-fine-tuned,0.840747
67,Anthos23/FS-distilroberta-fine-tuned,0.84134805
68,pietrotrope/emotion_final,0.8610685
69,pietrotrope/emotion_final,0.8056961
