,model,score
0,Jeevesh8/init_bert_ft_qqp-33,0.7326817297234199
1,Jeevesh8/init_bert_ft_qqp-33,0.7338534293264866
2,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.7224537253093063
3,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.7230964467050858
4,vaariis/distilbert-base-uncased-finetuned-emotion,0.7137245485349271
5,vaariis/distilbert-base-uncased-finetuned-emotion,0.7144269707626602
6,heranm/finetuning-sentiment-model-3000-samples,0.7268562293403984
7,heranm/finetuning-sentiment-model-3000-samples,0.7274447132706819
8,marcelcastrobr/sagemaker-distilbert-emotion,0.7137883409284801
9,marcelcastrobr/sagemaker-distilbert-emotion,0.7144241224265497
10,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.713694520013514
11,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.7145664929971519
12,riyadhctg/distilbert-base-uncased-finetuned-cola,0.7148936570187241
13,riyadhctg/distilbert-base-uncased-finetuned-cola,0.7160628596244323
14,dapang/distilroberta-base-mic-sym,0.7146541124173962
15,dapang/distilroberta-base-mic-sym,0.7157220479122448
16,PrasunMishra/finetuning-sentiment-model-3000-samples,0.727127827874385
17,PrasunMishra/finetuning-sentiment-model-3000-samples,0.7279596899232237
18,nurkayevaa/autonlp-bert-covid-407910458,0.7309070662229297
19,nurkayevaa/autonlp-bert-covid-407910458,0.7320321037855005
20,SetFit/distilbert-base-uncased__sst2__train-16-0,0.7221508013911346
21,SetFit/distilbert-base-uncased__sst2__train-16-0,0.7233499686780946
22,abdelkader/distilbert-base-uncased-finetuned-emotion,0.713549716698135
23,abdelkader/distilbert-base-uncased-finetuned-emotion,0.7145781957956725
24,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,0.7068314172956986
25,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,0.7088371133579596
26,gchhablani/fnet-base-finetuned-sst2,0.7458518486089833
27,Capreolus/bert-base-msmarco,0.7165806779604214
28,Capreolus/bert-base-msmarco,0.7181549305218377
29,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.716145250075885
30,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.7182102320492687
31,crcb/isear_bert,0.7326487114911663
32,crcb/isear_bert,0.7345739601411397
33,connectivity/cola_6ep_ft-33,0.7278640438322576
34,connectivity/cola_6ep_ft-33,0.7297861171152472
35,Jeevesh8/init_bert_ft_qqp-49,0.7327733788280291
36,Jeevesh8/init_bert_ft_qqp-49,0.7341548717672828
37,Jeevesh8/feather_berts_46,0.7147476795544597
38,Jeevesh8/feather_berts_46,0.7181661212230194
39,yukta10/finetuning-sentiment-model-3000-samples,0.7271713510008897
40,yukta10/finetuning-sentiment-model-3000-samples,0.7280248917066405
41,connectivity/cola_6ep_ft-22,0.728238535648942
42,connectivity/cola_6ep_ft-22,0.7297651872685528
43,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,0.7217672160345403
44,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,0.7255405163612326
45,cambridgeltl/guardian_news_distilbert-base-uncased,0.703607838068896
46,cambridgeltl/guardian_news_distilbert-base-uncased,0.7048255115520097
47,gchhablani/fnet-base-finetuned-cola,0.7380293171491141
48,ncduy/roberta-imdb-sentiment-analysis,0.7478780026085806
49,ncduy/roberta-imdb-sentiment-analysis,0.7495819123865641
50,isakbos/Q8BERT_COLA_L_512,0.5828091594463856
51,isakbos/Q8BERT_COLA_L_512,0.5844919337431742
52,connectivity/bert_ft_qqp-7,0.7323430689945822
53,connectivity/bert_ft_qqp-7,0.7329550319394754
54,moghis/distilbert-base-uncased-finetuned-emotion,0.7133656044013761
55,moghis/distilbert-base-uncased-finetuned-emotion,0.7146825751622563
56,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.7138176879465904
57,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.7146207856016237
58,amyma21/sincere_question_classification,0.7038156740059067
59,amyma21/sincere_question_classification,0.7047957231907562
60,phailyoor/distilbert-base-uncased-finetuned-yahd,0.7033276128435921
61,phailyoor/distilbert-base-uncased-finetuned-yahd,0.7046672970899044
62,arianpasquali/distilbert-base-multilingual-cased-toxicity,0.7205579541946187
