,model,score
0,Jeevesh8/init_bert_ft_qqp-33,0.8288262766863292
1,Jeevesh8/init_bert_ft_qqp-49,0.8288262766863292
2,connectivity/bert_ft_qqp-7,0.8288262766863292
3,Jeevesh8/bert_ft_qqp-40,0.8288262766863292
4,Jeevesh8/bert_ft_qqp-9,0.8288262766863292
5,Jeevesh8/bert_ft_qqp-88,0.8288262766863292
6,connectivity/bert_ft_qqp-25,0.8288262766863292
7,Jeevesh8/bert_ft_qqp-55,0.8288262766863292
8,connectivity/bert_ft_qqp-1,0.8288262766863292
9,Jeevesh8/bert_ft_qqp-39,0.8288262766863292
10,connectivity/bert_ft_qqp-94,0.8288262766863292
11,connectivity/bert_ft_qqp-96,0.8288262766863292
12,Jeevesh8/init_bert_ft_qqp-24,0.8288262766863292
13,Jeevesh8/bert_ft_qqp-68,0.8288262766863292
14,Jeevesh8/init_bert_ft_qqp-28,0.8288262766863292
15,connectivity/bert_ft_qqp-17,0.8288262766863292
16,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.8306912785181484
17,SetFit/distilbert-base-uncased__sst2__train-16-0,0.8306912785181484
18,gchhablani/fnet-base-finetuned-sst2,0.8280246949056825
19,aviator-neural/bert-base-uncased-sst2,0.8312558860934791
20,SetFit/distilbert-base-uncased__sst2__train-32-9,0.8306912785181484
21,Alassea/glue_sst_classifier,0.8310798030942209
22,philschmid/tiny-distilbert-classification,0.7980822528801806
23,moshew/bert-mini-sst2-distilled,0.8273608889880103
24,ChrisUPM/BioBERT_Re_trained,0.8242001545761142
25,vaariis/distilbert-base-uncased-finetuned-emotion,0.8306912785181484
26,marcelcastrobr/sagemaker-distilbert-emotion,0.8306912785181484
27,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.8306912785181484
28,abdelkader/distilbert-base-uncased-finetuned-emotion,0.8306912785181484
29,moghis/distilbert-base-uncased-finetuned-emotion,0.8306912785181484
30,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.8306912785181484
31,neibla/distilbert-base-uncased-finetuned-emotion,0.8306912785181484
32,JB173/distilbert-base-uncased-finetuned-emotion,0.8308673615174068
33,Nanatan/distilbert-base-uncased-finetuned-emotion,0.8306912785181484
34,heranm/finetuning-sentiment-model-3000-samples,0.8306912785181484
35,PrasunMishra/finetuning-sentiment-model-3000-samples,0.8308673615174068
36,yukta10/finetuning-sentiment-model-3000-samples,0.8308673615174068
37,ncduy/roberta-imdb-sentiment-analysis,0.8304093340546735
38,markt23917/finetuning-sentiment-model-3000-samples,0.8306912785181484
39,juliensimon/autonlp-imdb-demo-hf-16622767,0.8306912785181484
40,fabriceyhc/bert-base-uncased-imdb,0.8310798030942209
41,XSY/albert-base-v2-imdb-calssification,0.8298368638560379
42,riyadhctg/distilbert-base-uncased-finetuned-cola,0.829321324193424
43,connectivity/cola_6ep_ft-33,0.8298859317687547
44,connectivity/cola_6ep_ft-22,0.8298859317687547
45,gchhablani/fnet-base-finetuned-cola,0.8266547405809581
46,isakbos/Q8BERT_COLA_L_512,0.8296874290949579
47,jaesun/distilbert-base-uncased-finetuned-cola,0.829321324193424
48,usami/distilbert-base-uncased-finetuned-cola,0.829321324193424
49,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,0.8298859317687547
50,Jeevesh8/6ep_bert_ft_cola-47,0.8298859317687547
51,connectivity/cola_6ep_ft-10,0.8298859317687547
52,Jeevesh8/6ep_bert_ft_cola-12,0.8298859317687547
53,Jeevesh8/bert_ft_cola-88,0.8298859317687547
54,Jeevesh8/6ep_bert_ft_cola-29,0.8298859317687547
55,vesteinn/XLMR-ENIS-finetuned-cola,0.8288632967306907
56,navsad/navid_test_bert,0.8297098487694963
57,Jeevesh8/bert_ft_cola-60,0.8298859317687547
58,dapang/distilroberta-base-mic-sym,0.8262965794663273
59,Capreolus/bert-base-msmarco,0.827143131505133
60,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.827143131505133
61,Jeevesh8/feather_berts_46,0.827143131505133
62,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,0.826120496467069
63,cambridgeltl/guardian_news_distilbert-base-uncased,0.8267546069290606
64,amyma21/sincere_question_classification,0.8267546069290606
65,phailyoor/distilbert-base-uncased-finetuned-yahd,0.8265785239298021
66,arianpasquali/distilbert-base-multilingual-cased-toxicity,0.8267546069290606
67,connectivity/feather_berts_28,0.827143131505133
68,warwickai/fin-perceiver,0.8460100101029414
69,liangyuant/distilbert-base-uncased-finetuned-num200-450-405cls,0.8267546069290606
70,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,0.827143131505133
71,Jeevesh8/lecun_feather_berts-3,0.827143131505133
72,Giyaseddin/distilroberta-base-finetuned-short-answer-assessment,0.826120496467069
73,AnonymousSub/dummy_2,0.827143131505133
74,Jeevesh8/lecun_feather_berts-51,0.827143131505133
75,viviastaari/finetuning-sentiment-analysis-en-id,0.8265785239298021
76,Aureliano/distilbert-base-uncased-if,0.8267546069290606
77,rmihaylov/roberta-base-sentiment-bg,0.8262965794663273
78,cardiffnlp/twitter-roberta-base-2021-124m,0.8262965794663273
79,Jeevesh8/lecun_feather_berts-8,0.827143131505133
80,korca/bae-roberta-base-boolq,0.8262965794663273
81,aditeyabaral/finetuned-sail2017-xlm-roberta-base,0.8262965794663273
82,joebobby/finetuning-sentiment-model-5000-samples3,0.827143131505133
83,YeRyeongLee/electra-base-discriminator-finetuned-filtered-0602,0.8265785239298021
84,Jeevesh8/feather_berts_92,0.827143131505133
85,ASCCCCCCCC/distilbert-base-chinese-amazon_zh_20000,0.8269670485058745
86,matthewburke/korean_sentiment,0.8267546069290606
87,IMSyPP/hate_speech_nl,0.827143131505133
88,cointegrated/roberta-base-formality,0.8262965794663273
89,chiragasarpota/scotus-bert,0.8033123226327732
90,IMSyPP/hate_speech_it,0.827143131505133
91,18811449050/bert_finetuning_test,0.827143131505133
92,finiteautomata/betonews-tweetcontext,0.827143131505133
93,Jeevesh8/feather_berts_96,0.827143131505133
94,Jeevesh8/lecun_feather_berts-7,0.827143131505133
95,mrm8488/codebert-base-finetuned-detect-insecure-code,0.826120496467069
96,socialmediaie/TRAC2020_IBEN_B_bert-base-multilingual-uncased,0.827143131505133
97,zenkri/autotrain-Arabic_Poetry_by_Subject-920730230,0.8269670485058745
98,M47Labs/spanish_news_classification_headlines_untrained,0.8269670485058745
99,bondi/bert-semaphore-prediction-w4,0.827143131505133
100,classla/bcms-bertic-parlasent-bcs-ter,0.8265785239298021
101,anferico/bert-for-patents,0.827143131505133
102,waboucay/camembert-base-finetuned-xnli_fr-finetuned-nli-rua_wl,0.8265785239298021
103,ali2066/DistilBERTFINAL_ctxSentence_TRAIN_editorials_TEST_NULL_second_train_set_null_False,0.826120496467069
104,anvay/finetuning-cardiffnlp-sentiment-model,0.826120496467069
105,JonatanGk/roberta-base-ca-finetuned-hate-speech-offensive-catalan,0.8262965794663273
106,Raychanan/COVID_RandomOver,0.5995418249292803
107,Monsia/camembert-fr-covid-tweet-classification,0.8265785239298021
