,model,score
0,Jeevesh8/init_bert_ft_qqp-33,0.7360848
1,Jeevesh8/init_bert_ft_qqp-33,0.79555076
2,Jeevesh8/init_bert_ft_qqp-49,0.7360848
3,Jeevesh8/init_bert_ft_qqp-49,0.6060445
4,connectivity/bert_ft_qqp-7,0.7271176
5,connectivity/bert_ft_qqp-7,0.74967813
6,Jeevesh8/bert_ft_qqp-40,0.76002944
7,Jeevesh8/bert_ft_qqp-40,0.74304956
8,Jeevesh8/bert_ft_qqp-9,0.8138167
9,Jeevesh8/bert_ft_qqp-9,0.63171667
10,Jeevesh8/bert_ft_qqp-88,0.8288881
11,Jeevesh8/bert_ft_qqp-88,0.5926825
12,connectivity/bert_ft_qqp-25,0.7352241
13,connectivity/bert_ft_qqp-25,0.7235396
14,Jeevesh8/bert_ft_qqp-55,0.8138167
15,Jeevesh8/bert_ft_qqp-55,0.6094217
16,connectivity/bert_ft_qqp-1,0.8138167
17,connectivity/bert_ft_qqp-1,0.5696645
18,Jeevesh8/bert_ft_qqp-39,0.84028375
19,Jeevesh8/bert_ft_qqp-39,0.6094217
20,connectivity/bert_ft_qqp-94,0.735287
21,connectivity/bert_ft_qqp-94,0.78830475
22,connectivity/bert_ft_qqp-96,0.735287
23,connectivity/bert_ft_qqp-96,0.5493076
24,Jeevesh8/init_bert_ft_qqp-24,0.76002944
25,Jeevesh8/init_bert_ft_qqp-24,0.5696645
26,Jeevesh8/bert_ft_qqp-68,0.7271176
27,Jeevesh8/bert_ft_qqp-68,0.7277193
28,Jeevesh8/init_bert_ft_qqp-28,0.8254635
29,Jeevesh8/init_bert_ft_qqp-28,0.5696645
30,connectivity/bert_ft_qqp-17,0.7271176
31,connectivity/bert_ft_qqp-17,0.6067995
32,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.71278805
33,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.72198004
34,SetFit/distilbert-base-uncased__sst2__train-16-0,0.70627755
35,SetFit/distilbert-base-uncased__sst2__train-16-0,0.72863585
36,gchhablani/fnet-base-finetuned-sst2,0.5766755
37,aviator-neural/bert-base-uncased-sst2,0.7838614
38,aviator-neural/bert-base-uncased-sst2,0.5811837
39,SetFit/distilbert-base-uncased__sst2__train-32-9,0.70838404
40,SetFit/distilbert-base-uncased__sst2__train-32-9,0.71077067
41,Alassea/glue_sst_classifier,0.7491843
42,Alassea/glue_sst_classifier,0.67981774
43,philschmid/tiny-distilbert-classification,0.07510654
44,philschmid/tiny-distilbert-classification,0.07510654
45,moshew/bert-mini-sst2-distilled,0.5485465
46,moshew/bert-mini-sst2-distilled,0.5021862
47,ChrisUPM/BioBERT_Re_trained,0.6707714
48,ChrisUPM/BioBERT_Re_trained,0.5519131
49,vaariis/distilbert-base-uncased-finetuned-emotion,0.7614908
50,vaariis/distilbert-base-uncased-finetuned-emotion,0.73165447
51,marcelcastrobr/sagemaker-distilbert-emotion,0.73061824
52,marcelcastrobr/sagemaker-distilbert-emotion,0.7251668
53,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.7614908
54,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.7798944
55,abdelkader/distilbert-base-uncased-finetuned-emotion,0.75777185
56,abdelkader/distilbert-base-uncased-finetuned-emotion,0.7798944
57,moghis/distilbert-base-uncased-finetuned-emotion,0.7537169
58,moghis/distilbert-base-uncased-finetuned-emotion,0.6902533
59,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.7401461
60,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.7201714
61,neibla/distilbert-base-uncased-finetuned-emotion,0.7606584
62,neibla/distilbert-base-uncased-finetuned-emotion,0.67818195
63,JB173/distilbert-base-uncased-finetuned-emotion,0.7367845
64,JB173/distilbert-base-uncased-finetuned-emotion,0.67657703
65,Nanatan/distilbert-base-uncased-finetuned-emotion,0.73904693
66,Nanatan/distilbert-base-uncased-finetuned-emotion,0.68168664
67,heranm/finetuning-sentiment-model-3000-samples,0.73949784
68,heranm/finetuning-sentiment-model-3000-samples,0.75030583
69,PrasunMishra/finetuning-sentiment-model-3000-samples,0.7279152
70,PrasunMishra/finetuning-sentiment-model-3000-samples,0.78342897
71,yukta10/finetuning-sentiment-model-3000-samples,0.7174065
72,yukta10/finetuning-sentiment-model-3000-samples,0.7320655
73,ncduy/roberta-imdb-sentiment-analysis,0.89407927
74,ncduy/roberta-imdb-sentiment-analysis,0.7862351
75,markt23917/finetuning-sentiment-model-3000-samples,0.7390824
76,markt23917/finetuning-sentiment-model-3000-samples,0.6995352
77,juliensimon/autonlp-imdb-demo-hf-16622767,0.7202037
78,juliensimon/autonlp-imdb-demo-hf-16622767,0.75607616
79,fabriceyhc/bert-base-uncased-imdb,0.69278467
80,fabriceyhc/bert-base-uncased-imdb,0.35724616
81,XSY/albert-base-v2-imdb-calssification,0.7202734
82,riyadhctg/distilbert-base-uncased-finetuned-cola,0.7268038
83,riyadhctg/distilbert-base-uncased-finetuned-cola,0.68342227
84,connectivity/cola_6ep_ft-33,0.75130004
85,connectivity/cola_6ep_ft-33,0.66163856
86,connectivity/cola_6ep_ft-22,0.7532779
87,connectivity/cola_6ep_ft-22,0.66163856
88,gchhablani/fnet-base-finetuned-cola,0.67982924
89,isakbos/Q8BERT_COLA_L_512,0.37999344
90,isakbos/Q8BERT_COLA_L_512,0.40067902
91,jaesun/distilbert-base-uncased-finetuned-cola,0.7283314
92,jaesun/distilbert-base-uncased-finetuned-cola,0.70032895
93,usami/distilbert-base-uncased-finetuned-cola,0.73292905
94,usami/distilbert-base-uncased-finetuned-cola,0.71610457
95,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,0.8275743
96,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,0.66057104
97,Jeevesh8/6ep_bert_ft_cola-47,0.8280496
98,Jeevesh8/6ep_bert_ft_cola-47,0.6519574
99,connectivity/cola_6ep_ft-10,0.7532779
100,connectivity/cola_6ep_ft-10,0.66057104
101,Jeevesh8/6ep_bert_ft_cola-12,0.75185406
102,Jeevesh8/6ep_bert_ft_cola-12,0.6519574
103,Jeevesh8/bert_ft_cola-88,0.75130004
104,Jeevesh8/bert_ft_cola-88,0.66057104
105,Jeevesh8/6ep_bert_ft_cola-29,0.7532779
106,Jeevesh8/6ep_bert_ft_cola-29,0.6519574
107,vesteinn/XLMR-ENIS-finetuned-cola,0.72584164
108,vesteinn/XLMR-ENIS-finetuned-cola,0.5680014
109,navsad/navid_test_bert,0.7213157
110,navsad/navid_test_bert,0.5861284
111,Jeevesh8/bert_ft_cola-60,0.8172714
112,Jeevesh8/bert_ft_cola-60,0.65977573
113,dapang/distilroberta-base-mic-sym,0.9056145
114,dapang/distilroberta-base-mic-sym,0.8735206
115,Capreolus/bert-base-msmarco,0.7408873
116,Capreolus/bert-base-msmarco,0.64071125
117,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.7751575
118,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.735335
119,Jeevesh8/feather_berts_46,0.8752838
120,Jeevesh8/feather_berts_46,0.7054056
121,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,0.39764532
122,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,0.45942274
123,cambridgeltl/guardian_news_distilbert-base-uncased,0.7216016
124,cambridgeltl/guardian_news_distilbert-base-uncased,0.527836
125,amyma21/sincere_question_classification,0.71940356
126,amyma21/sincere_question_classification,0.7495407
127,phailyoor/distilbert-base-uncased-finetuned-yahd,0.6931167
128,phailyoor/distilbert-base-uncased-finetuned-yahd,0.6137524
129,arianpasquali/distilbert-base-multilingual-cased-toxicity,0.6032941
130,arianpasquali/distilbert-base-multilingual-cased-toxicity,0.39540866
131,connectivity/feather_berts_28,0.74299294
132,connectivity/feather_berts_28,0.74826765
133,warwickai/fin-perceiver,0.6834005
134,liangyuant/distilbert-base-uncased-finetuned-num200-450-405cls,0.743112
135,liangyuant/distilbert-base-uncased-finetuned-num200-450-405cls,0.73774755
136,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,0.742374
137,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,0.6378708
138,Jeevesh8/lecun_feather_berts-3,0.7415062
139,Jeevesh8/lecun_feather_berts-3,0.74826765
140,Giyaseddin/distilroberta-base-finetuned-short-answer-assessment,0.91703767
141,Giyaseddin/distilroberta-base-finetuned-short-answer-assessment,0.85394406
142,AnonymousSub/dummy_2,0.6743441
143,AnonymousSub/dummy_2,0.3185509
144,Jeevesh8/lecun_feather_berts-51,0.74299294
145,Jeevesh8/lecun_feather_berts-51,0.6431326
146,viviastaari/finetuning-sentiment-analysis-en-id,0.55815107
147,viviastaari/finetuning-sentiment-analysis-en-id,0.41819474
148,Aureliano/distilbert-base-uncased-if,0.7331578
149,Aureliano/distilbert-base-uncased-if,0.66817665
150,rmihaylov/roberta-base-sentiment-bg,0.60297877
151,rmihaylov/roberta-base-sentiment-bg,0.3946232
152,cardiffnlp/twitter-roberta-base-2021-124m,0.75485194
153,cardiffnlp/twitter-roberta-base-2021-124m,0.7967968
154,Jeevesh8/lecun_feather_berts-8,0.7526705
155,Jeevesh8/lecun_feather_berts-8,0.74803853
156,korca/bae-roberta-base-boolq,0.90210867
157,korca/bae-roberta-base-boolq,0.8228687
158,aditeyabaral/finetuned-sail2017-xlm-roberta-base,0.843222
159,aditeyabaral/finetuned-sail2017-xlm-roberta-base,0.7836885
160,joebobby/finetuning-sentiment-model-5000-samples3,0.7527681
161,joebobby/finetuning-sentiment-model-5000-samples3,0.815552
162,YeRyeongLee/electra-base-discriminator-finetuned-filtered-0602,0.11267838
163,YeRyeongLee/electra-base-discriminator-finetuned-filtered-0602,0.13660741
164,Jeevesh8/feather_berts_92,0.74299294
165,Jeevesh8/feather_berts_92,0.85268795
166,ASCCCCCCCC/distilbert-base-chinese-amazon_zh_20000,0.4919697
167,ASCCCCCCCC/distilbert-base-chinese-amazon_zh_20000,0.5380925
168,matthewburke/korean_sentiment,0.5411806
169,matthewburke/korean_sentiment,0.51713985
170,IMSyPP/hate_speech_nl,0.37104923
171,IMSyPP/hate_speech_nl,0.2294576
172,cointegrated/roberta-base-formality,0.90210867
173,cointegrated/roberta-base-formality,0.9403037
174,chiragasarpota/scotus-bert,0.12338331
175,chiragasarpota/scotus-bert,0.023156554
176,IMSyPP/hate_speech_it,0.43342856
177,IMSyPP/hate_speech_it,0.28289184
178,18811449050/bert_finetuning_test,0.8332483
179,18811449050/bert_finetuning_test,0.64071125
180,finiteautomata/betonews-tweetcontext,0.46814686
