,model,score
0,Jeevesh8/init_bert_ft_qqp-33,0.8483361574366675
1,Jeevesh8/init_bert_ft_qqp-33,0.8483361574366675
2,Jeevesh8/init_bert_ft_qqp-49,0.8483361574366675
3,connectivity/bert_ft_qqp-7,0.8483361574366675
4,Jeevesh8/bert_ft_qqp-40,0.8508124853150809
5,Jeevesh8/bert_ft_qqp-9,0.8509907506436396
6,Jeevesh8/bert_ft_qqp-88,0.8502909076075846
7,connectivity/bert_ft_qqp-25,0.8503825989555122
8,Jeevesh8/bert_ft_qqp-55,0.8509907506436396
9,connectivity/bert_ft_qqp-1,0.8509907506436396
10,Jeevesh8/bert_ft_qqp-39,0.8502909076075846
11,connectivity/bert_ft_qqp-94,0.8483361574366675
12,connectivity/bert_ft_qqp-96,0.8503825989555122
13,Jeevesh8/init_bert_ft_qqp-24,0.8508124853150809
14,Jeevesh8/bert_ft_qqp-68,0.8483361574366675
15,Jeevesh8/init_bert_ft_qqp-28,0.8502909076075846
16,connectivity/bert_ft_qqp-17,0.8483361574366675
17,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.8040155153051362
18,SetFit/distilbert-base-uncased__sst2__train-16-0,0.808596918682944
19,gchhablani/fnet-base-finetuned-sst2,0.8137225625607778
20,aviator-neural/bert-base-uncased-sst2,0.8443802732830565
21,SetFit/distilbert-base-uncased__sst2__train-32-9,0.8153602325830908
22,Alassea/glue_sst_classifier,0.8449204283562963
23,philschmid/tiny-distilbert-classification,0.28633756540552807
24,moshew/bert-mini-sst2-distilled,0.7924138561789732
25,ChrisUPM/BioBERT_Re_trained,0.8414692697836805
26,vaariis/distilbert-base-uncased-finetuned-emotion,0.802876641676024
27,marcelcastrobr/sagemaker-distilbert-emotion,0.802876641676024
28,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.802876641676024
29,abdelkader/distilbert-base-uncased-finetuned-emotion,0.7991589327520444
30,moghis/distilbert-base-uncased-finetuned-emotion,0.8324759638414808
31,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.8059241378204353
32,neibla/distilbert-base-uncased-finetuned-emotion,0.802876641676024
33,JB173/distilbert-base-uncased-finetuned-emotion,0.8379508701704041
34,Nanatan/distilbert-base-uncased-finetuned-emotion,0.802876641676024
35,heranm/finetuning-sentiment-model-3000-samples,0.8093729358801124
36,PrasunMishra/finetuning-sentiment-model-3000-samples,0.8091100898995033
37,yukta10/finetuning-sentiment-model-3000-samples,0.8091100898995033
38,ncduy/roberta-imdb-sentiment-analysis,0.8535324955176334
39,markt23917/finetuning-sentiment-model-3000-samples,0.8084127506015075
40,juliensimon/autonlp-imdb-demo-hf-16622767,0.8046950416775279
41,fabriceyhc/bert-base-uncased-imdb,0.84542557607446
42,XSY/albert-base-v2-imdb-calssification,0.8397865893683947
43,riyadhctg/distilbert-base-uncased-finetuned-cola,0.8300202282889724
44,connectivity/cola_6ep_ft-33,0.8646699473681939
45,connectivity/cola_6ep_ft-22,0.8646699473681939
46,gchhablani/fnet-base-finetuned-cola,0.8532421467513585
47,isakbos/Q8BERT_COLA_L_512,0.8252878304714119
48,jaesun/distilbert-base-uncased-finetuned-cola,0.8611948742071021
49,usami/distilbert-base-uncased-finetuned-cola,0.8249118850275414
50,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,0.8652780990563212
51,Jeevesh8/6ep_bert_ft_cola-47,0.8645782560202663
52,connectivity/cola_6ep_ft-10,0.8646699473681939
53,Jeevesh8/6ep_bert_ft_cola-12,0.8646699473681939
54,Jeevesh8/bert_ft_cola-88,0.8646699473681939
55,Jeevesh8/6ep_bert_ft_cola-29,0.8646699473681939
