,model,score
0,Jeevesh8/init_bert_ft_qqp-33,0.7763482000628928
1,Jeevesh8/init_bert_ft_qqp-49,0.7780773312122724
2,connectivity/bert_ft_qqp-7,0.7777362202177595
3,Jeevesh8/bert_ft_qqp-40,0.7732738751979125
4,Jeevesh8/bert_ft_qqp-9,0.7812983085765363
5,Jeevesh8/bert_ft_qqp-88,0.7791542418383899
6,connectivity/bert_ft_qqp-25,0.7765309497693476
7,Jeevesh8/bert_ft_qqp-55,0.7758161943002017
8,connectivity/bert_ft_qqp-1,0.7808456071603112
9,Jeevesh8/bert_ft_qqp-39,0.768429819380462
10,connectivity/bert_ft_qqp-94,0.7861232592023071
11,connectivity/bert_ft_qqp-96,0.7766097748799362
12,Jeevesh8/init_bert_ft_qqp-24,0.7819034434033331
13,Jeevesh8/bert_ft_qqp-68,0.7784636612782434
14,Jeevesh8/init_bert_ft_qqp-28,0.7839365193648505
15,connectivity/bert_ft_qqp-17,0.7829401787376257
16,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.7811189143799921
17,SetFit/distilbert-base-uncased__sst2__train-16-0,0.7740503306988826
18,gchhablani/fnet-base-finetuned-sst2,0.7653837435242591
19,aviator-neural/bert-base-uncased-sst2,0.7745277131689368
20,SetFit/distilbert-base-uncased__sst2__train-32-9,0.7720403068980621
21,Alassea/glue_sst_classifier,0.7799056968324592
22,philschmid/tiny-distilbert-classification,0.6154541041646744
23,moshew/bert-mini-sst2-distilled,0.7833486955578427
24,ChrisUPM/BioBERT_Re_trained,0.7787548047739855
25,vaariis/distilbert-base-uncased-finetuned-emotion,0.7719211969025863
26,marcelcastrobr/sagemaker-distilbert-emotion,0.7819729159909319
27,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.7803570827151234
28,abdelkader/distilbert-base-uncased-finetuned-emotion,0.7732110527744939
29,moghis/distilbert-base-uncased-finetuned-emotion,0.7760054173015589
30,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.7794746572346055
31,neibla/distilbert-base-uncased-finetuned-emotion,0.7753233183166732
32,JB173/distilbert-base-uncased-finetuned-emotion,0.7756466995845251
33,Nanatan/distilbert-base-uncased-finetuned-emotion,0.782040525519437
34,heranm/finetuning-sentiment-model-3000-samples,0.7710704418349249
35,PrasunMishra/finetuning-sentiment-model-3000-samples,0.7784117693009577
36,yukta10/finetuning-sentiment-model-3000-samples,0.7809989478695394
37,ncduy/roberta-imdb-sentiment-analysis,0.7770949174123669
38,markt23917/finetuning-sentiment-model-3000-samples,0.7757434519224263
39,juliensimon/autonlp-imdb-demo-hf-16622767,0.7834834720565673
40,fabriceyhc/bert-base-uncased-imdb,0.7820637513197952
41,XSY/albert-base-v2-imdb-calssification,0.7697903686969519
42,riyadhctg/distilbert-base-uncased-finetuned-cola,0.7744538217073138
43,connectivity/cola_6ep_ft-33,0.7784439062977903
44,connectivity/cola_6ep_ft-22,0.7841186248863015
45,gchhablani/fnet-base-finetuned-cola,0.774841182810526
46,isakbos/Q8BERT_COLA_L_512,0.766749873831225
47,jaesun/distilbert-base-uncased-finetuned-cola,0.7756049536934607
48,usami/distilbert-base-uncased-finetuned-cola,0.7814170308428953
49,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,0.7721889949452831
50,Jeevesh8/6ep_bert_ft_cola-47,0.7791509962440523
51,connectivity/cola_6ep_ft-10,0.7842738413590447
52,Jeevesh8/6ep_bert_ft_cola-12,0.7778665420751417
53,Jeevesh8/bert_ft_cola-88,0.777459109027632
54,Jeevesh8/6ep_bert_ft_cola-29,0.7764072970657766
55,vesteinn/XLMR-ENIS-finetuned-cola,0.7762959380040914
56,navsad/navid_test_bert,0.7712775627739825
57,Jeevesh8/bert_ft_cola-60,0.7796310746878033
58,dapang/distilroberta-base-mic-sym,0.768830122459959
59,Capreolus/bert-base-msmarco,0.7768843701293868
60,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.7800063656938567
61,Jeevesh8/feather_berts_46,0.7739315226300567
62,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,0.7580384078265364
63,cambridgeltl/guardian_news_distilbert-base-uncased,0.7709727224479244
64,amyma21/sincere_question_classification,0.7721997436320891
65,phailyoor/distilbert-base-uncased-finetuned-yahd,0.774660965856054
66,arianpasquali/distilbert-base-multilingual-cased-toxicity,0.7827332696385086
67,connectivity/feather_berts_28,0.776076393421669
68,warwickai/fin-perceiver,0.79093517888928
69,liangyuant/distilbert-base-uncased-finetuned-num200-450-405cls,0.7697003246308678
70,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,0.776917385891802
71,Jeevesh8/lecun_feather_berts-3,0.7773572601655442
72,Giyaseddin/distilroberta-base-finetuned-short-answer-assessment,0.7760145746101137
73,AnonymousSub/dummy_2,0.7710076977300507
74,Jeevesh8/lecun_feather_berts-51,0.7852152214234474
75,viviastaari/finetuning-sentiment-analysis-en-id,0.7677286351122926
76,Aureliano/distilbert-base-uncased-if,0.7886022786208882
77,rmihaylov/roberta-base-sentiment-bg,0.7767232197543469
78,cardiffnlp/twitter-roberta-base-2021-124m,0.7790359461222934
79,Jeevesh8/lecun_feather_berts-8,0.7786226976377055
80,korca/bae-roberta-base-boolq,0.780118881361918
81,aditeyabaral/finetuned-sail2017-xlm-roberta-base,0.7796325309690851
82,joebobby/finetuning-sentiment-model-5000-samples3,0.7756196246293864
83,YeRyeongLee/electra-base-discriminator-finetuned-filtered-0602,0.7221723617232769
84,Jeevesh8/feather_berts_92,0.775035883024207
85,ASCCCCCCCC/distilbert-base-chinese-amazon_zh_20000,0.7719495276945427
86,matthewburke/korean_sentiment,0.7718484632714899
87,IMSyPP/hate_speech_nl,0.7737869090612154
88,cointegrated/roberta-base-formality,0.7758175676859405
89,chiragasarpota/scotus-bert,0.7510150457308278
90,IMSyPP/hate_speech_it,0.7743855587741115
91,18811449050/bert_finetuning_test,0.7770830347829623
92,finiteautomata/betonews-tweetcontext,0.7848118554245858
93,Jeevesh8/feather_berts_96,0.783707732254399
94,Jeevesh8/lecun_feather_berts-7,0.7825282400582086
95,mrm8488/codebert-base-finetuned-detect-insecure-code,0.7774947012894782
