,model,score
0,Jeevesh8/init_bert_ft_qqp-33,0.77418196
1,Jeevesh8/init_bert_ft_qqp-49,0.7746929
2,connectivity/bert_ft_qqp-7,0.7674818
3,Jeevesh8/bert_ft_qqp-40,0.7674818
4,Jeevesh8/bert_ft_qqp-9,0.78193516
5,Jeevesh8/bert_ft_qqp-88,0.7879842
6,connectivity/bert_ft_qqp-25,0.773985
7,Jeevesh8/bert_ft_qqp-55,0.78193516
8,connectivity/bert_ft_qqp-1,0.78193516
9,Jeevesh8/bert_ft_qqp-39,0.78205895
10,connectivity/bert_ft_qqp-94,0.773985
11,connectivity/bert_ft_qqp-96,0.773985
12,Jeevesh8/init_bert_ft_qqp-24,0.7674818
13,Jeevesh8/bert_ft_qqp-68,0.7674818
14,Jeevesh8/init_bert_ft_qqp-28,0.786069
15,connectivity/bert_ft_qqp-17,0.7674818
16,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.7546496
17,SetFit/distilbert-base-uncased__sst2__train-16-0,0.7469399
18,gchhablani/fnet-base-finetuned-sst2,0.7493835
19,aviator-neural/bert-base-uncased-sst2,0.78451496
20,SetFit/distilbert-base-uncased__sst2__train-32-9,0.74573743
21,Alassea/glue_sst_classifier,0.7775485
22,philschmid/tiny-distilbert-classification,0.4940962
23,moshew/bert-mini-sst2-distilled,0.7345941
24,ChrisUPM/BioBERT_Re_trained,0.766122
25,vaariis/distilbert-base-uncased-finetuned-emotion,0.75241125
26,marcelcastrobr/sagemaker-distilbert-emotion,0.75005394
27,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.756072
28,abdelkader/distilbert-base-uncased-finetuned-emotion,0.73908114
29,moghis/distilbert-base-uncased-finetuned-emotion,0.7689014
30,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.7699202
31,neibla/distilbert-base-uncased-finetuned-emotion,0.7483445
32,JB173/distilbert-base-uncased-finetuned-emotion,0.7665492
33,Nanatan/distilbert-base-uncased-finetuned-emotion,0.7545287
34,heranm/finetuning-sentiment-model-3000-samples,0.77365774
35,PrasunMishra/finetuning-sentiment-model-3000-samples,0.755251
36,yukta10/finetuning-sentiment-model-3000-samples,0.75240165
37,ncduy/roberta-imdb-sentiment-analysis,0.81469303
38,markt23917/finetuning-sentiment-model-3000-samples,0.77317846
39,juliensimon/autonlp-imdb-demo-hf-16622767,0.74578756
40,fabriceyhc/bert-base-uncased-imdb,0.77728456
41,XSY/albert-base-v2-imdb-calssification,0.7446313
42,riyadhctg/distilbert-base-uncased-finetuned-cola,0.7144232
43,connectivity/cola_6ep_ft-33,0.7614621
44,connectivity/cola_6ep_ft-22,0.7679653
45,gchhablani/fnet-base-finetuned-cola,0.73650765
46,isakbos/Q8BERT_COLA_L_512,0.68745404
47,jaesun/distilbert-base-uncased-finetuned-cola,0.76117665
48,usami/distilbert-base-uncased-finetuned-cola,0.73588777
49,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,0.7759155
50,Jeevesh8/6ep_bert_ft_cola-47,0.7798631
51,connectivity/cola_6ep_ft-10,0.7679653
52,Jeevesh8/6ep_bert_ft_cola-12,0.7679653
53,Jeevesh8/bert_ft_cola-88,0.7614621
54,Jeevesh8/6ep_bert_ft_cola-29,0.7707656
55,vesteinn/XLMR-ENIS-finetuned-cola,0.764791
56,navsad/navid_test_bert,0.75275236
57,Jeevesh8/bert_ft_cola-60,0.77950907
58,dapang/distilroberta-base-mic-sym,0.7379049
59,Capreolus/bert-base-msmarco,0.75959224
60,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.7602911
61,Jeevesh8/feather_berts_46,0.7744541
62,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,0.6791268
63,cambridgeltl/guardian_news_distilbert-base-uncased,0.7075927
64,amyma21/sincere_question_classification,0.6381695
65,phailyoor/distilbert-base-uncased-finetuned-yahd,0.702677
66,arianpasquali/distilbert-base-multilingual-cased-toxicity,0.72399604
67,connectivity/feather_berts_28,0.76834756
68,warwickai/fin-perceiver,0.7265115
69,liangyuant/distilbert-base-uncased-finetuned-num200-450-405cls,0.72841454
70,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,0.75959224
71,Jeevesh8/lecun_feather_berts-3,0.76834756
72,Giyaseddin/distilroberta-base-finetuned-short-answer-assessment,0.77311724
73,AnonymousSub/dummy_2,0.74869883
74,Jeevesh8/lecun_feather_berts-51,0.76834756
75,viviastaari/finetuning-sentiment-analysis-en-id,0.7011629
76,Aureliano/distilbert-base-uncased-if,0.75695515
77,rmihaylov/roberta-base-sentiment-bg,0.7256913
78,cardiffnlp/twitter-roberta-base-2021-124m,0.731156
79,Jeevesh8/lecun_feather_berts-8,0.7602911
80,korca/bae-roberta-base-boolq,0.771459
81,aditeyabaral/finetuned-sail2017-xlm-roberta-base,0.7980502
82,joebobby/finetuning-sentiment-model-5000-samples3,0.7398089
83,YeRyeongLee/electra-base-discriminator-finetuned-filtered-0602,0.48802072
84,Jeevesh8/feather_berts_92,0.7685445
85,ASCCCCCCCC/distilbert-base-chinese-amazon_zh_20000,0.705749
86,matthewburke/korean_sentiment,0.73471266
87,IMSyPP/hate_speech_nl,0.65252125
88,cointegrated/roberta-base-formality,0.771459
89,chiragasarpota/scotus-bert,0.46860993
90,IMSyPP/hate_speech_it,0.70922965
91,18811449050/bert_finetuning_test,0.77163947
92,finiteautomata/betonews-tweetcontext,0.657687
93,Jeevesh8/feather_berts_96,0.7602911
94,Jeevesh8/lecun_feather_berts-7,0.7685445
95,mrm8488/codebert-base-finetuned-detect-insecure-code,0.77806157
96,socialmediaie/TRAC2020_IBEN_B_bert-base-multilingual-uncased,0.73572826
97,zenkri/autotrain-Arabic_Poetry_by_Subject-920730230,0.7793264
